corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5181-Official_Parliament_	v1	ELRC-5182-Official_Parliament_	v1	60789	8803	4135	6.80	46.97
ELRC-5181-Official_Parliament_	v1	CCAligned	v1	60789	405094222	1796	2.95	0
ELRC-5181-Official_Parliament_	v1	ParaCrawl	v9	60789	877766608	1727	2.84	0
ELRC-5181-Official_Parliament_	v1	CCMatrix	v1	60789	1341614085	1684	2.77	0
ELRC-5181-Official_Parliament_	v1	ELRC-5180-Official_Parliament_	v1	60789	116083	554	.91	.47
ELRC-5181-Official_Parliament_	v1	ELRC-4270-NTEU_TierA	v1	60789	7252413	477	.78	0
ELRC-5181-Official_Parliament_	v1	ELRC-4269-NTEU_TierA	v1	60789	7234848	471	.77	0
ELRC-5181-Official_Parliament_	v1	ELRC-4154-NTEU_TierA	v1	60789	7119873	457	.75	0
ELRC-5181-Official_Parliament_	v1	ELRC-4271-NTEU_TierA	v1	60789	7211577	445	.73	0
ELRC-5181-Official_Parliament_	v1	ELRC-4268-NTEU_TierA	v1	60789	11782507	438	.72	0
ELRC-5181-Official_Parliament_	v1	ELRC-4239-NTEU_TierA	v1	60789	11906559	435	.71	0
ELRC-5181-Official_Parliament_	v1	ELRC-4248-NTEU_TierA	v1	60789	12854274	405	.66	0
ELRC-5181-Official_Parliament_	v1	ELRA-W0158	v1	60789	40932	300	.49	.73
ELRC-5181-Official_Parliament_	v1	ELRC-399-International_Agreem	v1	60789	40932	300	.49	.73
ELRC-5181-Official_Parliament_	v1	giga-fren	v2	60789	20786998	296	.48	0
ELRC-5181-Official_Parliament_	v1	ELRA-W0167	v1	60789	42999	289	.47	.67
ELRC-5181-Official_Parliament_	v1	ELRC-429-Legal_Estonian_Justi	v1	60789	42999	289	.47	.67
ELRC-5181-Official_Parliament_	v1	UNPC	v1.0	60789	23776005	241	.39	0
ELRC-5181-Official_Parliament_	v1	ELRA-W0191	v1	60789	61046	237	.38	.38
ELRC-5181-Official_Parliament_	v1	ELRC-490-Secretariat_General_	v1	60789	61046	237	.38	.38
ELRC-5181-Official_Parliament_	v1	TildeMODEL	v2018	60789	5686357	218	.35	0
ELRC-5181-Official_Parliament_	v1	ELRC-4142-NTEU_TierA	v1	60789	2152367	166	.27	0
ELRC-5181-Official_Parliament_	v1	JRC-Acquis	v3.0	60789	1923776	166	.27	0
ELRC-5181-Official_Parliament_	v1	EUbookshop	v2	60789	46038769	155	.25	0
ELRC-5181-Official_Parliament_	v1	ELRA-W0190	v1	60789	55912	147	.24	.26
ELRC-5181-Official_Parliament_	v1	ELRC-489-Secretariat_General_	v1	60789	55912	147	.24	.26
ELRC-5181-Official_Parliament_	v1	OpenSubtitles	v2018	60789	102548132	99	.16	0
ELRC-5181-Official_Parliament_	v1	ELRC-396-Foreign_Affairs_Norw	v1	60789	669717	61	.10	0
ELRC-5181-Official_Parliament_	v1	XLEnt	v1.1	60789	53628082	50	.08	0
ELRC-5181-Official_Parliament_	v1	XLEnt	v1	60789	53628082	50	.08	0
ELRC-5181-Official_Parliament_	v1	WikiMatrix	v1	60789	47707259	43	.07	0
ELRC-5181-Official_Parliament_	v1	wikimedia	v20210402	60789	11389460	47	.07	0
ELRC-5181-Official_Parliament_	v1	IITB	v2.0	60789	1105433	32	.05	0
ELRC-5181-Official_Parliament_	v1	ELRC-4327-Government_Offices_I	v1	60789	37820	33	.05	.08
ELRC-5181-Official_Parliament_	v1	EuroPat	v3	60789	79873063	26	.04	0
ELRC-5181-Official_Parliament_	v1	EuroPat	v2	60789	70531170	26	.04	0
ELRC-5181-Official_Parliament_	v1	QED	v2.0a	60789	7299297	28	.04	0
ELRC-5181-Official_Parliament_	v1	ELRC-5179-acts_Ukrainian	v1	60789	125843	19	.03	.01
ELRC-5181-Official_Parliament_	v1	ELRC-2542-Agriculture	v1	60789	66597	22	.03	.03
ELRC-5181-Official_Parliament_	v1	ELRC-1805-Norwegian_Bokml_Ames	v1	60789	47595	19	.03	.03
ELRC-5181-Official_Parliament_	v1	EuroPat	v1	60789	22132306	17	.02	0
ELRC-5181-Official_Parliament_	v1	Wikipedia	v1.0	60789	7646905	16	.02	0
