corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-531-www.usn.no	v1	ParaCrawl	v9	2041	877766608	618	30.27	0
ELRC-531-www.usn.no	v1	CCMatrix	v1	2041	1341614085	350	17.14	0
ELRC-531-www.usn.no	v1	CCAligned	v1	2041	405094222	214	10.48	0
ELRC-531-www.usn.no	v1	XLEnt	v1.1	2041	53628082	96	4.70	0
ELRC-531-www.usn.no	v1	XLEnt	v1	2041	53628082	96	4.70	0
ELRC-531-www.usn.no	v1	wikimedia	v20210402	2041	11389460	76	3.72	0
ELRC-531-www.usn.no	v1	EUbookshop	v2	2041	46038769	73	3.57	0
ELRC-531-www.usn.no	v1	ELRC-4239-NTEU_TierA	v1	2041	11906559	71	3.47	0
ELRC-531-www.usn.no	v1	ELRC-4268-NTEU_TierA	v1	2041	11782507	69	3.38	0
ELRC-531-www.usn.no	v1	ELRC-4270-NTEU_TierA	v1	2041	7252413	67	3.28	0
ELRC-531-www.usn.no	v1	WikiTitles	v3	2041	2348300	66	3.23	0
ELRC-531-www.usn.no	v1	ELRC-4269-NTEU_TierA	v1	2041	7234848	65	3.18	0
ELRC-531-www.usn.no	v1	ELRC-4271-NTEU_TierA	v1	2041	7211577	65	3.18	0
ELRC-531-www.usn.no	v1	UNPC	v1.0	2041	23776005	64	3.13	0
ELRC-531-www.usn.no	v1	ELRC-4248-NTEU_TierA	v1	2041	12854274	64	3.13	0
ELRC-531-www.usn.no	v1	ELRC-4154-NTEU_TierA	v1	2041	7119873	61	2.98	0
ELRC-531-www.usn.no	v1	TildeMODEL	v2018	2041	5686357	58	2.84	0
ELRC-531-www.usn.no	v1	ELRC-4142-NTEU_TierA	v1	2041	2152367	52	2.54	0
ELRC-531-www.usn.no	v1	IITB	v2.0	2041	1105433	52	2.54	0
ELRC-531-www.usn.no	v1	OpenSubtitles	v2018	2041	102548132	50	2.44	0
ELRC-531-www.usn.no	v1	giga-fren	v2	2041	20786998	50	2.44	0
ELRC-531-www.usn.no	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	2041	279832	40	1.95	.01
ELRC-531-www.usn.no	v1	QED	v2.0a	2041	7299297	34	1.66	0
ELRC-531-www.usn.no	v1	JRC-Acquis	v3.0	2041	1923776	33	1.61	0
ELRC-531-www.usn.no	v1	ELRC-396-Foreign_Affairs_Norw	v1	2041	669717	31	1.51	0
ELRC-531-www.usn.no	v1	KDE4	v2	2041	190475	30	1.46	.01
ELRC-531-www.usn.no	v1	memat	v1	2041	145098	30	1.46	.02
ELRC-531-www.usn.no	v1	wikimedia	v20190628	2041	352711	29	1.42	0
ELRC-531-www.usn.no	v1	WikiMatrix	v1	2041	47707259	25	1.22	0
ELRC-531-www.usn.no	v1	ELRC-2410-Portal_oficial_turis	v1	2041	185841	23	1.12	.01
ELRC-531-www.usn.no	v1	EuroPat	v3	2041	79873063	22	1.07	0
ELRC-531-www.usn.no	v1	ELRC-563-Statoil_energy_compa	v1	2041	54342	22	1.07	.04
ELRC-531-www.usn.no	v1	EuroPat	v2	2041	70531170	20	.97	0
ELRC-531-www.usn.no	v1	GlobalVoices	v2018q4	2041	1154583	20	.97	0
ELRC-531-www.usn.no	v1	GlobalVoices	v2017q3	2041	1091521	20	.97	0
