corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-540-nofima.no	v1	MultiParaCrawl	v7.1	8749	17582870	5624	64.28	.03
ELRC-540-nofima.no	v1	ParaCrawl	v7.1	8749	17582868	5593	63.92	.03
ELRC-540-nofima.no	v1	ParaCrawl	v9	8749	19281148	4842	55.34	.02
ELRC-540-nofima.no	v1	HPLT	v2	8749	22912647	3280	37.48	.01
ELRC-540-nofima.no	v1	MultiHPLT	v2	8749	22912647	3280	37.48	.01
ELRC-540-nofima.no	v1	ELRC-396-Foreign_Affairs_Norw	v1	8749	685539	29	.33	0
ELRC-540-nofima.no	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	8749	281360	24	.27	0
ELRC-540-nofima.no	v1	KDE4	v2	8749	116848	16	.18	.01
ELRC-540-nofima.no	v1	ELRC-518-www.regjeringen.no	v1	8749	143960	13	.14	0
ELRC-540-nofima.no	v1	ELRC-563-Statoil_energy_compa	v1	8749	55036	12	.13	.02
ELRC-540-nofima.no	v1	ELRC-1977-Standard_Norge	v1	8749	126146	11	.12	0
ELRC-540-nofima.no	v1	ELRC-534-www.norges_bank.no	v1	8749	72833	10	.11	.01
ELRC-540-nofima.no	v1	ELRC-1061-www.riksrevisjonen.n	v1	8749	52002	8	.09	.01
ELRC-540-nofima.no	v1	ELRC-520-www.hioa.no	v1	8749	4627	8	.09	.17
ELRC-540-nofima.no	v1	ELRC-1805-Norwegian_Bokml_Ames	v1	8749	47433	6	.06	.01
ELRC-540-nofima.no	v1	ELRC-559-www.npd.no	v1	8749	18589	6	.06	.03
ELRC-540-nofima.no	v1	ELRC-494-forbrukereuropa.no	v1	8749	13019	6	.06	.04
ELRC-540-nofima.no	v1	ELRC-530-nmh.no	v1	8749	5223	6	.06	.11
ELRC-540-nofima.no	v1	ELRC-531-www.usn.no	v1	8749	2096	6	.06	.28
ELRC-540-nofima.no	v1	ELRA-W0195	v1	8749	13018	5	.05	.03
ELRC-540-nofima.no	v1	ELRC-535-www.nbim.no	v1	8749	4073	5	.05	.12
ELRC-540-nofima.no	v1	ELRC-574-www.barentswatch.no	v1	8749	3435	5	.05	.14
ELRC-540-nofima.no	v1	ELRC-386-Statens_Vegvesen	v1	8749	1641	5	.05	.30
