corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-609-www.udi.no	v1	ParaCrawl	v9	2189	19281148	945	43.17	0
ELRC-609-www.udi.no	v1	ELRC-396-Foreign_Affairs_Norw	v1	2189	685539	46	2.10	0
ELRC-609-www.udi.no	v1	KDE4	v2	2189	116848	39	1.78	.03
ELRC-609-www.udi.no	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	2189	281360	30	1.37	.01
ELRC-609-www.udi.no	v1	ELRC-535-www.nbim.no	v1	2189	4073	13	.59	.31
ELRC-609-www.udi.no	v1	MultiParaCrawl	v7.1	2189	17582870	12	.54	0
ELRC-609-www.udi.no	v1	ELRC-534-www.norges_bank.no	v1	2189	72833	12	.54	.01
ELRC-609-www.udi.no	v1	ParaCrawl	v7.1	2189	17582868	11	.50	0
ELRC-609-www.udi.no	v1	ELRC-563-Statoil_energy_compa	v1	2189	55036	9	.41	.01
ELRC-609-www.udi.no	v1	ELRC-518-www.regjeringen.no	v1	2189	143960	7	.31	0
ELRC-609-www.udi.no	v1	ELRC-1977-Standard_Norge	v1	2189	126146	5	.22	0
ELRC-609-www.udi.no	v1	wikimedia	v20230407	2189	83703	4	.18	0
ELRC-609-www.udi.no	v1	ELRC-1061-www.riksrevisjonen.n	v1	2189	52002	4	.18	0
ELRC-609-www.udi.no	v1	ELRC-1805-Norwegian_Bokml_Ames	v1	2189	47433	3	.13	0
ELRC-609-www.udi.no	v1	ELRC-594-Norwegian_Directorat	v1	2189	2180	3	.13	.13
ELRC-609-www.udi.no	v1	ELRC-Norwegian_Directorat	v1	2189	2180	3	.13	.13
ELRC-609-www.udi.no	v1	ELRC-611-Courts_Norway	v1	2189	1448	3	.13	.20
ELRC-609-www.udi.no	v1	ELRC-Courts_Norway	v1	2189	1448	3	.13	.20
ELRC-609-www.udi.no	v1	ELRC-571-www.une.no	v1	2189	1111	3	.13	.27
ELRC-609-www.udi.no	v1	QED	v2.0a	2189	127536	2	.09	0
ELRC-609-www.udi.no	v1	wikimedia	v20210402	2189	59485	2	.09	0
ELRC-609-www.udi.no	v1	TED2020	v1	2189	27876	2	.09	0
ELRC-609-www.udi.no	v1	NeuLab-TedTalks	v1	2189	16753	2	.09	.01
ELRC-609-www.udi.no	v1	ELRC-520-www.hioa.no	v1	2189	4627	2	.09	.04
ELRC-609-www.udi.no	v1	ELRC-1081-Forbruker_Europa	v1	2189	4116	2	.09	.04
