CCAligned	v1	405094222	671/11709	5.73
ParaCrawl	v9	877766608	645/11709	5.50
CCMatrix	v1	1341614085	453/11709	3.86
ELRC-4239-NTEU_TierA	v1	11906559	450/11709	3.84
ELRC-4268-NTEU_TierA	v1	11782507	430/11709	3.67
ELRC-4248-NTEU_TierA	v1	12854274	427/11709	3.64
ELRC-4269-NTEU_TierA	v1	7234848	426/11709	3.63
ELRC-4270-NTEU_TierA	v1	7252413	421/11709	3.59
ELRC-4271-NTEU_TierA	v1	7211577	412/11709	3.51
ELRC-4154-NTEU_TierA	v1	7119873	402/11709	3.43
UNPC	v1.0	23776005	402/11709	3.43
TildeMODEL	v2018	5686357	341/11709	2.91
XLEnt	v1.1	53628082	335/11709	2.86
XLEnt	v1	53628082	335/11709	2.86
EUbookshop	v2	46038769	323/11709	2.75
ELRC-4142-NTEU_TierA	v1	2152367	322/11709	2.75
WikiTitles	v3	2348300	269/11709	2.29
ELRC-396-Foreign_Affairs_Norw	v1	669717	238/11709	2.03
wikimedia	v20210402	11389460	218/11709	1.86
JRC-Acquis	v3.0	1923776	214/11709	1.82
giga-fren	v2	20786998	208/11709	1.77
OpenSubtitles	v2018	102548132	181/11709	1.54
ELRC-1806-Norwegian_Bokml_Ames	v1	279832	135/11709	1.15
KDE4	v2	190475	135/11709	1.15
EuroPat	v3	79873063	114/11709	.97
QED	v2.0a	7299297	114/11709	.97
EuroPat	v2	70531170	110/11709	.93
SPC	v1	59926	93/11709	.79
memat	v1	145098	92/11709	.78
ELRC-1805-Norwegian_Bokml_Ames	v1	47595	86/11709	.73
EuroPat	v1	22132306	84/11709	.71
wikimedia	v20190628	352711	83/11709	.70
ELRC-2410-Portal_oficial_turis	v1	185841	81/11709	.69
ELRC-EMEA	v1	806234	79/11709	.67
ELRC-1977-Standard_Norge	v1	120068	77/11709	.65
EMEA	v3	316149	77/11709	.65
SciELO	v1	3061142	77/11709	.65
ELRC_2682	v1	779183	76/11709	.64
Joshua-IPC	v1	198174	74/11709	.63
WikiMatrix	v1	47707259	74/11709	.63
ELRC-2542-Agriculture	v1	66597	71/11709	.60
Mozilla-I10n	v1	66158	70/11709	.59
ELRC-2712-EMEA	v1	679015	66/11709	.56
ELRC-5214-A_Lexicon_Named	v1	488887	66/11709	.56
ELRC-2717-EMEA	v1	670422	64/11709	.54
ELRC-2715-EMEA	v1	682522	63/11709	.53
ELRC-2711-EMEA	v1	686300	62/11709	.52
ELRC-2720-EMEA	v1	696997	62/11709	.52
ELRC-2721-EMEA	v1	693450	62/11709	.52
ELRC-2722-EMEA	v1	701635	61/11709	.52
ELRC-2724-EMEA	v1	698758	61/11709	.52
ELRC-2708-EMEA	v1	679647	60/11709	.51
ELRC-2725-EMEA	v1	691471	60/11709	.51
ELRC-2726-EMEA	v1	672813	60/11709	.51
ELRC-2709-EMEA	v1	360888	59/11709	.50
ELRC-2713-EMEA	v1	688615	59/11709	.50
