corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-631-BMVI_Website	v1	ELRA-W0198	v1	2695	2695	2695	100.00	100.00
ELRC-631-BMVI_Website	v1	MultiParaCrawl	v9	2695	220731737	587	21.78	0
ELRC-631-BMVI_Website	v1	MultiParaCrawl	v9b	2695	220731737	587	21.78	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v9	2695	220731737	587	21.78	0
ELRC-631-BMVI_Website	v1	NLLB	v1	2695	534495313	503	18.66	0
ELRC-631-BMVI_Website	v1	CCMatrix	v1	2695	534914327	499	18.51	0
ELRC-631-BMVI_Website	v1	MultiParaCrawl	v8	2695	182106158	400	14.84	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v8	2695	182106158	400	14.84	0
ELRC-631-BMVI_Website	v1	MultiCCAligned	v1.1	2695	94952359	150	5.56	0
ELRC-631-BMVI_Website	v1	MultiCCAligned	v1	2695	94952359	150	5.56	0
ELRC-631-BMVI_Website	v1	CCAligned	v1	2695	94952271	150	5.56	0
ELRC-631-BMVI_Website	v1	MultiParaCrawl	v7.1	2695	80061241	101	3.74	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v7.1	2695	80061241	101	3.74	0
ELRC-631-BMVI_Website	v1	ELRC-4244-NTEU_TierA	v1	2695	12025211	97	3.59	0
ELRC-631-BMVI_Website	v1	ELRC-4217-NTEU_TierA	v1	2695	13752401	96	3.56	0
ELRC-631-BMVI_Website	v1	ELRC-4258-NTEU_TierA	v1	2695	11002908	94	3.48	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v1	2695	30443329	90	3.33	0
ELRC-631-BMVI_Website	v1	ELRC-4149-NTEU_TierA	v1	2695	6413624	80	2.96	0
ELRC-631-BMVI_Website	v1	ELRC-4171-NTEU_TierA	v1	2695	6198455	79	2.93	0
ELRC-631-BMVI_Website	v1	ELRC-4240-NTEU_TierA	v1	2695	6884759	77	2.85	0
ELRC-631-BMVI_Website	v1	ELRC-4189-NTEU_TierA	v1	2695	6763579	75	2.78	0
ELRC-631-BMVI_Website	v1	TildeMODEL	v2018	2695	5030606	73	2.70	0
ELRC-631-BMVI_Website	v1	EUbookshop	v2	2695	13681030	59	2.18	0
ELRC-631-BMVI_Website	v1	ELRC-4198-NTEU_TierA	v1	2695	1702436	59	2.18	0
ELRC-631-BMVI_Website	v1	XLEnt	v1.1	2695	3364773	55	2.04	0
ELRC-631-BMVI_Website	v1	XLEnt	v1.2	2695	3364773	55	2.04	0
ELRC-631-BMVI_Website	v1	XLEnt	v1	2695	3364773	55	2.04	0
ELRC-631-BMVI_Website	v1	LinguaTools-WikiTitles	v2014	2695	2446335	49	1.81	0
ELRC-631-BMVI_Website	v1	MultiParaCrawl	v5	2695	38758629	47	1.74	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v5	2695	38758629	47	1.74	0
ELRC-631-BMVI_Website	v1	DGT	v4	2695	1835860	46	1.70	0
ELRC-631-BMVI_Website	v1	ParaCrawl	v4	2695	18589563	41	1.52	0
ELRC-631-BMVI_Website	v1	WikiTitles	v3	2695	1349474	35	1.29	0
ELRC-631-BMVI_Website	v1	ELRA-W0197	v1	2695	11704	30	1.11	.25
ELRC-631-BMVI_Website	v1	ELRC-630-BMVI_Publications	v1	2695	11704	30	1.11	.25
ELRC-631-BMVI_Website	v1	JRC-Acquis	v3.0	2695	1997955	29	1.07	0
ELRC-631-BMVI_Website	v1	wikimedia	v20230407	2695	822350	29	1.07	0
ELRC-631-BMVI_Website	v1	wikimedia	v20210402	2695	456248	27	1.00	0
ELRC-631-BMVI_Website	v1	KDE4	v2	2695	172442	19	.70	.01
ELRC-631-BMVI_Website	v1	OpenSubtitles	v2018	2695	21227082	18	.66	0
ELRC-631-BMVI_Website	v1	OpenSubtitles	v2016	2695	13674348	14	.51	0
ELRC-631-BMVI_Website	v1	WikiMatrix	v1	2695	23734871	13	.48	0
ELRC-631-BMVI_Website	v1	ELRC-5179-acts_Ukrainian	v1	2695	126107	13	.48	.01
ELRC-631-BMVI_Website	v1	ELRC-2410-Portal_oficial_turis	v1	2695	132023	11	.40	0
ELRC-631-BMVI_Website	v1	Mozilla-I10n	v1	2695	49522	11	.40	.02
ELRC-631-BMVI_Website	v1	ELRC-Italian_legal	v1	2695	41426	11	.40	.02
ELRC-631-BMVI_Website	v1	OpenSubtitles	v2013	2695	4079127	9	.33	0
ELRC-631-BMVI_Website	v1	QED	v2.0a	2695	684273	9	.33	0
ELRC-631-BMVI_Website	v1	ECB	v1	2695	350988	9	.33	0
ELRC-631-BMVI_Website	v1	ELRC-Federal_Foreign	v1	2695	59738	9	.33	.01
ELRC-631-BMVI_Website	v1	ELRA-W0201	v1	2695	36665	9	.33	.02
ELRC-631-BMVI_Website	v1	ELRC-638-Luxembourg.lu	v1	2695	36665	9	.33	.02
ELRC-631-BMVI_Website	v1	ELRC-1973-Italian_legal_termin	v1	2695	15828	9	.33	.05
ELRC-631-BMVI_Website	v1	OpenSubtitles	v2012	2695	4892213	8	.29	0
ELRC-631-BMVI_Website	v1	EMEA	v3	2695	349705	8	.29	0
ELRC-631-BMVI_Website	v1	ELRC-642-Federal_Foreign_Berl	v1	2695	54626	8	.29	.01
ELRC-631-BMVI_Website	v1	ELRC-1945-Italian_legal_termin	v1	2695	30992	8	.29	.02
ELRC-631-BMVI_Website	v1	EuroPat	v1	2695	12583619	7	.25	0
ELRC-631-BMVI_Website	v1	ELRC-2714-EMEA	v1	2695	713209	7	.25	0
ELRC-631-BMVI_Website	v1	ELRC-EMEA	v1	2695	713209	7	.25	0
ELRC-631-BMVI_Website	v1	ELRC_2682	v1	2695	589704	7	.25	0
ELRC-631-BMVI_Website	v1	EuroPat	v3	2695	19387517	6	.22	0
ELRC-631-BMVI_Website	v1	EuroPat	v2	2695	15421689	6	.22	0
ELRC-631-BMVI_Website	v1	ELRC-German_Foreign	v1	2695	72183	6	.22	0
ELRC-631-BMVI_Website	v1	OpenOffice	v3	2695	48451	6	.22	.01
ELRC-631-BMVI_Website	v1	OpenOffice	v2	2695	36684	6	.22	.01
ELRC-631-BMVI_Website	v1	StanfordNLP-NMT	v1.0	2695	4761770	4	.14	0
ELRC-631-BMVI_Website	v1	wikimedia	v20190628	2695	37543	3	.11	0
ELRC-631-BMVI_Website	v1	KDEdoc	v1	2695	26622	3	.11	.01
ELRC-631-BMVI_Website	v1	ELRC-2875-EU_publications_medi	v1	2695	13419	3	.11	.02
ELRC-631-BMVI_Website	v1	ELRC-EU_publications	v1	2695	13419	3	.11	.02
ELRC-631-BMVI_Website	v1	ELRC-637-SIP	v1	2695	6420	3	.11	.04
ELRC-631-BMVI_Website	v1	ECDC	v2016-03-16	2695	2513	3	.11	.11
ELRC-631-BMVI_Website	v1	ELRC-1243-Vienna_Environmental	v1	2695	2299	3	.11	.13
ELRC-631-BMVI_Website	v1	ELRC-1241-2017_Activity_Report	v1	2695	1050	3	.11	.28
ELRC-631-BMVI_Website	v1	Wikipedia	v1.0	2695	2478076	2	.07	0
ELRC-631-BMVI_Website	v1	Europarl	v8	2695	2110612	2	.07	0
ELRC-631-BMVI_Website	v1	Europarl	v7	2695	2110469	2	.07	0
ELRC-631-BMVI_Website	v1	Europarl	v3	2695	1443880	2	.07	0
ELRC-631-BMVI_Website	v1	TED2020	v1	2695	329147	2	.07	0
ELRC-631-BMVI_Website	v1	OpenSubtitles	v1	2695	241453	2	.07	0
ELRC-631-BMVI_Website	v1	ELRC-1117-CORDIS_News	v1	2695	111380	2	.07	0
ELRC-631-BMVI_Website	v1	ELRC-CORDIS_News	v1	2695	111380	2	.07	0
ELRC-631-BMVI_Website	v1	GlobalVoices	v2018q4	2695	88834	2	.07	0
ELRC-631-BMVI_Website	v1	GlobalVoices	v2017q3	2695	82965	2	.07	0
ELRC-631-BMVI_Website	v1	ELRC-1089-German_Foreign_Offic	v1	2695	24921	2	.07	0
ELRC-631-BMVI_Website	v1	ELRC-1090-German_Foreign_Offic	v1	2695	20734	2	.07	0
ELRC-631-BMVI_Website	v1	ELRC-641-Federal_Foreign_Berl	v1	2695	12029	2	.07	.01
ELRC-631-BMVI_Website	v1	ELRC-1086-Information_Portal_G	v1	2695	11223	2	.07	.01
ELRC-631-BMVI_Website	v1	ELRC-Information_Portal	v1	2695	11223	2	.07	.01
ELRC-631-BMVI_Website	v1	ELRC-BMI_Brochures	v1	2695	9667	2	.07	.02
ELRC-631-BMVI_Website	v1	ELRA-W0200	v1	2695	8513	2	.07	.02
ELRC-631-BMVI_Website	v1	ELRC-634-BMI_Brochures_2011	v1	2695	8513	2	.07	.02
ELRC-631-BMVI_Website	v1	GNOME	v1	2695	4428	2	.07	.04
ELRC-631-BMVI_Website	v1	WMT-News	v2019	2695	3003	2	.07	.06
ELRC-631-BMVI_Website	v1	Tatoeba	v2023-04-12	2695	634009	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2022-03-03	2695	602838	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2021-03-10	2695	556720	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2020-11-09	2695	545306	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2021-07-22	2695	531553	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2020-05-31	2695	523304	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v20190709	2695	484305	1	.03	0
ELRC-631-BMVI_Website	v1	Tatoeba	v2	2695	257448	1	.03	0
ELRC-631-BMVI_Website	v1	GlobalVoices	v2015	2695	71300	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-1087-German_Foreign_Offic	v1	2695	25366	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-2014-EUIPO_2017	v1	2695	17161	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-EUIPO_2017	v1	2695	17161	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-774-Presidency	v1	2695	16555	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-1088-German_Foreign_Offic	v1	2695	12629	1	.03	0
ELRC-631-BMVI_Website	v1	ELRC-621-Federal_Constitution	v1	2695	5207	1	.03	.01
ELRC-631-BMVI_Website	v1	ELRC-1257-government_websites_	v1	2695	2675	1	.03	.03
ELRC-631-BMVI_Website	v1	ELRC-government_websites	v1	2695	2675	1	.03	.03
ELRC-631-BMVI_Website	v1	ELRC-5191-Auslandsgesellschaft	v1	2695	2000	1	.03	.05
ELRC-631-BMVI_Website	v1	ELRC-2612-Artigos_visitportuga	v1	2695	1709	1	.03	.05
ELRC-631-BMVI_Website	v1	ELRC-Artigos_visitportuga	v1	2695	1709	1	.03	.05
ELRC-631-BMVI_Website	v1	ELRA-W0199	v1	2695	1163	1	.03	.08
ELRC-631-BMVI_Website	v1	ELRC-633-BMI_Brochures_2016	v1	2695	1163	1	.03	.08
ELRC-631-BMVI_Website	v1	ELRC-5067-SciPar	v1	2695	894816	0	0	0
ELRC-631-BMVI_Website	v1	News-Commentary	v16	2695	438345	0	0	0
ELRC-631-BMVI_Website	v1	News-Commentary	v14	2695	373715	0	0	0
ELRC-631-BMVI_Website	v1	News-Commentary	v9.0	2695	273047	0	0	0
ELRC-631-BMVI_Website	v1	News-Commentary	v9.1	2695	273046	0	0	0
ELRC-631-BMVI_Website	v1	News-Commentary	v11	2695	269009	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-EUIPO_law	v1	2695	240670	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1077-EUIPO_law	v1	2695	240669	0	0	0
ELRC-631-BMVI_Website	v1	NeuLab-TedTalks	v1	2695	211159	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1121-CORDIS_Results_Brief	v1	2695	182160	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-CORDIS_Results	v1	2695	182160	0	0	0
ELRC-631-BMVI_Website	v1	MultiUN	v1	2695	157784	0	0	0
ELRC-631-BMVI_Website	v1	TED2013	v1.1	2695	142424	0	0	0
ELRC-631-BMVI_Website	v1	Books	v1	2695	70054	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-EUIPO_list	v1	2695	41820	0	0	0
ELRC-631-BMVI_Website	v1	Tanzil	v1	2695	41133	0	0	0
ELRC-631-BMVI_Website	v1	bible-uedin	v1	2695	37421	0	0	0
ELRC-631-BMVI_Website	v1	ELRA-W0143	v1	2695	30391	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1092-EUIPO_list	v1	2695	30391	0	0	0
ELRC-631-BMVI_Website	v1	ELRA-W0144	v1	2695	29757	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1093-EUIPO_list	v1	2695	29757	0	0	0
ELRC-631-BMVI_Website	v1	ELRA-W0146	v1	2695	29701	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1095-EUIPO_list	v1	2695	29701	0	0	0
ELRC-631-BMVI_Website	v1	ELRA-W0145	v1	2695	29261	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1094-EUIPO_list	v1	2695	29261	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3565-EUR_LEX_covid	v1	2695	23299	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-EUR_LEX	v1	2695	23299	0	0	0
ELRC-631-BMVI_Website	v1	MPC1	v1	2695	18346	0	0	0
ELRC-631-BMVI_Website	v1	ELITR-ECA	v1	2695	14537	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3606-presscorner_covid	v1	2695	10061	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-presscorner_covid	v1	2695	10061	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-by_Presidency	v1	2695	9344	0	0	0
ELRC-631-BMVI_Website	v1	EUconst	v1	2695	6570	0	0	0
ELRC-631-BMVI_Website	v1	ELRC_3382	v1	2695	6110	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-776-by_Presidency_Counci	v1	2695	4771	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-775-by_Presidency_Counci	v1	2695	4573	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2638-monumentos_2007	v1	2695	3276	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1240-Austrian_Research_Te	v1	2695	3049	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3464-EC_EUROPA_covid	v1	2695	2501	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-EC_EUROPA	v1	2695	2501	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2544-TERMITUR	v1	2695	2383	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-TERMITUR	v1	2695	2383	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2614-Localidades_2007	v1	2695	2152	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Localidades_2007	v1	2695	2152	0	0	0
ELRC-631-BMVI_Website	v1	ELRC_2922	v1	2695	2054	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3063-wikipedia_health	v1	2695	2054	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-wikipedia_health	v1	2695	2054	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-4992-Customer_Support_MT	v1	2695	1342	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2616-Museus_2007	v1	2695	1250	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Museus_2007	v1	2695	1250	0	0	0
ELRC-631-BMVI_Website	v1	Salome	v1	2695	1234	0	0	0
ELRC-631-BMVI_Website	v1	DGT	v2019	2695	963	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2641-Praias_2007	v1	2695	938	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Praias_2007	v1	2695	938	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-420-Audioguide_Military_	v1	2695	909	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3202-antibiotic	v1	2695	853	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-antibiotic	v1	2695	853	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3293-EUROPARL_covid	v1	2695	686	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-EUROPARL_covid	v1	2695	686	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-1238-Energy_Report_City	v1	2695	508	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2736-vaccination	v1	2695	478	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-vaccination	v1	2695	478	0	0	0
ELRC-631-BMVI_Website	v1	ELRC_2923	v1	2695	421	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-640-Federal_Foreign_Berl	v1	2695	415	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Swedish_Labour	v1	2695	376	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-416-Swedish_Social_Secur	v1	2695	354	0	0	0
ELRC-631-BMVI_Website	v1	ELRC_416	v1	2695	354	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2639-Parques_e_reservas	v1	2695	335	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Parques_e	v1	2695	335	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-417-Swedish_Work_Environ	v1	2695	314	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-406-Swedish_Labour_Part1	v1	2695	191	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-401-Swedish_Labour_Part2	v1	2695	185	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-632-BMI_Brochure_Civil	v1	2695	178	0	0	0
ELRC-631-BMVI_Website	v1	RF	v1	2695	178	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2622-Arquitectura_2007	v1	2695	153	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Arquitectura_2007	v1	2695	153	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-3852-Development_Funds_Re	v1	2695	106	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-832-CHARTER_VALUES_CITIZ	v1	2695	88	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-2623-Patrimnio_Aores_2006	v1	2695	62	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-Patrimnio_Aores	v1	2695	62	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-5220-Information_crime_vi	v1	2695	57	0	0	0
ELRC-631-BMVI_Website	v1	Ubuntu	v14.10	2695	47	0	0	0
ELRC-631-BMVI_Website	v1	ELRC-403-Rights_Arrested	v1	2695	24	0	0	0
ELRC-631-BMVI_Website	v1	ELRA-W0301	v1	2695	23	0	0	0
