corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-646-International_Judici	v1	ELRA-W0307	v1	251	251	251	100.00	100.00
ELRC-646-International_Judici	v1	ELRC-4227-NTEU_TierA	v1	251	7414675	132	52.58	0
ELRC-646-International_Judici	v1	ELRC-4159-NTEU_TierA	v1	251	11724160	131	52.19	0
ELRC-646-International_Judici	v1	JRC-Acquis	v3.0	251	1956392	131	52.19	0
ELRC-646-International_Judici	v1	ELRC-4250-NTEU_TierA	v1	251	7092287	130	51.79	0
ELRC-646-International_Judici	v1	ELRC-4163-NTEU_TierA	v1	251	6278278	129	51.39	0
ELRC-646-International_Judici	v1	ELRC-4144-NTEU_TierA	v1	251	12470878	128	50.99	0
ELRC-646-International_Judici	v1	TildeMODEL	v2018	251	5592948	120	47.80	0
ELRC-646-International_Judici	v1	MultiCCAligned	v1.1	251	102410788	112	44.62	0
ELRC-646-International_Judici	v1	CCAligned	v1	251	102410685	112	44.62	0
ELRC-646-International_Judici	v1	ELRC-4166-NTEU_TierA	v1	251	9514731	112	44.62	0
ELRC-646-International_Judici	v1	MultiParaCrawl	v8	251	199141573	106	42.23	0
ELRC-646-International_Judici	v1	ELRC-4212-NTEU_TierA	v1	251	6955376	106	42.23	0
ELRC-646-International_Judici	v1	MultiParaCrawl	v9	251	187085885	105	41.83	0
ELRC-646-International_Judici	v1	MultiParaCrawl	v9b	251	187085885	105	41.83	0
ELRC-646-International_Judici	v1	ParaCrawl	v9	251	187085885	105	41.83	0
ELRC-646-International_Judici	v1	UNPC	v1.0	251	24410320	99	39.44	0
ELRC-646-International_Judici	v1	giga-fren	v2	251	21270622	88	35.05	0
ELRC-646-International_Judici	v1	MBS	v1	251	2281253	85	33.86	0
ELRC-646-International_Judici	v1	ELRC-4241-NTEU_TierA	v1	251	1665033	56	22.31	0
ELRC-646-International_Judici	v1	EMEA	v3	251	352316	51	20.31	.01
ELRC-646-International_Judici	v1	OpenSubtitles	v2018	251	42876478	49	19.52	0
ELRC-646-International_Judici	v1	ELITR-ECA	v1	251	18675	47	18.72	.25
ELRC-646-International_Judici	v1	EuroPat	v1	251	8944736	30	11.95	0
ELRC-646-International_Judici	v1	wikimedia	v20210402	251	1749281	25	9.96	0
ELRC-646-International_Judici	v1	EuroPat	v2	251	11489429	22	8.76	0
ELRC-646-International_Judici	v1	EuroPat	v3	251	10716853	22	8.76	0
ELRC-646-International_Judici	v1	Wikipedia	v1.0	251	830904	20	7.96	0
ELRC-646-International_Judici	v1	OpenSubtitles	v1	251	535394	18	7.17	0
ELRC-646-International_Judici	v1	QED	v2.0a	251	1265895	17	6.77	0
ELRC-646-International_Judici	v1	EhuHac	v1	251	602206	17	6.77	0
ELRC-646-International_Judici	v1	Books	v1	251	161963	17	6.77	.01
ELRC-646-International_Judici	v1	EUbookshop	v2	251	13922861	16	6.37	0
ELRC-646-International_Judici	v1	WikiTitles	v3	251	895267	16	6.37	0
ELRC-646-International_Judici	v1	ELRC-2410-Portal_oficial_turis	v1	251	147965	16	6.37	.01
ELRC-646-International_Judici	v1	Europarl	v8	251	2180255	15	5.97	0
ELRC-646-International_Judici	v1	GlobalVoices	v2018q4	251	457118	15	5.97	0
ELRC-646-International_Judici	v1	GlobalVoices	v2017q3	251	416159	15	5.97	0
ELRC-646-International_Judici	v1	GlobalVoices	v2015	251	364202	15	5.97	0
ELRC-646-International_Judici	v1	OpenOffice	v2	251	31830	15	5.97	.04
ELRC-646-International_Judici	v1	ELRC-EUIPO_law	v1	251	87277	14	5.57	.01
ELRC-646-International_Judici	v1	ELRA-W0138	v1	251	87276	14	5.57	.01
ELRC-646-International_Judici	v1	ELRC-1075-EUIPO_law	v1	251	87276	14	5.57	.01
ELRC-646-International_Judici	v1	EUconst	v1	251	6759	13	5.17	.19
ELRC-646-International_Judici	v1	CCMatrix	v1	251	798656090	12	4.78	0
ELRC-646-International_Judici	v1	KDE4	v2	251	166905	12	4.78	0
ELRC-646-International_Judici	v1	ELRA-W0201	v1	251	36287	12	4.78	.03
ELRC-646-International_Judici	v1	ELRC-638-Luxembourg.lu	v1	251	36287	12	4.78	.03
ELRC-646-International_Judici	v1	ELRC-1256-government_websites_	v1	251	15684	12	4.78	.07
ELRC-646-International_Judici	v1	ELRC-government_websites	v1	251	15684	12	4.78	.07
ELRC-646-International_Judici	v1	ELRC-637-SIP	v1	251	10909	12	4.78	.11
ELRC-646-International_Judici	v1	ELRC-837-Legal	v1	251	1684	12	4.78	.71
ELRC-646-International_Judici	v1	News-Commentary	v16	251	428439	11	4.38	0
ELRC-646-International_Judici	v1	News-Commentary	v14	251	375202	11	4.38	0
ELRC-646-International_Judici	v1	News-Commentary	v11	251	268393	11	4.38	0
ELRC-646-International_Judici	v1	News-Commentary	v9.0	251	248316	11	4.38	0
ELRC-646-International_Judici	v1	News-Commentary	v9.1	251	248310	11	4.38	0
ELRC-646-International_Judici	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	251	15099	11	4.38	.07
ELRC-646-International_Judici	v1	ELRC-2481-Constituio_da_Repbli	v1	251	3917	11	4.38	.28
ELRC-646-International_Judici	v1	XLEnt	v1.1	251	6760567	10	3.98	0
ELRC-646-International_Judici	v1	XLEnt	v1	251	6760567	10	3.98	0
ELRC-646-International_Judici	v1	Mozilla-I10n	v1	251	55750	10	3.98	.01
ELRC-646-International_Judici	v1	ELRC-2720-EMEA	v1	251	732816	9	3.58	0
ELRC-646-International_Judici	v1	ELRC-EMEA	v1	251	732816	9	3.58	0
ELRC-646-International_Judici	v1	ELRC-5179-acts_Ukrainian	v1	251	126028	9	3.58	0
ELRC-646-International_Judici	v1	ELRC-816-ANR_containing_major	v1	251	10143	9	3.58	.08
ELRC-646-International_Judici	v1	TED2020	v1	251	437124	8	3.18	0
ELRC-646-International_Judici	v1	ELRC-395-Belgian_about_Belgiu	v1	251	2971	8	3.18	.26
ELRC-646-International_Judici	v1	ELRA-W0309	v1	251	194	8	3.18	4.12
ELRC-646-International_Judici	v1	ELRC-745-Convention_against_T	v1	251	194	8	3.18	4.12
ELRC-646-International_Judici	v1	WikiMatrix	v1	251	18783887	7	2.78	0
ELRC-646-International_Judici	v1	ELRC-Museus_2007	v1	251	1393	7	2.78	.50
ELRC-646-International_Judici	v1	ELRC-2616-Museus_2007	v1	251	1343	7	2.78	.52
ELRC-646-International_Judici	v1	ELRC-2617-Museus_2007_Part2	v1	251	1235	7	2.78	.56
ELRC-646-International_Judici	v1	UN	v20090831	251	59831	6	2.39	.01
ELRC-646-International_Judici	v1	OpenOffice	v3	251	47166	6	2.39	.01
ELRC-646-International_Judici	v1	ELRC-421-Belgian_government	v1	251	1668	6	2.39	.35
ELRC-646-International_Judici	v1	ELRC-844-PAeSI__Administratio	v1	251	360	6	2.39	1.66
ELRC-646-International_Judici	v1	Tatoeba	v2022-03-03	251	509441	5	1.99	0
ELRC-646-International_Judici	v1	Tatoeba	v2021-03-10	251	469229	5	1.99	0
ELRC-646-International_Judici	v1	Tatoeba	v2020-11-09	251	452708	5	1.99	0
ELRC-646-International_Judici	v1	Tatoeba	v2021-07-22	251	444821	5	1.99	0
ELRC-646-International_Judici	v1	Tatoeba	v2020-05-31	251	435694	5	1.99	0
ELRC-646-International_Judici	v1	KDEdoc	v1	251	21222	5	1.99	.02
ELRC-646-International_Judici	v1	ELRC-5067-SciPar	v1	251	1126776	4	1.59	0
ELRC-646-International_Judici	v1	Tatoeba	v20190709	251	394746	4	1.59	0
ELRC-646-International_Judici	v1	ECB	v1	251	341341	4	1.59	0
ELRC-646-International_Judici	v1	wikimedia	v20190628	251	16205	4	1.59	.02
ELRC-646-International_Judici	v1	ELRC-1796-Coalition_Agreement_	v1	251	2589	4	1.59	.15
ELRC-646-International_Judici	v1	RF	v1	251	175	4	1.59	2.28
ELRC-646-International_Judici	v1	ELRC-832-CHARTER_VALUES_CITIZ	v1	251	109	4	1.59	3.66
ELRC-646-International_Judici	v1	Tatoeba	v2	251	224269	3	1.19	0
ELRC-646-International_Judici	v1	ELRC-416-Swedish_Social_Secur	v1	251	226	3	1.19	1.32
ELRC-646-International_Judici	v1	ELRC_416	v1	251	226	3	1.19	1.32
ELRC-646-International_Judici	v1	ELRA-W0308	v1	251	179	3	1.19	1.67
ELRC-646-International_Judici	v1	ELRC-648-Letter_rights_person	v1	251	147	3	1.19	2.04
ELRC-646-International_Judici	v1	OfisPublik	v1	251	61478	2	.79	0
ELRC-646-International_Judici	v1	ELRC-2018-EUIPO_2017	v1	251	17385	2	.79	.01
ELRC-646-International_Judici	v1	ELRC-EUIPO_2017	v1	251	17385	2	.79	.01
ELRC-646-International_Judici	v1	infopankki	v1	251	16412	1	.39	0
ELRC-646-International_Judici	v1	GNOME	v1	251	5059	1	.39	.01
ELRC-646-International_Judici	v1	ELRC-1253-Portuguese_law_refer	v1	251	1108	1	.39	.09
ELRC-646-International_Judici	v1	MultiUN	v1	251	11167694	0	0	0
ELRC-646-International_Judici	v1	ELRC-1122-CORDIS_Results_Brief	v1	251	259815	0	0	0
ELRC-646-International_Judici	v1	ELRC-CORDIS_Results	v1	251	259815	0	0	0
ELRC-646-International_Judici	v1	TED2013	v1.1	251	158664	0	0	0
ELRC-646-International_Judici	v1	ELRC-1118-CORDIS_News	v1	251	132399	0	0	0
ELRC-646-International_Judici	v1	ELRC-CORDIS_News	v1	251	132399	0	0	0
ELRC-646-International_Judici	v1	ELRC-EUIPO_list	v1	251	53568	0	0	0
ELRC-646-International_Judici	v1	ELRA-W0148	v1	251	44242	0	0	0
ELRC-646-International_Judici	v1	ELRC-1098-EUIPO_list	v1	251	44242	0	0	0
ELRC-646-International_Judici	v1	ELRA-W0152	v1	251	44180	0	0	0
ELRC-646-International_Judici	v1	ELRC-1104-EUIPO_list	v1	251	44180	0	0	0
ELRC-646-International_Judici	v1	bible-uedin	v1	251	38465	0	0	0
ELRC-646-International_Judici	v1	ELRC-5174-French_Polish_Ukrain	v1	251	33759	0	0	0
ELRC-646-International_Judici	v1	ELRA-W0149	v1	251	31464	0	0	0
ELRC-646-International_Judici	v1	ELRC-1100-EUIPO_list	v1	251	31464	0	0	0
ELRC-646-International_Judici	v1	ELRA-W0145	v1	251	29224	0	0	0
ELRC-646-International_Judici	v1	ELRC-1094-EUIPO_list	v1	251	29224	0	0	0
ELRC-646-International_Judici	v1	ELRC-1087-German_Foreign_Offic	v1	251	25215	0	0	0
ELRC-646-International_Judici	v1	ELRC-German_Foreign	v1	251	25215	0	0	0
ELRC-646-International_Judici	v1	ELRC-3569-EUR_LEX_covid	v1	251	23626	0	0	0
ELRC-646-International_Judici	v1	ELRC-EUR_LEX	v1	251	23626	0	0	0
ELRC-646-International_Judici	v1	ELRC-2879-EU_publications_medi	v1	251	13092	0	0	0
ELRC-646-International_Judici	v1	ELRC-EU_publications	v1	251	13092	0	0	0
ELRC-646-International_Judici	v1	ELRC-641-Federal_Foreign_Berl	v1	251	11933	0	0	0
