corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-648-Letter_rights_person	v1	ELRA-W0308	v1	147	179	147	100.00	82.12
ELRC-648-Letter_rights_person	v1	ELRC-4144-NTEU_TierA	v1	147	12470878	7	4.76	0
ELRC-648-Letter_rights_person	v1	ELRC-4159-NTEU_TierA	v1	147	11724160	7	4.76	0
ELRC-648-Letter_rights_person	v1	ELRC-4166-NTEU_TierA	v1	147	9514731	7	4.76	0
ELRC-648-Letter_rights_person	v1	ELRC-4250-NTEU_TierA	v1	147	7092287	7	4.76	0
ELRC-648-Letter_rights_person	v1	ELRC-4163-NTEU_TierA	v1	147	6278278	7	4.76	0
ELRC-648-Letter_rights_person	v1	MultiParaCrawl	v8	147	199141573	6	4.08	0
ELRC-648-Letter_rights_person	v1	MultiCCAligned	v1.1	147	102410788	6	4.08	0
ELRC-648-Letter_rights_person	v1	CCAligned	v1	147	102410685	6	4.08	0
ELRC-648-Letter_rights_person	v1	ELRC-4227-NTEU_TierA	v1	147	7414675	6	4.08	0
ELRC-648-Letter_rights_person	v1	ELRC-4212-NTEU_TierA	v1	147	6955376	6	4.08	0
ELRC-648-Letter_rights_person	v1	TildeMODEL	v2018	147	5592948	6	4.08	0
ELRC-648-Letter_rights_person	v1	ELRC-4241-NTEU_TierA	v1	147	1665033	6	4.08	0
ELRC-648-Letter_rights_person	v1	giga-fren	v2	147	21270622	5	3.40	0
ELRC-648-Letter_rights_person	v1	MBS	v1	147	2281253	5	3.40	0
ELRC-648-Letter_rights_person	v1	JRC-Acquis	v3.0	147	1956392	5	3.40	0
ELRC-648-Letter_rights_person	v1	MultiParaCrawl	v9	147	187085885	4	2.72	0
ELRC-648-Letter_rights_person	v1	MultiParaCrawl	v9b	147	187085885	4	2.72	0
ELRC-648-Letter_rights_person	v1	ParaCrawl	v9	147	187085885	4	2.72	0
ELRC-648-Letter_rights_person	v1	OpenSubtitles	v2018	147	42876478	3	2.04	0
ELRC-648-Letter_rights_person	v1	UNPC	v1.0	147	24410320	3	2.04	0
ELRC-648-Letter_rights_person	v1	EuroPat	v2	147	11489429	3	2.04	0
ELRC-648-Letter_rights_person	v1	EuroPat	v3	147	10716853	3	2.04	0
ELRC-648-Letter_rights_person	v1	EuroPat	v1	147	8944736	3	2.04	0
ELRC-648-Letter_rights_person	v1	Europarl	v8	147	2180255	3	2.04	0
ELRC-648-Letter_rights_person	v1	wikimedia	v20210402	147	1749281	3	2.04	0
ELRC-648-Letter_rights_person	v1	QED	v2.0a	147	1265895	3	2.04	0
ELRC-648-Letter_rights_person	v1	WikiTitles	v3	147	895267	3	2.04	0
ELRC-648-Letter_rights_person	v1	Wikipedia	v1.0	147	830904	3	2.04	0
ELRC-648-Letter_rights_person	v1	EhuHac	v1	147	602206	3	2.04	0
ELRC-648-Letter_rights_person	v1	OpenSubtitles	v1	147	535394	3	2.04	0
ELRC-648-Letter_rights_person	v1	GlobalVoices	v2018q4	147	457118	3	2.04	0
ELRC-648-Letter_rights_person	v1	TED2020	v1	147	437124	3	2.04	0
ELRC-648-Letter_rights_person	v1	News-Commentary	v16	147	428439	3	2.04	0
ELRC-648-Letter_rights_person	v1	GlobalVoices	v2017q3	147	416159	3	2.04	0
ELRC-648-Letter_rights_person	v1	News-Commentary	v14	147	375202	3	2.04	0
ELRC-648-Letter_rights_person	v1	GlobalVoices	v2015	147	364202	3	2.04	0
ELRC-648-Letter_rights_person	v1	EMEA	v3	147	352316	3	2.04	0
ELRC-648-Letter_rights_person	v1	News-Commentary	v11	147	268393	3	2.04	0
ELRC-648-Letter_rights_person	v1	News-Commentary	v9.0	147	248316	3	2.04	0
ELRC-648-Letter_rights_person	v1	News-Commentary	v9.1	147	248310	3	2.04	0
ELRC-648-Letter_rights_person	v1	KDE4	v2	147	166905	3	2.04	0
ELRC-648-Letter_rights_person	v1	Books	v1	147	161963	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRC-2410-Portal_oficial_turis	v1	147	147965	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRC-EUIPO_law	v1	147	87277	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRA-W0138	v1	147	87276	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRC-1075-EUIPO_law	v1	147	87276	3	2.04	0
ELRC-648-Letter_rights_person	v1	Mozilla-I10n	v1	147	55750	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRA-W0201	v1	147	36287	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELRC-638-Luxembourg.lu	v1	147	36287	3	2.04	0
ELRC-648-Letter_rights_person	v1	OpenOffice	v2	147	31830	3	2.04	0
ELRC-648-Letter_rights_person	v1	ELITR-ECA	v1	147	18675	3	2.04	.01
ELRC-648-Letter_rights_person	v1	ELRC-1256-government_websites_	v1	147	15684	3	2.04	.01
ELRC-648-Letter_rights_person	v1	ELRC-government_websites	v1	147	15684	3	2.04	.01
ELRC-648-Letter_rights_person	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	147	15099	3	2.04	.01
ELRC-648-Letter_rights_person	v1	ELRC-637-SIP	v1	147	10909	3	2.04	.02
ELRC-648-Letter_rights_person	v1	EUconst	v1	147	6759	3	2.04	.04
ELRC-648-Letter_rights_person	v1	ELRC-2481-Constituio_da_Repbli	v1	147	3917	3	2.04	.07
ELRC-648-Letter_rights_person	v1	ELRC-395-Belgian_about_Belgiu	v1	147	2971	3	2.04	.10
ELRC-648-Letter_rights_person	v1	ELRC-837-Legal	v1	147	1684	3	2.04	.17
ELRC-648-Letter_rights_person	v1	ELRC-Museus_2007	v1	147	1393	3	2.04	.21
ELRC-648-Letter_rights_person	v1	ELRC-2616-Museus_2007	v1	147	1343	3	2.04	.22
ELRC-648-Letter_rights_person	v1	ELRC-2617-Museus_2007_Part2	v1	147	1235	3	2.04	.24
ELRC-648-Letter_rights_person	v1	ELRC-844-PAeSI__Administratio	v1	147	360	3	2.04	.83
ELRC-648-Letter_rights_person	v1	ELRA-W0307	v1	147	251	3	2.04	1.19
ELRC-648-Letter_rights_person	v1	ELRC-646-International_Judici	v1	147	251	3	2.04	1.19
ELRC-648-Letter_rights_person	v1	ELRA-W0309	v1	147	194	3	2.04	1.54
ELRC-648-Letter_rights_person	v1	ELRC-745-Convention_against_T	v1	147	194	3	2.04	1.54
ELRC-648-Letter_rights_person	v1	Tatoeba	v2022-03-03	147	509441	2	1.36	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v2021-03-10	147	469229	2	1.36	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v2020-11-09	147	452708	2	1.36	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v2021-07-22	147	444821	2	1.36	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v2020-05-31	147	435694	2	1.36	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v20190709	147	394746	2	1.36	0
ELRC-648-Letter_rights_person	v1	ELRC-5179-acts_Ukrainian	v1	147	126028	2	1.36	0
ELRC-648-Letter_rights_person	v1	ELRC-421-Belgian_government	v1	147	1668	2	1.36	.11
ELRC-648-Letter_rights_person	v1	XLEnt	v1.1	147	6760567	1	.68	0
ELRC-648-Letter_rights_person	v1	XLEnt	v1	147	6760567	1	.68	0
ELRC-648-Letter_rights_person	v1	ELRC-5067-SciPar	v1	147	1126776	1	.68	0
ELRC-648-Letter_rights_person	v1	ELRC-2720-EMEA	v1	147	732816	1	.68	0
ELRC-648-Letter_rights_person	v1	ELRC-EMEA	v1	147	732816	1	.68	0
ELRC-648-Letter_rights_person	v1	Tatoeba	v2	147	224269	1	.68	0
ELRC-648-Letter_rights_person	v1	OpenOffice	v3	147	47166	1	.68	0
ELRC-648-Letter_rights_person	v1	KDEdoc	v1	147	21222	1	.68	0
ELRC-648-Letter_rights_person	v1	ELRC-2018-EUIPO_2017	v1	147	17385	1	.68	0
ELRC-648-Letter_rights_person	v1	ELRC-EUIPO_2017	v1	147	17385	1	.68	0
ELRC-648-Letter_rights_person	v1	RF	v1	147	175	1	.68	.57
ELRC-648-Letter_rights_person	v1	ELRC-832-CHARTER_VALUES_CITIZ	v1	147	109	1	.68	.91
ELRC-648-Letter_rights_person	v1	CCMatrix	v1	147	798656090	0	0	0
ELRC-648-Letter_rights_person	v1	WikiMatrix	v1	147	18783887	0	0	0
ELRC-648-Letter_rights_person	v1	EUbookshop	v2	147	13922861	0	0	0
ELRC-648-Letter_rights_person	v1	MultiUN	v1	147	11167694	0	0	0
ELRC-648-Letter_rights_person	v1	ECB	v1	147	341341	0	0	0
ELRC-648-Letter_rights_person	v1	ELRC-1122-CORDIS_Results_Brief	v1	147	259815	0	0	0
ELRC-648-Letter_rights_person	v1	ELRC-CORDIS_Results	v1	147	259815	0	0	0
ELRC-648-Letter_rights_person	v1	TED2013	v1.1	147	158664	0	0	0
ELRC-648-Letter_rights_person	v1	ELRC-1118-CORDIS_News	v1	147	132399	0	0	0
ELRC-648-Letter_rights_person	v1	ELRC-CORDIS_News	v1	147	132399	0	0	0
ELRC-648-Letter_rights_person	v1	OfisPublik	v1	147	61478	0	0	0
