corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-735-www.norden.org	v1	ELRC-4239-NTEU_TierA	v1	42742	12577938	42742	100.00	.33
ELRC-735-www.norden.org	v1	ELRC-www.norden.org	v1	42742	42742	42742	100.00	100.00
ELRC-735-www.norden.org	v1	ParaCrawl	v9	42742	31315288	2814	6.58	0
ELRC-735-www.norden.org	v1	CCMatrix	v1	42742	35804134	1305	3.05	0
ELRC-735-www.norden.org	v1	CCAligned	v1	42742	9646025	135	.31	0
ELRC-735-www.norden.org	v1	TildeMODEL	v2018	42742	3022117	75	.17	0
ELRC-735-www.norden.org	v1	LinguaTools-WikiTitles	v2014	42742	4873168	70	.16	0
ELRC-735-www.norden.org	v1	DGT	v2019	42742	3624390	72	.16	0
ELRC-735-www.norden.org	v1	XLEnt	v1.1	42742	2501315	55	.12	0
ELRC-735-www.norden.org	v1	XLEnt	v1.2	42742	2501315	55	.12	0
ELRC-735-www.norden.org	v1	XLEnt	v1	42742	2501315	55	.12	0
ELRC-735-www.norden.org	v1	EUbookshop	v2	42742	1828277	42	.09	0
ELRC-735-www.norden.org	v1	KDE4	v2	42742	97623	29	.06	.02
ELRC-735-www.norden.org	v1	GNOME	v1	42742	13430	18	.04	.13
ELRC-735-www.norden.org	v1	OpenSubtitles	v2018	42742	23382097	17	.03	0
ELRC-735-www.norden.org	v1	ELRC-1769-valtioneuvosto.fi	v1	42742	49316	13	.03	.02
ELRC-735-www.norden.org	v1	ELRC-valtioneuvosto.fi	v1	42742	49316	13	.03	.02
ELRC-735-www.norden.org	v1	ELRC-1127-www.vtv.fi	v1	42742	42629	14	.03	.03
ELRC-735-www.norden.org	v1	ELRC-www.vtv.fi	v1	42742	42629	14	.03	.03
ELRC-735-www.norden.org	v1	ELRC-2708-EMEA	v1	42742	746684	9	.02	0
ELRC-735-www.norden.org	v1	ELRC-EMEA	v1	42742	746684	9	.02	0
ELRC-735-www.norden.org	v1	ECB	v1	42742	157318	9	.02	0
ELRC-735-www.norden.org	v1	ELRC-724-Hallituskausi_2007_2	v1	42742	53844	12	.02	.02
ELRC-735-www.norden.org	v1	ELRA-W0220	v1	42742	53843	11	.02	.02
ELRC-735-www.norden.org	v1	wikimedia	v20210402	42742	32290	9	.02	.02
ELRC-735-www.norden.org	v1	ELRC-725-Hallituskausi_2011_2	v1	42742	31351	10	.02	.03
ELRC-735-www.norden.org	v1	infopankki	v1	42742	21264	9	.02	.04
ELRC-735-www.norden.org	v1	EMEA	v3	42742	352115	5	.01	0
ELRC-735-www.norden.org	v1	ELRC-1771-vnk.fi	v1	42742	31527	8	.01	.02
ELRC-735-www.norden.org	v1	ELRC-vnk.fi	v1	42742	31527	8	.01	.02
ELRC-735-www.norden.org	v1	ELRC-2036-www.vero.fi	v1	42742	21285	6	.01	.02
ELRC-735-www.norden.org	v1	ELRC-www.vero.fi	v1	42742	21285	6	.01	.02
ELRC-735-www.norden.org	v1	ELRC-2032-www.turku.fi	v1	42742	17670	7	.01	.03
ELRC-735-www.norden.org	v1	ELRC-www.turku.fi	v1	42742	17670	7	.01	.03
ELRC-735-www.norden.org	v1	JRC-Acquis	v3.0	42742	13077	6	.01	.04
ELRC-735-www.norden.org	v1	Ubuntu	v14.10	42742	8138	5	.01	.06
ELRC-735-www.norden.org	v1	ECDC	v2016-03-16	42742	2545	8	.01	.31
ELRC-735-www.norden.org	v1	Europarl	v8	42742	1920092	2	0	0
ELRC-735-www.norden.org	v1	ELRC-5067-SciPar	v1	42742	457342	1	0	0
ELRC-735-www.norden.org	v1	WikiMatrix	v1	42742	375724	2	0	0
ELRC-735-www.norden.org	v1	ELITR-ECA	v1	42742	321871	1	0	0
ELRC-735-www.norden.org	v1	OpenSubtitles	v1	42742	103215	1	0	0
ELRC-735-www.norden.org	v1	QED	v2.0a	42742	96483	0	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v2022-03-03	42742	81194	2	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v2021-07-22	42742	80545	2	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v2021-03-10	42742	80040	2	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v2020-11-09	42742	79854	2	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v2020-05-31	42742	79685	1	0	0
ELRC-735-www.norden.org	v1	Tatoeba	v20190709	42742	78808	1	0	0
ELRC-735-www.norden.org	v1	bible-uedin	v1	42742	61310	0	0	0
ELRC-735-www.norden.org	v1	TED2020	v1	42742	43555	1	0	0
ELRC-735-www.norden.org	v1	NeuLab-TedTalks	v1	42742	26177	1	0	0
ELRC-735-www.norden.org	v1	ELRC-3559-EUR_LEX_covid	v1	42742	21735	1	0	0
ELRC-735-www.norden.org	v1	ELRC-EUR_LEX	v1	42742	21735	1	0	0
ELRC-735-www.norden.org	v1	WMT-News	v2019	42742	18820	0	0	0
ELRC-735-www.norden.org	v1	ELRC-2017-EUIPO_2017	v1	42742	16802	2	0	.01
ELRC-735-www.norden.org	v1	ELRC-EUIPO_2017	v1	42742	16802	2	0	.01
ELRC-735-www.norden.org	v1	ELRC-1128-www.visitestonia.com	v1	42742	14606	2	0	.01
ELRC-735-www.norden.org	v1	ELRC-www.visitestonia.com	v1	42742	14606	2	0	.01
ELRC-735-www.norden.org	v1	ELRC-2869-EU_publications_medi	v1	42742	12933	4	0	.03
ELRC-735-www.norden.org	v1	ELRC-EU_publications	v1	42742	12933	4	0	.03
ELRC-735-www.norden.org	v1	Tatoeba	v2	42742	12207	1	0	0
ELRC-735-www.norden.org	v1	ELRC-716-Finnish_Information_	v1	42742	9941	4	0	.04
ELRC-735-www.norden.org	v1	ELRC-Finnish_Information	v1	42742	9941	4	0	.04
ELRC-735-www.norden.org	v1	ELRA-W0217	v1	42742	9940	3	0	.03
