corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-774-Presidency	v1	EUbookshop	v2	16475	8268818	380	2.30	0
ELRC-774-Presidency	v1	CCMatrix	v1	16475	245958729	364	2.20	0
ELRC-774-Presidency	v1	DGT	v2019	16475	3598219	84	.50	0
ELRC-774-Presidency	v1	TildeMODEL	v2018	16475	4184303	65	.39	0
ELRC-774-Presidency	v1	JRC-Acquis	v3.0	16475	503393	49	.29	0
ELRC-774-Presidency	v1	CCAligned	v1	16475	15192790	44	.26	0
ELRC-774-Presidency	v1	ParaCrawl	v9	16475	278310902	25	.15	0
ELRC-774-Presidency	v1	LinguaTools-WikiTitles	v2014	16475	15812874	19	.11	0
ELRC-774-Presidency	v1	ECB	v1	16475	113033	19	.11	.01
ELRC-774-Presidency	v1	ELRC-2714-EMEA	v1	16475	752887	17	.10	0
ELRC-774-Presidency	v1	ELRC-EMEA	v1	16475	752887	17	.10	0
ELRC-774-Presidency	v1	ELRC_2682	v1	16475	620450	16	.09	0
ELRC-774-Presidency	v1	KDE4	v2	16475	187849	15	.09	0
ELRC-774-Presidency	v1	XLEnt	v1.1	16475	3802840	12	.07	0
ELRC-774-Presidency	v1	XLEnt	v1	16475	3802840	12	.07	0
ELRC-774-Presidency	v1	XLEnt	v1.2	16475	3802840	12	.07	0
ELRC-774-Presidency	v1	Europarl	v8	16475	1916512	11	.06	0
ELRC-774-Presidency	v1	WikiTitles	v3	16475	1386531	10	.06	0
ELRC-774-Presidency	v1	EMEA	v3	16475	357190	11	.06	0
ELRC-774-Presidency	v1	MultiUN	v1	16475	127300	11	.06	0
ELRC-774-Presidency	v1	ELRC-2875-EU_publications_medi	v1	16475	13280	10	.06	.07
ELRC-774-Presidency	v1	ELRC-EU_publications	v1	16475	13280	10	.06	.07
ELRC-774-Presidency	v1	wikimedia	v20210402	16475	103209	9	.05	0
ELRC-774-Presidency	v1	ELRC-2014-EUIPO_2017	v1	16475	17145	9	.05	.05
ELRC-774-Presidency	v1	ELRC-EUIPO_2017	v1	16475	17145	9	.05	.05
ELRC-774-Presidency	v1	QED	v2.0a	16475	492321	5	.03	0
ELRC-774-Presidency	v1	News-Commentary	v16	16475	285720	6	.03	0
ELRC-774-Presidency	v1	News-Commentary	v14	16475	285704	6	.03	0
ELRC-774-Presidency	v1	News-Commentary	v11	16475	222749	5	.03	0
ELRC-774-Presidency	v1	News-Commentary	v9.0	16475	200304	5	.03	0
ELRC-774-Presidency	v1	News-Commentary	v9.1	16475	200304	5	.03	0
ELRC-774-Presidency	v1	ELRC-630-BMVI_Publications	v1	16475	11541	6	.03	.05
ELRC-774-Presidency	v1	EUconst	v1	16475	6308	5	.03	.07
ELRC-774-Presidency	v1	ELRC-637-SIP	v1	16475	5687	5	.03	.08
ELRC-774-Presidency	v1	ELRC-1240-Austrian_Research_Te	v1	16475	2709	6	.03	.22
ELRC-774-Presidency	v1	ECDC	v2016-03-16	16475	2461	5	.03	.20
ELRC-774-Presidency	v1	ELRC-by_Presidency	v1	16475	9023	4	.02	.04
ELRC-774-Presidency	v1	ELRC-776-by_Presidency_Counci	v1	16475	4545	4	.02	.08
ELRC-774-Presidency	v1	OpenSubtitles	v2018	16475	18698900	3	.01	0
ELRC-774-Presidency	v1	WikiMatrix	v1	16475	1573421	2	.01	0
ELRC-774-Presidency	v1	Tatoeba	v2022-03-03	16475	313068	2	.01	0
ELRC-774-Presidency	v1	Tatoeba	v2021-07-22	16475	307276	2	.01	0
ELRC-774-Presidency	v1	Tatoeba	v2021-03-10	16475	302363	2	.01	0
ELRC-774-Presidency	v1	Tatoeba	v2020-11-09	16475	299698	2	.01	0
ELRC-774-Presidency	v1	TED2020	v1	16475	289362	3	.01	0
ELRC-774-Presidency	v1	ELITR-ECA	v1	16475	252015	2	.01	0
ELRC-774-Presidency	v1	NeuLab-TedTalks	v1	16475	182085	3	.01	0
ELRC-774-Presidency	v1	ELRC-1117-CORDIS_News	v1	16475	111275	2	.01	0
ELRC-774-Presidency	v1	ELRC-CORDIS_News	v1	16475	111275	2	.01	0
ELRC-774-Presidency	v1	GlobalVoices	v2018q4	16475	70537	2	.01	0
ELRC-774-Presidency	v1	GlobalVoices	v2017q3	16475	65711	2	.01	0
ELRC-774-Presidency	v1	GlobalVoices	v2015	16475	56630	2	.01	0
ELRC-774-Presidency	v1	ELRC-642-Federal_Foreign_Berl	v1	16475	53842	3	.01	0
ELRC-774-Presidency	v1	ELRC-638-Luxembourg.lu	v1	16475	35970	2	.01	0
ELRC-774-Presidency	v1	OpenOffice	v2	16475	35117	3	.01	0
ELRC-774-Presidency	v1	Ubuntu	v14.10	16475	13116	2	.01	.01
ELRC-774-Presidency	v1	ELRC-1088-German_Foreign_Offic	v1	16475	12554	2	.01	.01
ELRC-774-Presidency	v1	ELRC-634-BMI_Brochures_2011	v1	16475	8395	2	.01	.02
ELRC-774-Presidency	v1	GNOME	v1	16475	7515	3	.01	.03
ELRC-774-Presidency	v1	ELRC-621-Federal_Constitution	v1	16475	3971	3	.01	.07
ELRC-774-Presidency	v1	ELRC-3464-EC_EUROPA_covid	v1	16475	2555	2	.01	.07
ELRC-774-Presidency	v1	ELRC-EC_EUROPA	v1	16475	2555	2	.01	.07
ELRC-774-Presidency	v1	ELRC-1243-Vienna_Environmental	v1	16475	2222	2	.01	.09
ELRC-774-Presidency	v1	ELRC-3293-EUROPARL_covid	v1	16475	720	2	.01	.27
ELRC-774-Presidency	v1	ELRC-EUROPARL_covid	v1	16475	720	2	.01	.27
ELRC-774-Presidency	v1	EuroPat	v3	16475	19734743	1	0	0
ELRC-774-Presidency	v1	EuroPat	v2	16475	15571045	1	0	0
ELRC-774-Presidency	v1	EuroPat	v1	16475	12614161	0	0	0
ELRC-774-Presidency	v1	Wikipedia	v1.0	16475	2413702	0	0	0
ELRC-774-Presidency	v1	ELRC-5067-SciPar	v1	16475	890185	1	0	0
ELRC-774-Presidency	v1	Tanzil	v1	16475	516835	0	0	0
ELRC-774-Presidency	v1	Tatoeba	v2020-05-31	16475	294740	1	0	0
ELRC-774-Presidency	v1	Tatoeba	v20190709	16475	289207	1	0	0
ELRC-774-Presidency	v1	ELRC-1077-EUIPO_law	v1	16475	233271	1	0	0
ELRC-774-Presidency	v1	ELRC-EUIPO_law	v1	16475	233271	1	0	0
