corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-776-by_Presidency_Counci	v1	NLLB	v1	4769	533037982	2797	58.64	0
ELRC-776-by_Presidency_Counci	v1	CCMatrix	v1	4769	533454428	2795	58.60	0
ELRC-776-by_Presidency_Counci	v1	MultiParaCrawl	v8	4769	181982536	1634	34.26	0
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v8	4769	181982536	1634	34.26	0
ELRC-776-by_Presidency_Counci	v1	MultiParaCrawl	v9	4769	220525299	1545	32.39	0
ELRC-776-by_Presidency_Counci	v1	MultiParaCrawl	v9b	4769	220525299	1545	32.39	0
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v9	4769	220525299	1545	32.39	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4258-NTEU_TierA	v1	4769	10898481	107	2.24	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4240-NTEU_TierA	v1	4769	6832723	106	2.22	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4244-NTEU_TierA	v1	4769	11895609	105	2.20	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4189-NTEU_TierA	v1	4769	6722009	104	2.18	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4171-NTEU_TierA	v1	4769	6156952	103	2.15	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4149-NTEU_TierA	v1	4769	6376442	102	2.13	0
ELRC-776-by_Presidency_Counci	v1	MultiParaCrawl	v7.1	4769	79923441	99	2.07	0
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v7.1	4769	79923441	99	2.07	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4217-NTEU_TierA	v1	4769	13590557	99	2.07	0
ELRC-776-by_Presidency_Counci	v1	TildeMODEL	v2018	4769	5010796	98	2.05	0
ELRC-776-by_Presidency_Counci	v1	MultiCCAligned	v1.1	4769	94632804	90	1.88	0
ELRC-776-by_Presidency_Counci	v1	MultiCCAligned	v1	4769	94632804	90	1.88	0
ELRC-776-by_Presidency_Counci	v1	CCAligned	v1	4769	94632717	90	1.88	0
ELRC-776-by_Presidency_Counci	v1	ELRC-4198-NTEU_TierA	v1	4769	1697490	89	1.86	0
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v1	4769	30276960	77	1.61	0
ELRC-776-by_Presidency_Counci	v1	JRC-Acquis	v3.0	4769	1976740	55	1.15	0
ELRC-776-by_Presidency_Counci	v1	DGT	v4	4769	1830013	53	1.11	0
ELRC-776-by_Presidency_Counci	v1	LinguaTools-WikiTitles	v2014	4769	2438842	52	1.09	0
ELRC-776-by_Presidency_Counci	v1	XLEnt	v1.1	4769	3351823	51	1.06	0
ELRC-776-by_Presidency_Counci	v1	XLEnt	v1.2	4769	3351823	51	1.06	0
ELRC-776-by_Presidency_Counci	v1	XLEnt	v1	4769	3351823	51	1.06	0
ELRC-776-by_Presidency_Counci	v1	EUbookshop	v2	4769	13496826	49	1.02	0
ELRC-776-by_Presidency_Counci	v1	KDE4	v2	4769	172231	46	.96	.02
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v4	4769	18478509	42	.88	0
ELRC-776-by_Presidency_Counci	v1	WikiTitles	v3	4769	1349243	42	.88	0
ELRC-776-by_Presidency_Counci	v1	EMEA	v3	4769	344800	42	.88	.01
ELRC-776-by_Presidency_Counci	v1	MultiParaCrawl	v5	4769	38590372	40	.83	0
ELRC-776-by_Presidency_Counci	v1	ParaCrawl	v5	4769	38590372	40	.83	0
ELRC-776-by_Presidency_Counci	v1	ELRC-2410-Portal_oficial_turis	v1	4769	131791	35	.73	.02
ELRC-776-by_Presidency_Counci	v1	Mozilla-I10n	v1	4769	49470	35	.73	.07
ELRC-776-by_Presidency_Counci	v1	wikimedia	v20230407	4769	822231	34	.71	0
ELRC-776-by_Presidency_Counci	v1	ELRA-W0201	v1	4769	36597	34	.71	.09
ELRC-776-by_Presidency_Counci	v1	ELRC-638-Luxembourg.lu	v1	4769	36597	34	.71	.09
ELRC-776-by_Presidency_Counci	v1	wikimedia	v20210402	4769	456180	33	.69	0
ELRC-776-by_Presidency_Counci	v1	ECB	v1	4769	350182	29	.60	0
