corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-4268-NTEU_TierA	v1	1503	12468100	1498	99.66	.01
ELRC-823-Swedish_Swedish_Crim	v1	DGT	v2019	1503	3635425	27	1.79	0
ELRC-823-Swedish_Swedish_Crim	v1	TildeMODEL	v2018	1503	3185574	26	1.72	0
ELRC-823-Swedish_Swedish_Crim	v1	CCAligned	v1	1503	12482304	24	1.59	0
ELRC-823-Swedish_Swedish_Crim	v1	XLEnt	v1.1	1503	3403994	12	.79	0
ELRC-823-Swedish_Swedish_Crim	v1	XLEnt	v1	1503	3403994	12	.79	0
ELRC-823-Swedish_Swedish_Crim	v1	EUbookshop	v2	1503	1753373	10	.66	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2725-EMEA	v1	1503	752045	10	.66	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EMEA	v1	1503	752045	10	.66	0
ELRC-823-Swedish_Swedish_Crim	v1	KDE4	v2	1503	192221	10	.66	0
ELRC-823-Swedish_Swedish_Crim	v1	ParaCrawl	v9	1503	49109340	7	.46	0
ELRC-823-Swedish_Swedish_Crim	v1	JRC-Acquis	v3.0	1503	493351	7	.46	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-1133-www.vtv.fi	v1	1503	46345	7	.46	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-www.vtv.fi	v1	1503	46345	7	.46	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-817-Swedish_Audit_Riksre	v1	1503	28944	7	.46	.02
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-802-Swedish_Competition_	v1	1503	9354	7	.46	.07
ELRC-823-Swedish_Swedish_Crim	v1	infopankki	v1	1503	14749	6	.39	.04
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-744-Finnish_Information_	v1	1503	6818	6	.39	.08
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-Finnish_Information	v1	1503	6818	6	.39	.08
ELRC-823-Swedish_Swedish_Crim	v1	EMEA	v3	1503	347727	5	.33	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-734-www.norden.org	v1	1503	37760	5	.33	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-www.norden.org	v1	1503	37760	5	.33	.01
ELRC-823-Swedish_Swedish_Crim	v1	wikimedia	v20210402	1503	29811	5	.33	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2026-EUIPO_2017	v1	1503	16947	5	.33	.02
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EUIPO_2017	v1	1503	16947	5	.33	.02
ELRC-823-Swedish_Swedish_Crim	v1	ELRA-W0222	v1	1503	6817	5	.33	.07
ELRC-823-Swedish_Swedish_Crim	v1	OpenSubtitles	v2018	1503	14904885	3	.19	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-1770-valtioneuvosto.fi	v1	1503	49084	3	.19	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-valtioneuvosto.fi	v1	1503	49084	3	.19	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-1772-vnk.fi	v1	1503	33625	3	.19	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-vnk.fi	v1	1503	33625	3	.19	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2037-www.vero.fi	v1	1503	22317	3	.19	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-www.vero.fi	v1	1503	22317	3	.19	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-928-Annual_Reports_Swedi	v1	1503	10224	3	.19	.02
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-Swedish_Labour	v1	1503	2381	3	.19	.12
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-401-Swedish_Labour_Part2	v1	1503	1530	3	.19	.19
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-416-Swedish_Social_Secur	v1	1503	863	3	.19	.34
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-5067-SciPar	v1	1503	670816	2	.13	0
ELRC-823-Swedish_Swedish_Crim	v1	WikiMatrix	v1	1503	546289	2	.13	0
ELRC-823-Swedish_Swedish_Crim	v1	OpenOffice	v2	1503	32770	2	.13	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-1131-www.visitestonia.com	v1	1503	14329	2	.13	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-www.visitestonia.com	v1	1503	14329	2	.13	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2884-EU_publications_medi	v1	1503	13089	2	.13	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EU_publications	v1	1503	13089	2	.13	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-417-Swedish_Work_Environ	v1	1503	6999	2	.13	.02
ELRC-823-Swedish_Swedish_Crim	v1	EUconst	v1	1503	6598	2	.13	.03
ELRC-823-Swedish_Swedish_Crim	v1	ELRC_416	v1	1503	862	2	.13	.23
ELRC-823-Swedish_Swedish_Crim	v1	Europarl	v8	1503	1846661	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	ELITR-ECA	v1	1503	336379	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	OpenSubtitles	v1	1503	298889	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	QED	v2.0a	1503	160782	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	TED2020	v1	1503	117646	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	Tatoeba	v2022-03-03	1503	26220	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	Tatoeba	v2021-07-22	1503	25865	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	Tatoeba	v2021-03-10	1503	25646	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	Tatoeba	v2020-11-09	1503	25493	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3574-EUR_LEX_covid	v1	1503	22436	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EUR_LEX	v1	1503	22436	1	.06	0
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2033-www.turku.fi	v1	1503	9704	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-www.turku.fi	v1	1503	9704	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	GlobalVoices	v2018q4	1503	8383	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-829-Swedish_Migration_Bo	v1	1503	8361	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-Swedish_Migration	v1	1503	8361	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3615-presscorner_covid	v1	1503	6855	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-presscorner_covid	v1	1503	6855	1	.06	.01
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-1013-Sweden_a_Pocket	v1	1503	2200	1	.06	.04
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-712-Social_Insurance_Frs	v1	1503	1953	1	.06	.05
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3473-EC_EUROPA_covid	v1	1503	1856	1	.06	.05
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EC_EUROPA	v1	1503	1856	1	.06	.05
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-929-www.sida.se	v1	1503	1545	1	.06	.06
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-436-Swedish_Food	v1	1503	1063	1	.06	.09
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3213-antibiotic	v1	1503	952	1	.06	.10
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-antibiotic	v1	1503	952	1	.06	.10
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-406-Swedish_Labour_Part1	v1	1503	940	1	.06	.10
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-830-Swedish_Economic_Reg	v1	1503	904	1	.06	.11
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3302-EUROPARL_covid	v1	1503	844	1	.06	.11
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-EUROPARL_covid	v1	1503	844	1	.06	.11
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-3082-wikipedia_health	v1	1503	535	1	.06	.18
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-wikipedia_health	v1	1503	535	1	.06	.18
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-2752-vaccination	v1	1503	496	1	.06	.20
ELRC-823-Swedish_Swedish_Crim	v1	ELRC-vaccination	v1	1503	496	1	.06	.20
ELRC-823-Swedish_Swedish_Crim	v1	GNOME	v1	1503	149	1	.06	.67
