corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-832-CHARTER_VALUES_CITIZ	v1	ParaCrawl	v9	90	877766608	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	CCAligned	v1	90	405094222	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	OpenSubtitles	v2018	90	102548132	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	StanfordNLP-NMT	v1.0	90	14386355	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	wikimedia	v20210402	90	11389460	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	wikimedia	v20190628	90	352711	9	10.00	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	giga-fren	v2	90	20786998	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Samanantar	v0.2	90	16891660	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4248-NTEU_TierA	v1	90	12854274	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4239-NTEU_TierA	v1	90	11906559	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4268-NTEU_TierA	v1	90	11782507	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	LinguaTools-WikiTitles	v2014	90	8265652	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Wikipedia	v1.0	90	7646905	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	QED	v2.0a	90	7299297	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4270-NTEU_TierA	v1	90	7252413	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4269-NTEU_TierA	v1	90	7234848	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4271-NTEU_TierA	v1	90	7211577	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4154-NTEU_TierA	v1	90	7119873	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-4142-NTEU_TierA	v1	90	2152367	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	JRC-Acquis	v3.0	90	1923776	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ParIce	v1	90	1364589	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	IITB	v2.0	90	1105433	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-396-Foreign_Affairs_Norw	v1	90	669717	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	EhuHac	v1	90	596213	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	memat	v1	90	145098	8	8.88	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	SPC	v1	90	59926	8	8.88	.01
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-837-Legal	v1	90	1291	8	8.88	.61
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-845-Corpora_legal_text	v1	90	924	8	8.88	.86
ELRC-832-CHARTER_VALUES_CITIZ	v1	EuroPat	v3	90	79873063	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	EuroPat	v2	90	70531170	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	JParaCrawl	v3.0	90	22179932	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	EuroPat	v1	90	22132306	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	TildeMODEL	v2018	90	5686357	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	SciELO	v1	90	3061142	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Europarl	v8	90	2375417	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Anuvaad	v1	90	1950854	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	OpenSubtitles	v1	90	1598451	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	GoURMET	v1	90	1541708	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	GlobalVoices	v2018q4	90	1154583	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	GlobalVoices	v2017q3	90	1091521	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	MIZAN	v1	90	1016854	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	GlobalVoices	v2015	90	954153	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Nunavut_Hansard	v3.0.1	90	744551	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	News-Commentary	v16	90	633326	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	News-Commentary	v14	90	530397	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-EUIPO_law	v1	90	485617	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	KFTT	v1.0	90	433311	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	News-Commentary	v11	90	362778	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	News-Commentary	v9.0	90	328698	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	News-Commentary	v9.1	90	328698	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	EMEA	v3	90	316149	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	90	279832	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-1077-EUIPO_law	v1	90	249932	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	Joshua-IPC	v1	90	198174	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-425-Lithuanian_legislati	v1	90	126666	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-1076-EUIPO_law	v1	90	114632	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-Secretariat_General	v1	90	113374	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRA-W0138	v1	90	90058	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-1075-EUIPO_law	v1	90	90058	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	SUMMA	v1	90	89864	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	pmindia	v1	90	80655	7	7.77	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRA-W0191	v1	90	61046	7	7.77	.01
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-490-Secretariat_General_	v1	90	61046	7	7.77	.01
ELRC-832-CHARTER_VALUES_CITIZ	v1	ELRC-768-corpora_State_Admini	v1	90	49864	7	7.77	.01
