corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-846-Legislation_Portugue	v1	JRC-Acquis	v3.0	1518	1040014	82	5.40	0
ELRC-846-Legislation_Portugue	v1	ELRC-438-Legislation_PT	v1	1518	2324	72	4.74	3.09
ELRC-846-Legislation_Portugue	v1	MultiCCAligned	v1	1518	46096787	56	3.68	0
ELRC-846-Legislation_Portugue	v1	ELRC-2481-Constituio_da_Repbli	v1	1518	2891	53	3.49	1.83
ELRC-846-Legislation_Portugue	v1	DGT	v2019	1518	3617153	32	2.10	0
ELRC-846-Legislation_Portugue	v1	DGT	v4	1518	1963751	31	2.04	0
ELRC-846-Legislation_Portugue	v1	EUbookshop	v2	1518	3772762	21	1.38	0
ELRC-846-Legislation_Portugue	v1	CCAligned	v1	1518	13523846	18	1.18	0
ELRC-846-Legislation_Portugue	v1	ParaCrawl	v1	1518	2801742	16	1.05	0
ELRC-846-Legislation_Portugue	v1	TildeMODEL	v2018	1518	1114245	12	.79	0
ELRC-846-Legislation_Portugue	v1	ECB	v1	1518	201655	10	.65	0
ELRC-846-Legislation_Portugue	v1	ELRC-2883-EU_publications_medi	v1	1518	13138	9	.59	.06
ELRC-846-Legislation_Portugue	v1	ELRC-EU_publications	v1	1518	13138	9	.59	.06
ELRC-846-Legislation_Portugue	v1	XLEnt	v1.1	1518	5417987	7	.46	0
ELRC-846-Legislation_Portugue	v1	XLEnt	v1	1518	5417987	7	.46	0
ELRC-846-Legislation_Portugue	v1	XLEnt	v1.2	1518	5417987	7	.46	0
ELRC-846-Legislation_Portugue	v1	KDE4	v2	1518	186890	6	.39	0
ELRC-846-Legislation_Portugue	v1	wikimedia	v20230407	1518	787133	5	.32	0
ELRC-846-Legislation_Portugue	v1	ELRC-2025-EUIPO_2017	v1	1518	17108	5	.32	.02
ELRC-846-Legislation_Portugue	v1	ELRC-EUIPO_2017	v1	1518	17108	5	.32	.02
ELRC-846-Legislation_Portugue	v1	EUconst	v1	1518	6785	5	.32	.07
ELRC-846-Legislation_Portugue	v1	ParaCrawl	v8	1518	102630613	4	.26	0
ELRC-846-Legislation_Portugue	v1	ParaCrawl	v9	1518	84925921	4	.26	0
ELRC-846-Legislation_Portugue	v1	LinguaTools-WikiTitles	v2014	1518	7955215	4	.26	0
ELRC-846-Legislation_Portugue	v1	ELRC-2724-EMEA	v1	1518	768690	4	.26	0
ELRC-846-Legislation_Portugue	v1	ELRC-EMEA	v1	1518	768690	4	.26	0
ELRC-846-Legislation_Portugue	v1	wikimedia	v20210402	1518	485721	4	.26	0
ELRC-846-Legislation_Portugue	v1	EMEA	v3	1518	356528	3	.19	0
ELRC-846-Legislation_Portugue	v1	MultiParaCrawl	v7.1	1518	31486943	2	.13	0
ELRC-846-Legislation_Portugue	v1	SciELO	v1	1518	2746160	2	.13	0
ELRC-846-Legislation_Portugue	v1	WikiMatrix	v1	1518	2461553	2	.13	0
ELRC-846-Legislation_Portugue	v1	ELRC-3573-EUR_LEX_covid	v1	1518	20988	2	.13	0
ELRC-846-Legislation_Portugue	v1	ELRC-EUR_LEX	v1	1518	20988	2	.13	0
ELRC-846-Legislation_Portugue	v1	ELRC-853-Portuguese_Constitut	v1	1518	1486	2	.13	.13
ELRC-846-Legislation_Portugue	v1	ELRC-2480-Estatuto_dos_Deputad	v1	1518	397	2	.13	.50
ELRC-846-Legislation_Portugue	v1	ParaCrawl	v7.1	1518	31486942	1	.06	0
ELRC-846-Legislation_Portugue	v1	ELRC-5067-SciPar	v1	1518	974168	1	.06	0
ELRC-846-Legislation_Portugue	v1	ELITR-ECA	v1	1518	342089	1	.06	0
ELRC-846-Legislation_Portugue	v1	TED2020	v1	1518	320285	1	.06	0
ELRC-846-Legislation_Portugue	v1	Tatoeba	v2023-04-12	1518	227632	1	.06	0
ELRC-846-Legislation_Portugue	v1	Tatoeba	v2022-03-03	1518	219187	1	.06	0
ELRC-846-Legislation_Portugue	v1	Tatoeba	v2021-07-22	1518	217627	1	.06	0
ELRC-846-Legislation_Portugue	v1	Tatoeba	v2021-03-10	1518	215977	1	.06	0
ELRC-846-Legislation_Portugue	v1	Tatoeba	v2020-11-09	1518	214401	1	.06	0
ELRC-846-Legislation_Portugue	v1	GlobalVoices	v2018q4	1518	85532	1	.06	0
ELRC-846-Legislation_Portugue	v1	NeuLab-TedTalks	v1	1518	78585	1	.06	0
ELRC-846-Legislation_Portugue	v1	News-Commentary	v14	1518	53135	1	.06	0
ELRC-846-Legislation_Portugue	v1	News-Commentary	v16	1518	53135	1	.06	0
ELRC-846-Legislation_Portugue	v1	ELRC-3080-wikipedia_health	v1	1518	7293	1	.06	.01
ELRC-846-Legislation_Portugue	v1	ELRC-wikipedia_health	v1	1518	7293	1	.06	.01
ELRC-846-Legislation_Portugue	v1	ELRC-3614-presscorner_covid	v1	1518	6318	1	.06	.01
ELRC-846-Legislation_Portugue	v1	ELRC-presscorner_covid	v1	1518	6318	1	.06	.01
ELRC-846-Legislation_Portugue	v1	ELRC-3472-EC_EUROPA_covid	v1	1518	2659	1	.06	.03
ELRC-846-Legislation_Portugue	v1	ELRC-EC_EUROPA	v1	1518	2659	1	.06	.03
ELRC-846-Legislation_Portugue	v1	ELRC-2638-monumentos_2007	v1	1518	2530	1	.06	.03
ELRC-846-Legislation_Portugue	v1	ECDC	v2016-03-16	1518	2430	1	.06	.04
ELRC-846-Legislation_Portugue	v1	ELRA-W0246	v1	1518	1485	1	.06	.06
ELRC-846-Legislation_Portugue	v1	ELRC-2614-Localidades_2007	v1	1518	1416	1	.06	.07
ELRC-846-Legislation_Portugue	v1	ELRC-Localidades_2007	v1	1518	1416	1	.06	.07
ELRC-846-Legislation_Portugue	v1	ELRC-2612-Artigos_visitportuga	v1	1518	1250	1	.06	.08
ELRC-846-Legislation_Portugue	v1	ELRC-Artigos_visitportuga	v1	1518	1250	1	.06	.08
ELRC-846-Legislation_Portugue	v1	ELRC-3301-EUROPARL_covid	v1	1518	863	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-EUROPARL_covid	v1	1518	863	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-2560-government_websites_	v1	1518	844	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-government_websites	v1	1518	844	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-3212-antibiotic	v1	1518	837	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-antibiotic	v1	1518	837	1	.06	.11
ELRC-846-Legislation_Portugue	v1	ELRC-Museus_2007	v1	1518	832	1	.06	.12
ELRC-846-Legislation_Portugue	v1	ELRC-2616-Museus_2007	v1	1518	830	1	.06	.12
ELRC-846-Legislation_Portugue	v1	ELRC-2641-Praias_2007	v1	1518	595	1	.06	.16
ELRC-846-Legislation_Portugue	v1	ELRC-Praias_2007	v1	1518	595	1	.06	.16
ELRC-846-Legislation_Portugue	v1	ELRC-2747-vaccination	v1	1518	474	1	.06	.21
ELRC-846-Legislation_Portugue	v1	ELRC-vaccination	v1	1518	474	1	.06	.21
