corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-919-akadeemia.ee	v1	ELRC-4271-NTEU_TierA	v1	8967	7730635	8964	99.96	.11
ELRC-919-akadeemia.ee	v1	ELRA-W0265	v1	8967	8966	8881	99.04	99.05
ELRC-919-akadeemia.ee	v1	DGT	v2019	8967	3620944	129	1.43	0
ELRC-919-akadeemia.ee	v1	CCMatrix	v1	8967	21877049	52	.57	0
ELRC-919-akadeemia.ee	v1	CCAligned	v1	8967	4086794	37	.41	0
ELRC-919-akadeemia.ee	v1	TildeMODEL	v2018	8967	2032695	27	.30	0
ELRC-919-akadeemia.ee	v1	JRC-Acquis	v3.0	8967	484378	23	.25	0
ELRC-919-akadeemia.ee	v1	XLEnt	v1.1	8967	1677851	14	.15	0
ELRC-919-akadeemia.ee	v1	XLEnt	v1.2	8967	1677851	14	.15	0
ELRC-919-akadeemia.ee	v1	XLEnt	v1	8967	1677851	14	.15	0
ELRC-919-akadeemia.ee	v1	ELRC-411-Bank_Estonia	v1	8967	16761	12	.13	.07
ELRC-919-akadeemia.ee	v1	EUbookshop	v2	8967	365564	10	.11	0
ELRC-919-akadeemia.ee	v1	ELRC-2882-EU_publications_medi	v1	8967	13006	9	.10	.06
ELRC-919-akadeemia.ee	v1	ELRC-EU_publications	v1	8967	13006	9	.10	.06
ELRC-919-akadeemia.ee	v1	ParaCrawl	v9	8967	8539880	8	.08	0
ELRC-919-akadeemia.ee	v1	ELRC-2723-EMEA	v1	8967	762693	7	.07	0
ELRC-919-akadeemia.ee	v1	ELRC-EMEA	v1	8967	762693	7	.07	0
ELRC-919-akadeemia.ee	v1	KDE4	v2	8967	191995	7	.07	0
ELRC-919-akadeemia.ee	v1	ECB	v1	8967	119327	7	.07	0
ELRC-919-akadeemia.ee	v1	ELRC_2682	v1	8967	762692	6	.06	0
ELRC-919-akadeemia.ee	v1	EMEA	v3	8967	329076	6	.06	0
ELRC-919-akadeemia.ee	v1	OpenSubtitles	v2018	8967	10204743	4	.04	0
ELRC-919-akadeemia.ee	v1	ELITR-ECA	v1	8967	118459	2	.02	0
ELRC-919-akadeemia.ee	v1	ELRC-429-Legal_Estonian_Justi	v1	8967	47215	2	.02	0
ELRC-919-akadeemia.ee	v1	ELRC-3471-EC_EUROPA_covid	v1	8967	2707	2	.02	.07
ELRC-919-akadeemia.ee	v1	ELRC-EC_EUROPA	v1	8967	2707	2	.02	.07
ELRC-919-akadeemia.ee	v1	ECDC	v2016-03-16	8967	2484	2	.02	.08
ELRC-919-akadeemia.ee	v1	ELRC-770-National_Security_De	v1	8967	865	2	.02	.23
ELRC-919-akadeemia.ee	v1	WikiMatrix	v1	8967	243870	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-5067-SciPar	v1	8967	83479	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRA-W0167	v1	8967	47214	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-939-vp2006_2016.presiden	v1	8967	29520	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-431-Estonian_Foreign_Aff	v1	8967	27797	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-938-vp2001_2006.presiden	v1	8967	25557	1	.01	0
ELRC-919-akadeemia.ee	v1	TED2020	v1	8967	22985	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-3572-EUR_LEX_covid	v1	8967	22028	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-EUR_LEX	v1	8967	22028	1	.01	0
ELRC-919-akadeemia.ee	v1	wikimedia	v20210402	8967	17145	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-2016-EUIPO_2017	v1	8967	16864	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-EUIPO_2017	v1	8967	16864	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-937-vp1992_2001.presiden	v1	8967	16712	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-2461-press_releases_Forei	v1	8967	15997	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-1129-www.visitestonia.com	v1	8967	13904	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-www.visitestonia.com	v1	8967	13904	1	.01	0
ELRC-919-akadeemia.ee	v1	NeuLab-TedTalks	v1	8967	11827	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-393-Estonian_Cabinet_Min	v1	8967	11530	1	.01	0
ELRC-919-akadeemia.ee	v1	ELRC-717-Finnish_Information_	v1	8967	8321	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-Finnish_Information	v1	8967	8321	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-3613-presscorner_covid	v1	8967	7084	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-presscorner_covid	v1	8967	7084	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-940-president.ee	v1	8967	6933	1	.01	.01
ELRC-919-akadeemia.ee	v1	EUconst	v1	8967	6669	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-2457-Estonian_Classificat	v1	8967	6438	1	.01	.01
ELRC-919-akadeemia.ee	v1	ELRC-714-Parliament_Estonia	v1	8967	5326	1	.01	.01
ELRC-919-akadeemia.ee	v1	Tatoeba	v2021-07-22	8967	2448	1	.01	.04
ELRC-919-akadeemia.ee	v1	Tatoeba	v2022-03-03	8967	2448	1	.01	.04
ELRC-919-akadeemia.ee	v1	Tatoeba	v2021-03-10	8967	2438	1	.01	.04
ELRC-919-akadeemia.ee	v1	Tatoeba	v2020-11-09	8967	2426	1	.01	.04
ELRC-919-akadeemia.ee	v1	ELRC-3211-antibiotic	v1	8967	721	1	.01	.13
ELRC-919-akadeemia.ee	v1	ELRC-antibiotic	v1	8967	721	1	.01	.13
