corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-921-studies_challenges_C	v1	ELRC-4142-NTEU_TierA	v1	11852	2270641	11852	100.00	.52
ELRC-921-studies_challenges_C	v1	ELRA-W0266	v1	11852	11852	11852	100.00	100.00
ELRC-921-studies_challenges_C	v1	MultiCCAligned	v1.1	11852	8500546	88	.74	0
ELRC-921-studies_challenges_C	v1	MultiCCAligned	v1	11852	8500546	88	.74	0
ELRC-921-studies_challenges_C	v1	CCAligned	v1	11852	8500544	88	.74	0
ELRC-921-studies_challenges_C	v1	MaCoCu	v2	11852	2327636	74	.62	0
ELRC-921-studies_challenges_C	v1	MultiMaCoCu	v2	11852	2327636	74	.62	0
ELRC-921-studies_challenges_C	v1	ELRC-4198-NTEU_TierA	v1	11852	1787413	74	.62	0
ELRC-921-studies_challenges_C	v1	ELRC-4241-NTEU_TierA	v1	11852	1742195	74	.62	0
ELRC-921-studies_challenges_C	v1	ELRC-4219-NTEU_TierA	v1	11852	1480464	67	.56	0
ELRC-921-studies_challenges_C	v1	ELRC-4197-NTEU_TierA	v1	11852	1472103	67	.56	0
ELRC-921-studies_challenges_C	v1	ELRC-4150-NTEU_TierA	v1	11852	1465451	67	.56	0
ELRC-921-studies_challenges_C	v1	ELRC-4180-NTEU_TierA	v1	11852	1454907	67	.56	0
ELRC-921-studies_challenges_C	v1	ELRC-4185-NTEU_TierA	v1	11852	1664644	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4193-NTEU_TierA	v1	11852	1637947	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4283-NTEU_TierA	v1	11852	1632859	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4201-NTEU_TierA	v1	11852	1481224	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4236-NTEU_TierA	v1	11852	1480700	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4254-NTEU_TierA	v1	11852	1479052	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4209-NTEU_TierA	v1	11852	1475737	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4260-NTEU_TierA	v1	11852	1474564	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4266-NTEU_TierA	v1	11852	1471464	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4229-NTEU_TierA	v1	11852	1468849	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4192-NTEU_TierA	v1	11852	1466894	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4170-NTEU_TierA	v1	11852	1463163	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4174-NTEU_TierA	v1	11852	1460366	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4277-NTEU_TierA	v1	11852	1457471	66	.55	0
ELRC-921-studies_challenges_C	v1	ELRC-4152-NTEU_TierA	v1	11852	1487037	65	.54	0
ELRC-921-studies_challenges_C	v1	MultiParaCrawl	v7.1	11852	6600910	56	.47	0
ELRC-921-studies_challenges_C	v1	ParaCrawl	v7.1	11852	6600910	56	.47	0
ELRC-921-studies_challenges_C	v1	MultiParaCrawl	v8	11852	8838591	54	.45	0
ELRC-921-studies_challenges_C	v1	ParaCrawl	v8	11852	8838591	54	.45	0
ELRC-921-studies_challenges_C	v1	HPLT	v1	11852	8309633	52	.43	0
ELRC-921-studies_challenges_C	v1	MultiHPLT	v1	11852	8309633	52	.43	0
ELRC-921-studies_challenges_C	v1	XLEnt	v1.1	11852	2264358	47	.39	0
ELRC-921-studies_challenges_C	v1	XLEnt	v1	11852	2264358	47	.39	0
ELRC-921-studies_challenges_C	v1	XLEnt	v1.2	11852	2264358	47	.39	0
ELRC-921-studies_challenges_C	v1	TildeMODEL	v2018	11852	772288	46	.38	0
ELRC-921-studies_challenges_C	v1	OpenSubtitles	v2018	11852	39548183	33	.27	0
ELRC-921-studies_challenges_C	v1	MultiParaCrawl	v9	11852	2831458	30	.25	0
