corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-937-vp1992_2001.presiden	v1	ELRC-4271-NTEU_TierA	v1	16712	7730635	16712	100.00	.21
ELRC-937-vp1992_2001.presiden	v1	CCMatrix	v1	16712	21877049	562	3.36	0
ELRC-937-vp1992_2001.presiden	v1	NLLB	v1	16712	21876691	562	3.36	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v8	16712	8585187	296	1.77	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v9	16712	8539880	292	1.74	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v5	16712	1379164	221	1.32	.01
ELRC-937-vp1992_2001.presiden	v1	MultiParaCrawl	v7.1	16712	3180465	218	1.30	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v7.1	16712	3180464	217	1.29	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v4	16712	848980	23	.13	0
ELRC-937-vp1992_2001.presiden	v1	OpenSubtitles	v2018	16712	10204743	19	.11	0
ELRC-937-vp1992_2001.presiden	v1	ParaCrawl	v1	16712	1289766	20	.11	0
ELRC-937-vp1992_2001.presiden	v1	OpenSubtitles	v2016	16712	8489455	17	.10	0
ELRC-937-vp1992_2001.presiden	v1	ELRC-938-vp2001_2006.presiden	v1	16712	25557	14	.08	.05
ELRC-937-vp1992_2001.presiden	v1	Europarl	v8	16712	632077	12	.07	0
ELRC-937-vp1992_2001.presiden	v1	Europarl	v7	16712	631699	12	.07	0
ELRC-937-vp1992_2001.presiden	v1	ELRC-939-vp2006_2016.presiden	v1	16712	29520	10	.05	.03
ELRC-937-vp1992_2001.presiden	v1	MultiCCAligned	v1	16712	4086863	7	.04	0
ELRC-937-vp1992_2001.presiden	v1	CCAligned	v1	16712	4086794	7	.04	0
ELRC-937-vp1992_2001.presiden	v1	XLEnt	v1.1	16712	1677851	7	.04	0
ELRC-937-vp1992_2001.presiden	v1	XLEnt	v1	16712	1677851	7	.04	0
ELRC-937-vp1992_2001.presiden	v1	XLEnt	v1.2	16712	1677851	7	.04	0
ELRC-937-vp1992_2001.presiden	v1	ELRC-431-Estonian_Foreign_Aff	v1	16712	27797	6	.03	.02
ELRC-937-vp1992_2001.presiden	v1	ELRA-W0168	v1	16712	27796	5	.02	.01
ELRC-937-vp1992_2001.presiden	v1	ELRC-2461-press_releases_Forei	v1	16712	15997	5	.02	.03
ELRC-937-vp1992_2001.presiden	v1	TildeMODEL	v2018	16712	2032695	2	.01	0
ELRC-937-vp1992_2001.presiden	v1	ELRC-2723-EMEA	v1	16712	762693	2	.01	0
ELRC-937-vp1992_2001.presiden	v1	ELRC-EMEA	v1	16712	762693	2	.01	0
ELRC-937-vp1992_2001.presiden	v1	QED	v2.0a	16712	159715	3	.01	0
ELRC-937-vp1992_2001.presiden	v1	TED2020	v1	16712	22985	3	.01	.01
ELRC-937-vp1992_2001.presiden	v1	NeuLab-TedTalks	v1	16712	11827	2	.01	.01
ELRC-937-vp1992_2001.presiden	v1	ELRC-940-president.ee	v1	16712	6933	3	.01	.04
ELRC-937-vp1992_2001.presiden	v1	Tatoeba	v2023-04-12	16712	2538	2	.01	.07
ELRC-937-vp1992_2001.presiden	v1	Tatoeba	v2021-07-22	16712	2448	2	.01	.08
ELRC-937-vp1992_2001.presiden	v1	Tatoeba	v2022-03-03	16712	2448	2	.01	.08
ELRC-937-vp1992_2001.presiden	v1	Tatoeba	v2021-03-10	16712	2438	2	.01	.08
ELRC-937-vp1992_2001.presiden	v1	Tatoeba	v2020-11-09	16712	2426	2	.01	.08
ELRC-937-vp1992_2001.presiden	v1	DGT	v2019	16712	3620944	1	0	0
