corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-953-Centre_Nuclear_Resea	v1	ELRA-W0278	v1	2756	2755	2681	97.27	97.31
ELRC-953-Centre_Nuclear_Resea	v1	CCMatrix	v1	2756	73625347	132	4.78	0
ELRC-953-Centre_Nuclear_Resea	v1	ParaCrawl	v9	2756	40082038	66	2.39	0
ELRC-953-Centre_Nuclear_Resea	v1	CCAligned	v1	2756	12846330	38	1.37	0
ELRC-953-Centre_Nuclear_Resea	v1	DGT	v2019	2756	3659053	8	.29	0
ELRC-953-Centre_Nuclear_Resea	v1	TildeMODEL	v2018	2756	2124677	7	.25	0
ELRC-953-Centre_Nuclear_Resea	v1	KDE4	v2	2756	160232	6	.21	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-2726-EMEA	v1	2756	756950	3	.10	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-EMEA	v1	2756	756950	3	.10	0
ELRC-953-Centre_Nuclear_Resea	v1	XLEnt	v1.1	2756	5202602	2	.07	0
ELRC-953-Centre_Nuclear_Resea	v1	XLEnt	v1	2756	5202602	2	.07	0
ELRC-953-Centre_Nuclear_Resea	v1	EMEA	v3	2756	343975	2	.07	0
ELRC-953-Centre_Nuclear_Resea	v1	wikimedia	v20210402	2756	51386	2	.07	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-674-Polish_Investment_Tr	v1	2756	14736	2	.07	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-888-Employment_Services_	v1	2756	2997	2	.07	.06
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-3855-SWPS_University_Soci	v1	2756	1260	2	.07	.15
ELRC-953-Centre_Nuclear_Resea	v1	OpenSubtitles	v2018	2756	34512858	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	JRC-Acquis	v3.0	2756	1048242	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-5067-SciPar	v1	2756	862076	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	WikiMatrix	v1	2756	668647	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	EuroPat	v3	2756	332120	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	TED2020	v1	2756	293265	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELITR-ECA	v1	2756	257916	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-1124-CORDIS_Results_Brief	v1	2756	201566	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-CORDIS_Results	v1	2756	201566	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	EuroPat	v2	2756	88959	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-1120-CORDIS_News	v1	2756	87745	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-CORDIS_News	v1	2756	87745	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	Tatoeba	v2022-03-03	2756	54736	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	Tatoeba	v2021-07-22	2756	54279	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	Tatoeba	v2021-03-10	2756	54235	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	Tatoeba	v2020-11-09	2756	54179	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	GlobalVoices	v2018q4	2756	48868	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-975-Science_Poland	v1	2756	28134	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-3575-EUR_LEX_covid	v1	2756	22105	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-EUR_LEX	v1	2756	22105	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-1178-EUIPO_2017	v1	2756	17489	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-EUIPO_2017	v1	2756	17489	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRA-W0212	v1	2756	14735	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-2885-EU_publications_medi	v1	2756	12751	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-EU_publications	v1	2756	12751	1	.03	0
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-864-Chancellery_Prime_Mi	v1	2756	9385	1	.03	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-3616-presscorner_covid	v1	2756	7293	1	.03	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-presscorner_covid	v1	2756	7293	1	.03	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-477-Health_Fund	v1	2756	5787	1	.03	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-945-Business_Poland	v1	2756	5491	1	.03	.01
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-947-Polish_Aid	v1	2756	4568	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-949-Polish_Tourism_Organ	v1	2756	4565	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-3502-Coronavirus_Law_Pola	v1	2756	4429	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-478-Polish_Food_4	v1	2756	4305	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-858-Export_Promotion_Por	v1	2756	4239	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-481-Polish_Foreign_Affai	v1	2756	3653	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-799-Financial_Stability_	v1	2756	3558	1	.03	.02
ELRC-953-Centre_Nuclear_Resea	v1	ELRC-483-Polish_Foreign_Affai	v1	2756	3459	1	.03	.02
