corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-986-Embassy_Finland_Zagr	v1	ELRA-W0292	v1	1982	1982	1981	99.94	99.94
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4142-NTEU_TierA	v1	1982	2270641	1980	99.89	.08
ELRC-986-Embassy_Finland_Zagr	v1	MultiCCAligned	v1.1	1982	8500546	50	2.52	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiCCAligned	v1	1982	8500546	50	2.52	0
ELRC-986-Embassy_Finland_Zagr	v1	CCAligned	v1	1982	8500544	50	2.52	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiParaCrawl	v8	1982	8838591	39	1.96	0
ELRC-986-Embassy_Finland_Zagr	v1	ParaCrawl	v8	1982	8838591	39	1.96	0
ELRC-986-Embassy_Finland_Zagr	v1	HPLT	v1	1982	8309633	39	1.96	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiHPLT	v1	1982	8309633	39	1.96	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiParaCrawl	v7.1	1982	6600910	32	1.61	0
ELRC-986-Embassy_Finland_Zagr	v1	ParaCrawl	v7.1	1982	6600910	32	1.61	0
ELRC-986-Embassy_Finland_Zagr	v1	MaCoCu	v2	1982	2327636	27	1.36	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiMaCoCu	v2	1982	2327636	27	1.36	0
ELRC-986-Embassy_Finland_Zagr	v1	OpenSubtitles	v2018	1982	39548183	26	1.31	0
ELRC-986-Embassy_Finland_Zagr	v1	OpenSubtitles	v2016	1982	31276867	26	1.31	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4198-NTEU_TierA	v1	1982	1787413	25	1.26	0
ELRC-986-Embassy_Finland_Zagr	v1	OpenSubtitles	v2012	1982	13095899	24	1.21	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiParaCrawl	v9	1982	2831458	24	1.21	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiParaCrawl	v9b	1982	2831458	24	1.21	0
ELRC-986-Embassy_Finland_Zagr	v1	ParaCrawl	v9	1982	2831458	24	1.21	0
ELRC-986-Embassy_Finland_Zagr	v1	OpenSubtitles	v2013	1982	11110397	22	1.10	0
ELRC-986-Embassy_Finland_Zagr	v1	XLEnt	v1.1	1982	2264358	22	1.10	0
ELRC-986-Embassy_Finland_Zagr	v1	XLEnt	v1	1982	2264358	22	1.10	0
ELRC-986-Embassy_Finland_Zagr	v1	XLEnt	v1.2	1982	2264358	22	1.10	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4241-NTEU_TierA	v1	1982	1742195	21	1.05	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4185-NTEU_TierA	v1	1982	1664644	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4193-NTEU_TierA	v1	1982	1637947	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4283-NTEU_TierA	v1	1982	1632859	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4152-NTEU_TierA	v1	1982	1487037	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4201-NTEU_TierA	v1	1982	1481224	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4236-NTEU_TierA	v1	1982	1480700	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4219-NTEU_TierA	v1	1982	1480464	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4209-NTEU_TierA	v1	1982	1475737	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4260-NTEU_TierA	v1	1982	1474564	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4266-NTEU_TierA	v1	1982	1471464	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4229-NTEU_TierA	v1	1982	1468849	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4192-NTEU_TierA	v1	1982	1466894	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4150-NTEU_TierA	v1	1982	1465451	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4170-NTEU_TierA	v1	1982	1463163	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4180-NTEU_TierA	v1	1982	1454907	19	.95	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4254-NTEU_TierA	v1	1982	1479052	18	.90	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4197-NTEU_TierA	v1	1982	1472103	18	.90	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4174-NTEU_TierA	v1	1982	1460366	18	.90	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4277-NTEU_TierA	v1	1982	1457471	18	.90	0
ELRC-986-Embassy_Finland_Zagr	v1	TildeMODEL	v2018	1982	772288	18	.90	0
ELRC-986-Embassy_Finland_Zagr	v1	MultiParaCrawl	v5	1982	1931881	17	.85	0
ELRC-986-Embassy_Finland_Zagr	v1	ParaCrawl	v5	1982	1931881	17	.85	0
ELRC-986-Embassy_Finland_Zagr	v1	ParaCrawl	v4	1982	1116606	17	.85	0
ELRC-986-Embassy_Finland_Zagr	v1	KDE4	v2	1982	58789	16	.80	.02
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-2706-EMEA	v1	1982	612827	15	.75	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-EMEA	v1	1982	612827	15	.75	0
ELRC-986-Embassy_Finland_Zagr	v1	CCMatrix	v1	1982	20457760	14	.70	0
ELRC-986-Embassy_Finland_Zagr	v1	NLLB	v1	1982	20457686	14	.70	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-4242-NTEU_TierA	v1	1982	170538	14	.70	0
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-5179-acts_Ukrainian	v1	1982	136054	14	.70	.01
ELRC-986-Embassy_Finland_Zagr	v1	wikimedia	v20230407	1982	77905	14	.70	.01
ELRC-986-Embassy_Finland_Zagr	v1	Mozilla-I10n	v1	1982	36194	13	.65	.03
ELRC-986-Embassy_Finland_Zagr	v1	wikimedia	v20210402	1982	35106	12	.60	.03
ELRC-986-Embassy_Finland_Zagr	v1	wikimedia	v20190628	1982	21504	12	.60	.05
ELRC-986-Embassy_Finland_Zagr	v1	ELRA-W0131	v1	1982	13811	11	.55	.07
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-1015-Croatian_Mine_Action	v1	1982	13811	11	.55	.07
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-2866-EU_publications_medi	v1	1982	13680	11	.55	.08
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-EU_publications	v1	1982	13680	11	.55	.08
ELRC-986-Embassy_Finland_Zagr	v1	ELRA-W0226	v1	1982	11020	11	.55	.09
ELRC-986-Embassy_Finland_Zagr	v1	ELRC-788-Croatian_Bank	v1	1982	11020	11	.55	.09
