ELRC-2708-EMEA	v1	709934	709901/709935	99.99
TildeMODEL	v2018	3143956	260323/709935	36.66
CCMatrix	v1	90246740	104309/709935	14.69
CCAligned	v1	9512180	63583/709935	8.95
MultiCCAligned	v1.1	9512193	63583/709935	8.95
EMEA	v3	337200	52393/709935	7.37
MultiParaCrawl	v9	23583749	25485/709935	3.58
MultiParaCrawl	v9b	23583749	25485/709935	3.58
ParaCrawl	v9	23583749	25485/709935	3.58
MultiParaCrawl	v8	12121417	17462/709935	2.45
ELRC-4249-NTEU_TierA	v1	10549680	7338/709935	1.03
ELRC-4239-NTEU_TierA	v1	12000033	7207/709935	1.01
ELRC-4272-NTEU_TierA	v1	8927012	7049/709935	.99
ELRC-4166-NTEU_TierA	v1	9385448	7030/709935	.99
ELRC-4168-NTEU_TierA	v1	8893468	7016/709935	.98
ELRC-4259-NTEU_TierA	v1	7936890	6988/709935	.98
ELRC-4196-NTEU_TierA	v1	8845645	6978/709935	.98
ELRC-4147-NTEU_TierA	v1	9003388	6947/709935	.97
ELRC-4275-NTEU_TierA	v1	8881307	6942/709935	.97
ELRC-4187-NTEU_TierA	v1	5170398	6800/709935	.95
ELRC-4156-NTEU_TierA	v1	5176540	6763/709935	.95
ELRC-4179-NTEU_TierA	v1	5132906	6760/709935	.95
ELRC-4221-NTEU_TierA	v1	5164055	6730/709935	.94
ELRC-4134-NTEU_TierA	v1	5091076	6721/709935	.94
ELRC-4267-NTEU_TierA	v1	5194297	6719/709935	.94
ELRC-4252-NTEU_TierA	v1	5204694	6712/709935	.94
ELRC-4141-NTEU_TierA	v1	5195405	6706/709935	.94
ELRC-4287-NTEU_TierA	v1	3638039	6236/709935	.87
ELRC-4263-NTEU_TierA	v1	3696037	6205/709935	.87
ELRC-4261-NTEU_TierA	v1	3891187	6147/709935	.86
ELRC-4258-NTEU_TierA	v1	10876529	2562/709935	.36
ELRC-4150-NTEU_TierA	v1	1345552	1384/709935	.19
Finlex	v2018	2112806	1325/709935	.18
XLEnt	v1.1	2221273	1208/709935	.17
XLEnt	v1	2221273	1208/709935	.17
EUbookshop	v2	2792450	925/709935	.13
OpenSubtitles	v2018	24825704	703/709935	.09
JRC-Acquis	v3.0	710235	689/709935	.09
fiskmo	v2	1454469	627/709935	.08
ELRC-4167-NTEU_TierA	v1	261959	458/709935	.06
KDE4	v2	79803	432/709935	.06
Mozilla-I10n	v1	37271	305/709935	.04
ELRC-5179-acts_Ukrainian	v1	124370	298/709935	.04
ECB	v1	315946	244/709935	.03
ELRA-W0220	v1	55335	104/709935	.01
ELRC-724-Hallituskausi_2007_2	v1	55335	104/709935	.01
wikimedia	v20210402	63896	103/709935	.01
OpenSubtitles	v1	412095	101/709935	.01
ELRA-W0221	v1	31319	94/709935	.01
ELRC-725-Hallituskausi_2011_2	v1	31319	94/709935	.01
ELRC-1127-www.vtv.fi	v1	41000	78/709935	.01
ELRC-www.vtv.fi	v1	41000	78/709935	.01
EUconst	v1	6593	77/709935	.01
ELRC-2017-EUIPO_2017	v1	16753	76/709935	.01
ELRC-EUIPO_2017	v1	16753	76/709935	.01
ELRC-1771-vnk.fi	v1	31358	72/709935	.01
ELRC-vnk.fi	v1	31358	72/709935	.01
Europarl	v8	2099912	61/709935	0
QED	v2.0a	144628	59/709935	0
ELRC-2869-EU_publications_medi	v1	12883	54/709935	0
ELRC-EU_publications	v1	12883	54/709935	0
WikiMatrix	v1	5716013	53/709935	0
ELRC-2032-www.turku.fi	v1	17191	48/709935	0
ELRC-www.turku.fi	v1	17191	48/709935	0
infopankki	v1	21292	46/709935	0
ELRC-2036-www.vero.fi	v1	20791	38/709935	0
ELRC-www.vero.fi	v1	20791	38/709935	0
ELRC-735-www.norden.org	v1	42411	34/709935	0
ELRC-www.norden.org	v1	42411	34/709935	0
wikimedia	v20190628	9515	33/709935	0
ELRC-1769-valtioneuvosto.fi	v1	48802	29/709935	0
ELRC-valtioneuvosto.fi	v1	48802	29/709935	0
ELRC-416-Swedish_Social_Secur	v1	570	28/709935	0
ELRC_416	v1	570	28/709935	0
Tatoeba	v2022-03-03	141360	25/709935	0
Tatoeba	v2021-03-10	125553	23/709935	0
Tatoeba	v2020-11-09	119686	21/709935	0
Tatoeba	v2021-07-22	122938	21/709935	0
ELITR-ECA	v1	6013	20/709935	0
Tatoeba	v2020-05-31	116154	20/709935	0
DGT	v2019	950	19/709935	0
Tatoeba	v20190709	99159	18/709935	0
ELRA-W0217	v1	9680	16/709935	0
ELRC-716-Finnish_Information_	v1	9680	16/709935	0
ELRC-Finnish_Information	v1	9680	16/709935	0
ELRC-3458-EC_EUROPA_covid	v1	2532	15/709935	0
ELRC-EC_EUROPA	v1	2532	15/709935	0
ELRC-5067-SciPar	v1	457701	11/709935	0
ELRC-1128-www.visitestonia.com	v1	14492	9/709935	0
ELRC-www.visitestonia.com	v1	14492	9/709935	0
ELRC-417-Swedish_Work_Environ	v1	186	8/709935	0
Tatoeba	v2	21591	8/709935	0
TED2020	v1	49500	6/709935	0
ELRC-2739-vaccination	v1	457	5/709935	0
ELRC-vaccination	v1	457	5/709935	0
ELRC-3559-EUR_LEX_covid	v1	21550	4/709935	0
ELRC-EUR_LEX	v1	21550	4/709935	0
MPC1	v1	7537	3/709935	0
Ubuntu	v14.10	45	3/709935	0
ELRC-3287-EUROPARL_covid	v1	662	2/709935	0
ELRC-3600-presscorner_covid	v1	6733	2/709935	0
ELRC-EUROPARL_covid	v1	662	2/709935	0
ELRC-presscorner_covid	v1	6733	2/709935	0
ELRC_2923	v1	388	1/709935	0
ELRC-3196-antibiotic	v1	854	1/709935	0
ELRC_3382	v1	3353	1/709935	0
ELRC-406-Swedish_Labour_Part1	v1	44	1/709935	0
ELRC-antibiotic	v1	854	1/709935	0
ELRC-Swedish_Labour	v1	222	1/709935	0
GNOME	v1	48	1/709935	0
bible-uedin	v1	37627	0/709935	0
Books	v1	3727	0/709935	0
ELRA-W0305	v1	19	0/709935	0
ELRC_2922	v1	333	0/709935	0
ELRC-3045-wikipedia_health	v1	333	0/709935	0
ELRC-401-Swedish_Labour_Part2	v1	178	0/709935	0
ELRC-436-Swedish_Food	v1	19	0/709935	0
ELRC-4995-Finnish_Financial_MT	v1	998	0/709935	0
ELRC-wikipedia_health	v1	333	0/709935	0
PHP	v1	0	0/709935	0
WMT-News	v2019	1370	0/709935	0
