ELRC-2017-EUIPO_2017	v1	16753	16683/16753	99.58
ELRC-4239-NTEU_TierA	v1	12000033	13243/16753	79.04
ELRC-4258-NTEU_TierA	v1	10876529	433/16753	2.58
ELRC-4249-NTEU_TierA	v1	10549680	424/16753	2.53
ELRC-4166-NTEU_TierA	v1	9385448	420/16753	2.50
ELRC-4147-NTEU_TierA	v1	9003388	417/16753	2.48
ELRC-4272-NTEU_TierA	v1	8927012	416/16753	2.48
ELRC-4168-NTEU_TierA	v1	8893468	414/16753	2.47
ELRC-4196-NTEU_TierA	v1	8845645	412/16753	2.45
ELRC-4156-NTEU_TierA	v1	5176540	410/16753	2.44
ELRC-4259-NTEU_TierA	v1	7936890	410/16753	2.44
ELRC-4275-NTEU_TierA	v1	8881307	409/16753	2.44
ELRC-4179-NTEU_TierA	v1	5132906	408/16753	2.43
ELRC-4187-NTEU_TierA	v1	5170398	407/16753	2.42
ELRC-4252-NTEU_TierA	v1	5204694	406/16753	2.42
ELRC-4267-NTEU_TierA	v1	5194297	406/16753	2.42
ELRC-4141-NTEU_TierA	v1	5195405	404/16753	2.41
ELRC-4134-NTEU_TierA	v1	5091076	403/16753	2.40
ELRC-4221-NTEU_TierA	v1	5164055	399/16753	2.38
ELRC-4261-NTEU_TierA	v1	3891187	384/16753	2.29
ELRC-4263-NTEU_TierA	v1	3696037	384/16753	2.29
ELRC-4287-NTEU_TierA	v1	3638039	373/16753	2.22
ELRC-4150-NTEU_TierA	v1	1345552	327/16753	1.95
CCAligned	v1	9512180	289/16753	1.72
MultiCCAligned	v1.1	9512193	289/16753	1.72
TildeMODEL	v2018	3143956	289/16753	1.72
MultiParaCrawl	v9	23583749	245/16753	1.46
MultiParaCrawl	v9b	23583749	245/16753	1.46
ParaCrawl	v9	23583749	245/16753	1.46
MultiParaCrawl	v8	12121417	210/16753	1.25
Finlex	v2018	2112806	205/16753	1.22
EUbookshop	v2	2792450	204/16753	1.21
JRC-Acquis	v3.0	710235	199/16753	1.18
CCMatrix	v1	90246740	196/16753	1.16
ELRC-4167-NTEU_TierA	v1	261959	175/16753	1.04
XLEnt	v1.1	2221273	161/16753	.96
XLEnt	v1	2221273	161/16753	.96
ELRC-5179-acts_Ukrainian	v1	124370	136/16753	.81
KDE4	v2	79803	85/16753	.50
ELRC-2708-EMEA	v1	709934	76/16753	.45
ELRC-EMEA	v1	709935	76/16753	.45
Mozilla-I10n	v1	37271	73/16753	.43
ECB	v1	315946	65/16753	.38
EMEA	v3	337200	53/16753	.31
OpenSubtitles	v2018	24825704	50/16753	.29
ELRA-W0220	v1	55335	28/16753	.16
ELRC-724-Hallituskausi_2007_2	v1	55335	28/16753	.16
ELRC-1771-vnk.fi	v1	31358	26/16753	.15
ELRC-vnk.fi	v1	31358	26/16753	.15
wikimedia	v20210402	63896	26/16753	.15
ELRC-2869-EU_publications_medi	v1	12883	25/16753	.14
ELRC-EU_publications	v1	12883	25/16753	.14
EUconst	v1	6593	24/16753	.14
Europarl	v8	2099912	17/16753	.10
ELRC-1127-www.vtv.fi	v1	41000	15/16753	.08
ELRC-www.vtv.fi	v1	41000	15/16753	.08
fiskmo	v2	1454469	14/16753	.08
ELRA-W0221	v1	31319	13/16753	.07
ELRC-725-Hallituskausi_2011_2	v1	31319	13/16753	.07
ELRC-2036-www.vero.fi	v1	20791	11/16753	.06
ELRC-www.vero.fi	v1	20791	11/16753	.06
ELRC-2032-www.turku.fi	v1	17191	10/16753	.05
ELRC-www.turku.fi	v1	17191	10/16753	.05
infopankki	v1	21292	10/16753	.05
ELRC-1769-valtioneuvosto.fi	v1	48802	8/16753	.04
ELRC-valtioneuvosto.fi	v1	48802	8/16753	.04
ELRC-735-www.norden.org	v1	42411	7/16753	.04
ELRC-www.norden.org	v1	42411	7/16753	.04
QED	v2.0a	144628	7/16753	.04
WikiMatrix	v1	5716013	7/16753	.04
DGT	v2019	950	5/16753	.02
wikimedia	v20190628	9515	5/16753	.02
ELRA-W0217	v1	9680	4/16753	.02
ELRC-416-Swedish_Social_Secur	v1	570	4/16753	.02
ELRC_416	v1	570	4/16753	.02
ELRC-716-Finnish_Information_	v1	9680	4/16753	.02
ELRC-Finnish_Information	v1	9680	4/16753	.02
OpenSubtitles	v1	412095	4/16753	.02
ELITR-ECA	v1	6013	2/16753	.01
ELRC-1128-www.visitestonia.com	v1	14492	2/16753	.01
ELRC-3458-EC_EUROPA_covid	v1	2532	2/16753	.01
ELRC-3559-EUR_LEX_covid	v1	21550	2/16753	.01
ELRC-EC_EUROPA	v1	2532	2/16753	.01
ELRC-EUR_LEX	v1	21550	2/16753	.01
ELRC-www.visitestonia.com	v1	14492	2/16753	.01
ELRC-2739-vaccination	v1	457	1/16753	0
ELRC-3196-antibiotic	v1	854	1/16753	0
ELRC-406-Swedish_Labour_Part1	v1	44	1/16753	0
ELRC-antibiotic	v1	854	1/16753	0
ELRC-Swedish_Labour	v1	222	1/16753	0
ELRC-vaccination	v1	457	1/16753	0
Tatoeba	v2020-05-31	116154	1/16753	0
Tatoeba	v2020-11-09	119686	1/16753	0
Tatoeba	v2021-03-10	125553	1/16753	0
Tatoeba	v2021-07-22	122938	1/16753	0
Tatoeba	v2022-03-03	141360	1/16753	0
bible-uedin	v1	37627	0/16753	0
Books	v1	3727	0/16753	0
ELRA-W0305	v1	19	0/16753	0
ELRC_2922	v1	333	0/16753	0
ELRC_2923	v1	388	0/16753	0
ELRC-3045-wikipedia_health	v1	333	0/16753	0
ELRC-3287-EUROPARL_covid	v1	662	0/16753	0
ELRC_3382	v1	3353	0/16753	0
