corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-EUROPARL_covid	v1	ELRC-3306-EUROPARL_covid	v1	723	723	723	100.00	100.00
ELRC-EUROPARL_covid	v1	ELRC_2923	v1	723	579	575	79.52	99.30
ELRC-EUROPARL_covid	v1	ParaCrawl	v9	723	13063805	3	.41	0
ELRC-EUROPARL_covid	v1	ELRC-4269-NTEU_TierA	v1	723	7895523	3	.41	0
ELRC-EUROPARL_covid	v1	CCAligned	v1	723	4821281	3	.41	0
ELRC-EUROPARL_covid	v1	ELRC-2729-EMEA	v1	723	776476	2	.27	0
ELRC-EUROPARL_covid	v1	ELRC-EMEA	v1	723	776476	2	.27	0
ELRC-EUROPARL_covid	v1	DGT	v2019	723	3671728	1	.13	0
ELRC-EUROPARL_covid	v1	TildeMODEL	v2018	723	2075987	1	.13	0
ELRC-EUROPARL_covid	v1	XLEnt	v1.1	723	1256487	1	.13	0
ELRC-EUROPARL_covid	v1	XLEnt	v1	723	1256487	1	.13	0
ELRC-EUROPARL_covid	v1	EUbookshop	v2	723	381309	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-5067-SciPar	v1	723	347473	1	.13	0
ELRC-EUROPARL_covid	v1	EMEA	v3	723	331993	1	.13	0
ELRC-EUROPARL_covid	v1	ELITR-ECA	v1	723	56639	1	.13	0
ELRC-EUROPARL_covid	v1	TED2020	v1	723	54132	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-399-International_Agreem	v1	723	40897	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-3578-EUR_LEX_covid	v1	723	22466	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-EUR_LEX	v1	723	22466	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-2022-EUIPO_2017	v1	723	17255	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-EUIPO_2017	v1	723	17255	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-1130-www.visitestonia.com	v1	723	13834	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-www.visitestonia.com	v1	723	13834	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-2888-EU_publications_medi	v1	723	13034	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-EU_publications	v1	723	13034	1	.13	0
ELRC-EUROPARL_covid	v1	wikimedia	v20210402	723	12154	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-715-Finance_Economics_Ba	v1	723	11600	1	.13	0
ELRC-EUROPARL_covid	v1	ELRC-402-MFA_Latvia	v1	723	7194	1	.13	.01
ELRC-EUROPARL_covid	v1	ELRC-433-State_Latvian	v1	723	6862	1	.13	.01
ELRC-EUROPARL_covid	v1	ELRC-3619-presscorner_covid	v1	723	6681	1	.13	.01
ELRC-EUROPARL_covid	v1	ELRC-presscorner_covid	v1	723	6681	1	.13	.01
ELRC-EUROPARL_covid	v1	ELRC-3477-EC_EUROPA_covid	v1	723	2405	1	.13	.04
ELRC-EUROPARL_covid	v1	ELRC-EC_EUROPA	v1	723	2405	1	.13	.04
ELRC-EUROPARL_covid	v1	ELRC-4994-Latvian_Financial_MT	v1	723	2001	1	.13	.04
ELRC-EUROPARL_covid	v1	Tatoeba	v2022-03-03	723	1651	1	.13	.06
ELRC-EUROPARL_covid	v1	Tatoeba	v2020-11-09	723	1633	1	.13	.06
ELRC-EUROPARL_covid	v1	Tatoeba	v2021-03-10	723	1633	1	.13	.06
ELRC-EUROPARL_covid	v1	Tatoeba	v2021-07-22	723	1633	1	.13	.06
ELRC-EUROPARL_covid	v1	ELRC-3453-covid19.gov.lv	v1	723	826	1	.13	.12
ELRC-EUROPARL_covid	v1	ELRC-3217-antibiotic	v1	723	809	1	.13	.12
ELRC-EUROPARL_covid	v1	ELRC-antibiotic	v1	723	809	1	.13	.12
