corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-EUROPARL_covid	v1	ELRC-3301-EUROPARL_covid	v1	863	863	863	100.00	100.00
ELRC-EUROPARL_covid	v1	ELRC_2923	v1	863	559	557	64.54	99.64
ELRC-EUROPARL_covid	v1	CCAligned	v1	863	13523846	4	.46	0
ELRC-EUROPARL_covid	v1	ParaCrawl	v9	863	84925921	3	.34	0
ELRC-EUROPARL_covid	v1	Europarl	v8	863	1957999	3	.34	0
ELRC-EUROPARL_covid	v1	TED2020	v1	863	320285	3	.34	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2022-03-03	863	219187	3	.34	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2021-07-22	863	217627	3	.34	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2021-03-10	863	215977	3	.34	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2020-11-09	863	214401	3	.34	0
ELRC-EUROPARL_covid	v1	OpenSubtitles	v2018	863	26685270	2	.23	0
ELRC-EUROPARL_covid	v1	EUbookshop	v2	863	3772762	2	.23	0
ELRC-EUROPARL_covid	v1	DGT	v2019	863	3617153	2	.23	0
ELRC-EUROPARL_covid	v1	JRC-Acquis	v3.0	863	1040014	2	.23	0
ELRC-EUROPARL_covid	v1	ELRC-2724-EMEA	v1	863	768690	2	.23	0
ELRC-EUROPARL_covid	v1	ELRC-EMEA	v1	863	768690	2	.23	0
ELRC-EUROPARL_covid	v1	wikimedia	v20210402	863	485721	2	.23	0
ELRC-EUROPARL_covid	v1	QED	v2.0a	863	414174	2	.23	0
ELRC-EUROPARL_covid	v1	OpenSubtitles	v1	863	317261	2	.23	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2020-05-31	863	208565	2	.23	0
ELRC-EUROPARL_covid	v1	Tatoeba	v20190709	863	196551	2	.23	0
ELRC-EUROPARL_covid	v1	GlobalVoices	v2018q4	863	85532	2	.23	0
ELRC-EUROPARL_covid	v1	ELRC-3472-EC_EUROPA_covid	v1	863	2659	2	.23	.07
ELRC-EUROPARL_covid	v1	ELRC-EC_EUROPA	v1	863	2659	2	.23	.07
ELRC-EUROPARL_covid	v1	ELRC-2560-government_websites_	v1	863	844	2	.23	.23
ELRC-EUROPARL_covid	v1	ELRC-government_websites	v1	863	844	2	.23	.23
ELRC-EUROPARL_covid	v1	XLEnt	v1.1	863	5417987	1	.11	0
ELRC-EUROPARL_covid	v1	XLEnt	v1	863	5417987	1	.11	0
ELRC-EUROPARL_covid	v1	WikiMatrix	v1	863	2461553	1	.11	0
ELRC-EUROPARL_covid	v1	Wikipedia	v1.0	863	1694174	1	.11	0
ELRC-EUROPARL_covid	v1	TildeMODEL	v2018	863	1114245	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-5067-SciPar	v1	863	974168	1	.11	0
ELRC-EUROPARL_covid	v1	EMEA	v3	863	356528	1	.11	0
ELRC-EUROPARL_covid	v1	ELITR-ECA	v1	863	342089	1	.11	0
ELRC-EUROPARL_covid	v1	KDE4	v2	863	186890	1	.11	0
ELRC-EUROPARL_covid	v1	TED2013	v1.1	863	154841	1	.11	0
ELRC-EUROPARL_covid	v1	Tatoeba	v2	863	60618	1	.11	0
ELRC-EUROPARL_covid	v1	GlobalVoices	v2015	863	58384	1	.11	0
ELRC-EUROPARL_covid	v1	News-Commentary	v14	863	53135	1	.11	0
ELRC-EUROPARL_covid	v1	News-Commentary	v16	863	53135	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-3573-EUR_LEX_covid	v1	863	20988	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-EUR_LEX	v1	863	20988	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-2025-EUIPO_2017	v1	863	17108	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-EUIPO_2017	v1	863	17108	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-2883-EU_publications_medi	v1	863	13138	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-EU_publications	v1	863	13138	1	.11	0
ELRC-EUROPARL_covid	v1	ELRC-3080-wikipedia_health	v1	863	7293	1	.11	.01
ELRC-EUROPARL_covid	v1	ELRC-wikipedia_health	v1	863	7293	1	.11	.01
ELRC-EUROPARL_covid	v1	ELRC-3614-presscorner_covid	v1	863	6318	1	.11	.01
ELRC-EUROPARL_covid	v1	ELRC-presscorner_covid	v1	863	6318	1	.11	.01
ELRC-EUROPARL_covid	v1	ELRC-2481-Constituio_da_Repbli	v1	863	2891	1	.11	.03
ELRC-EUROPARL_covid	v1	ELRC-2638-monumentos_2007	v1	863	2530	1	.11	.03
ELRC-EUROPARL_covid	v1	ELRC-438-Legislation_PT	v1	863	2324	1	.11	.04
ELRC-EUROPARL_covid	v1	ELRC-846-Legislation_Portugue	v1	863	1518	1	.11	.06
ELRC-EUROPARL_covid	v1	ELRC-853-Portuguese_Constitut	v1	863	1486	1	.11	.06
ELRC-EUROPARL_covid	v1	ELRC-2614-Localidades_2007	v1	863	1416	1	.11	.07
ELRC-EUROPARL_covid	v1	ELRC-Localidades_2007	v1	863	1416	1	.11	.07
ELRC-EUROPARL_covid	v1	ELRC-2612-Artigos_visitportuga	v1	863	1250	1	.11	.08
ELRC-EUROPARL_covid	v1	ELRC-Artigos_visitportuga	v1	863	1250	1	.11	.08
ELRC-EUROPARL_covid	v1	ELRC-3212-antibiotic	v1	863	837	1	.11	.11
ELRC-EUROPARL_covid	v1	ELRC-antibiotic	v1	863	837	1	.11	.11
ELRC-EUROPARL_covid	v1	ELRC-Museus_2007	v1	863	832	1	.11	.12
ELRC-EUROPARL_covid	v1	ELRC-2616-Museus_2007	v1	863	830	1	.11	.12
ELRC-EUROPARL_covid	v1	ELRC-2641-Praias_2007	v1	863	595	1	.11	.16
ELRC-EUROPARL_covid	v1	ELRC-Praias_2007	v1	863	595	1	.11	.16
ELRC-EUROPARL_covid	v1	ELRC-2747-vaccination	v1	863	474	1	.11	.21
ELRC-EUROPARL_covid	v1	ELRC-vaccination	v1	863	474	1	.11	.21
ELRC-EUROPARL_covid	v1	ELRC-2480-Estatuto_dos_Deputad	v1	863	397	1	.11	.25
ELRC-EUROPARL_covid	v1	ELRC-2478-Glossrio_PT_EN	v1	863	204	1	.11	.49
ELRC-EUROPARL_covid	v1	ELRC-2484-legislao	v1	863	190	1	.11	.52
ELRC-EUROPARL_covid	v1	ELRC-2538-Lei_25_2009	v1	863	136	1	.11	.73
ELRC-EUROPARL_covid	v1	ELRC-2479-Lei_orgnica_2	v1	863	134	1	.11	.74
ELRC-EUROPARL_covid	v1	ELRC-2639-Parques_e_reservas	v1	863	133	1	.11	.75
ELRC-EUROPARL_covid	v1	ELRC-Parques_e	v1	863	133	1	.11	.75
ELRC-EUROPARL_covid	v1	ELRC-2536-Estatuto_da_Vtima	v1	863	115	1	.11	.86
ELRC-EUROPARL_covid	v1	ELRC-2622-Arquitectura_2007	v1	863	106	1	.11	.94
ELRC-EUROPARL_covid	v1	ELRC-Arquitectura_2007	v1	863	106	1	.11	.94
ELRC-EUROPARL_covid	v1	ELRC-2474-Marketing_Influncia	v1	863	87	1	.11	1.14
