corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-Patrimnio_Aores	v1	ELRC-2623-Patrimnio_Aores_2006	v1	62	62	62	100.00	100.00
ELRC-Patrimnio_Aores	v1	ELRC-2638-monumentos_2007	v1	62	3264	14	22.58	.42
ELRC-Patrimnio_Aores	v1	ELRC-2616-Museus_2007	v1	62	1232	10	16.12	.81
ELRC-Patrimnio_Aores	v1	ELRC-Museus_2007	v1	62	1232	10	16.12	.81
ELRC-Patrimnio_Aores	v1	CCMatrix	v1	62	533454428	8	12.90	0
ELRC-Patrimnio_Aores	v1	NLLB	v1	62	533037982	8	12.90	0
ELRC-Patrimnio_Aores	v1	MultiParaCrawl	v9	62	220525299	2	3.22	0
ELRC-Patrimnio_Aores	v1	MultiParaCrawl	v9b	62	220525299	2	3.22	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v9	62	220525299	2	3.22	0
ELRC-Patrimnio_Aores	v1	MultiCCAligned	v1.1	62	94632804	1	1.61	0
ELRC-Patrimnio_Aores	v1	MultiCCAligned	v1	62	94632804	1	1.61	0
ELRC-Patrimnio_Aores	v1	CCAligned	v1	62	94632717	1	1.61	0
ELRC-Patrimnio_Aores	v1	MultiParaCrawl	v8	62	181982536	0	0	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v8	62	181982536	0	0	0
ELRC-Patrimnio_Aores	v1	MultiParaCrawl	v7.1	62	79923441	0	0	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v7.1	62	79923441	0	0	0
ELRC-Patrimnio_Aores	v1	MultiParaCrawl	v5	62	38590372	0	0	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v5	62	38590372	0	0	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v1	62	30276960	0	0	0
ELRC-Patrimnio_Aores	v1	WikiMatrix	v1	62	23733186	0	0	0
ELRC-Patrimnio_Aores	v1	OpenSubtitles	v2018	62	21077886	0	0	0
ELRC-Patrimnio_Aores	v1	EuroPat	v3	62	19352179	0	0	0
ELRC-Patrimnio_Aores	v1	ParaCrawl	v4	62	18478509	0	0	0
ELRC-Patrimnio_Aores	v1	EuroPat	v2	62	15393512	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4217-NTEU_TierA	v1	62	13590557	0	0	0
ELRC-Patrimnio_Aores	v1	OpenSubtitles	v2016	62	13567334	0	0	0
ELRC-Patrimnio_Aores	v1	EUbookshop	v2	62	13496826	0	0	0
ELRC-Patrimnio_Aores	v1	EuroPat	v1	62	12552876	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4244-NTEU_TierA	v1	62	11895609	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4258-NTEU_TierA	v1	62	10898481	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4240-NTEU_TierA	v1	62	6832723	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4189-NTEU_TierA	v1	62	6722009	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4149-NTEU_TierA	v1	62	6376442	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4171-NTEU_TierA	v1	62	6156952	0	0	0
ELRC-Patrimnio_Aores	v1	TildeMODEL	v2018	62	5010796	0	0	0
ELRC-Patrimnio_Aores	v1	OpenSubtitles	v2012	62	4839468	0	0	0
ELRC-Patrimnio_Aores	v1	StanfordNLP-NMT	v1.0	62	4760969	0	0	0
ELRC-Patrimnio_Aores	v1	OpenSubtitles	v2013	62	4062476	0	0	0
ELRC-Patrimnio_Aores	v1	XLEnt	v1.1	62	3351823	0	0	0
ELRC-Patrimnio_Aores	v1	XLEnt	v1.2	62	3351823	0	0	0
ELRC-Patrimnio_Aores	v1	XLEnt	v1	62	3351823	0	0	0
ELRC-Patrimnio_Aores	v1	Wikipedia	v1.0	62	2477089	0	0	0
ELRC-Patrimnio_Aores	v1	LinguaTools-WikiTitles	v2014	62	2438842	0	0	0
ELRC-Patrimnio_Aores	v1	Europarl	v8	62	2110316	0	0	0
ELRC-Patrimnio_Aores	v1	Europarl	v7	62	2110175	0	0	0
ELRC-Patrimnio_Aores	v1	JRC-Acquis	v3.0	62	1976740	0	0	0
ELRC-Patrimnio_Aores	v1	DGT	v4	62	1830013	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-4198-NTEU_TierA	v1	62	1697490	0	0	0
ELRC-Patrimnio_Aores	v1	Europarl	v3	62	1443745	0	0	0
ELRC-Patrimnio_Aores	v1	WikiTitles	v3	62	1349243	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-5067-SciPar	v1	62	894805	0	0	0
ELRC-Patrimnio_Aores	v1	wikimedia	v20230407	62	822231	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-2714-EMEA	v1	62	707631	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC-EMEA	v1	62	707631	0	0	0
ELRC-Patrimnio_Aores	v1	QED	v2.0a	62	683382	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2023-04-12	62	633752	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2022-03-03	62	602598	0	0	0
ELRC-Patrimnio_Aores	v1	ELRC_2682	v1	62	585574	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2021-03-10	62	556513	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2020-11-09	62	545109	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2021-07-22	62	531354	0	0	0
ELRC-Patrimnio_Aores	v1	Tatoeba	v2020-05-31	62	523123	0	0	0
