corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-Swedish_Labour	v1	ELRC-401-Swedish_Labour_Part2	v1	322	167	167	51.86	100.00
ELRC-Swedish_Labour	v1	ELRC-406-Swedish_Labour_Part1	v1	322	156	156	48.44	100.00
ELRC-Swedish_Labour	v1	CCAligned	v1	322	15192790	4	1.24	0
ELRC-Swedish_Labour	v1	ParaCrawl	v9	322	278310902	3	.93	0
ELRC-Swedish_Labour	v1	EUbookshop	v2	322	8268818	3	.93	0
ELRC-Swedish_Labour	v1	LinguaTools-WikiTitles	v2014	322	15812874	2	.62	0
ELRC-Swedish_Labour	v1	TildeMODEL	v2018	322	4184303	2	.62	0
ELRC-Swedish_Labour	v1	XLEnt	v1.1	322	3802840	2	.62	0
ELRC-Swedish_Labour	v1	XLEnt	v1.2	322	3802840	2	.62	0
ELRC-Swedish_Labour	v1	XLEnt	v1	322	3802840	2	.62	0
ELRC-Swedish_Labour	v1	ELRC-2714-EMEA	v1	322	752887	2	.62	0
ELRC-Swedish_Labour	v1	ELRC-EMEA	v1	322	752887	2	.62	0
ELRC-Swedish_Labour	v1	EuroPat	v3	322	19734743	1	.31	0
ELRC-Swedish_Labour	v1	EuroPat	v2	322	15571045	1	.31	0
ELRC-Swedish_Labour	v1	DGT	v2019	322	3598219	1	.31	0
ELRC-Swedish_Labour	v1	WikiMatrix	v1	322	1573421	1	.31	0
ELRC-Swedish_Labour	v1	WikiTitles	v3	322	1386531	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-5067-SciPar	v1	322	890185	1	.31	0
ELRC-Swedish_Labour	v1	ELRC_2682	v1	322	620450	1	.31	0
ELRC-Swedish_Labour	v1	Tatoeba	v2022-03-03	322	313068	1	.31	0
ELRC-Swedish_Labour	v1	Tatoeba	v2021-07-22	322	307276	1	.31	0
ELRC-Swedish_Labour	v1	Tatoeba	v2021-03-10	322	302363	1	.31	0
ELRC-Swedish_Labour	v1	Tatoeba	v2020-11-09	322	299698	1	.31	0
ELRC-Swedish_Labour	v1	TED2020	v1	322	289362	1	.31	0
ELRC-Swedish_Labour	v1	News-Commentary	v16	322	285720	1	.31	0
ELRC-Swedish_Labour	v1	News-Commentary	v14	322	285704	1	.31	0
ELRC-Swedish_Labour	v1	ELITR-ECA	v1	322	252015	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1077-EUIPO_law	v1	322	233271	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-EUIPO_law	v1	322	233271	1	.31	0
ELRC-Swedish_Labour	v1	KDE4	v2	322	187849	1	.31	0
ELRC-Swedish_Labour	v1	NeuLab-TedTalks	v1	322	182085	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1121-CORDIS_Results_Brief	v1	322	182066	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-CORDIS_Results	v1	322	182066	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1117-CORDIS_News	v1	322	111275	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-CORDIS_News	v1	322	111275	1	.31	0
ELRC-Swedish_Labour	v1	wikimedia	v20210402	322	103209	1	.31	0
ELRC-Swedish_Labour	v1	GlobalVoices	v2018q4	322	70537	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-642-Federal_Foreign_Berl	v1	322	53842	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-638-Luxembourg.lu	v1	322	35970	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1092-EUIPO_list	v1	322	30484	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-EUIPO_list	v1	322	30484	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1089-German_Foreign_Offic	v1	322	24725	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-3565-EUR_LEX_covid	v1	322	23300	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-EUR_LEX	v1	322	23300	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1090-German_Foreign_Offic	v1	322	20549	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-2014-EUIPO_2017	v1	322	17145	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-EUIPO_2017	v1	322	17145	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-774-Presidency	v1	322	16475	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-2875-EU_publications_medi	v1	322	13280	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-EU_publications	v1	322	13280	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1088-German_Foreign_Offic	v1	322	12554	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-630-BMVI_Publications	v1	322	11541	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-1086-Information_Portal_G	v1	322	11281	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-Information_Portal	v1	322	11281	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-3606-presscorner_covid	v1	322	10233	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-presscorner_covid	v1	322	10233	1	.31	0
ELRC-Swedish_Labour	v1	ELRC-by_Presidency	v1	322	9023	1	.31	.01
ELRC-Swedish_Labour	v1	ELRC-634-BMI_Brochures_2011	v1	322	8395	1	.31	.01
ELRC-Swedish_Labour	v1	ELRC-637-SIP	v1	322	5687	1	.31	.01
ELRC-Swedish_Labour	v1	ELRC-776-by_Presidency_Counci	v1	322	4545	1	.31	.02
ELRC-Swedish_Labour	v1	ELRC-775-by_Presidency_Counci	v1	322	4479	1	.31	.02
ELRC-Swedish_Labour	v1	ELRC-621-Federal_Constitution	v1	322	3971	1	.31	.02
ELRC-Swedish_Labour	v1	ELRC-631-BMVI_Website	v1	322	2718	1	.31	.03
ELRC-Swedish_Labour	v1	ELRC-1240-Austrian_Research_Te	v1	322	2709	1	.31	.03
ELRC-Swedish_Labour	v1	ELRC-3464-EC_EUROPA_covid	v1	322	2555	1	.31	.03
ELRC-Swedish_Labour	v1	ELRC-EC_EUROPA	v1	322	2555	1	.31	.03
ELRC-Swedish_Labour	v1	ELRC-2638-monumentos_2007	v1	322	2474	1	.31	.04
ELRC-Swedish_Labour	v1	ECDC	v2016-03-16	322	2461	1	.31	.04
ELRC-Swedish_Labour	v1	ELRC-1243-Vienna_Environmental	v1	322	2222	1	.31	.04
ELRC-Swedish_Labour	v1	ELRC-3063-wikipedia_health	v1	322	2098	1	.31	.04
ELRC-Swedish_Labour	v1	ELRC-wikipedia_health	v1	322	2098	1	.31	.04
ELRC-Swedish_Labour	v1	ELRC-4992-Customer_Support_MT	v1	322	1365	1	.31	.07
ELRC-Swedish_Labour	v1	ELRC-2614-Localidades_2007	v1	322	1355	1	.31	.07
ELRC-Swedish_Labour	v1	ELRC-Localidades_2007	v1	322	1355	1	.31	.07
ELRC-Swedish_Labour	v1	ELRC-633-BMI_Brochures_2016	v1	322	1155	1	.31	.08
ELRC-Swedish_Labour	v1	ELRC-2612-Artigos_visitportuga	v1	322	1058	1	.31	.09
ELRC-Swedish_Labour	v1	ELRC-Artigos_visitportuga	v1	322	1058	1	.31	.09
ELRC-Swedish_Labour	v1	ELRC-1241-2017_Activity_Report	v1	322	1020	1	.31	.09
ELRC-Swedish_Labour	v1	ELRC-3202-antibiotic	v1	322	895	1	.31	.11
