corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-antibiotic	v1	ELRC-3203-antibiotic	v1	687	687	687	100.00	100.00
ELRC-antibiotic	v1	ParaCrawl	v9	687	36432545	186	27.07	0
ELRC-antibiotic	v1	CCMatrix	v1	687	36215097	84	12.22	0
ELRC-antibiotic	v1	CCAligned	v1	687	11529736	5	.72	0
ELRC-antibiotic	v1	ELRC-2715-EMEA	v1	687	765041	4	.58	0
ELRC-antibiotic	v1	ELRC-EMEA	v1	687	765041	4	.58	0
ELRC-antibiotic	v1	DGT	v2019	687	3673722	2	.29	0
ELRC-antibiotic	v1	TildeMODEL	v2018	687	1937632	2	.29	0
ELRC-antibiotic	v1	EMEA	v3	687	344006	2	.29	0
ELRC-antibiotic	v1	wikimedia	v20210402	687	52996	2	.29	0
ELRC-antibiotic	v1	ELRC-3566-EUR_LEX_covid	v1	687	22260	2	.29	0
ELRC-antibiotic	v1	ELRC-EUR_LEX	v1	687	22260	2	.29	0
ELRC-antibiotic	v1	ELRC-2019-EUIPO_2017	v1	687	17038	2	.29	.01
ELRC-antibiotic	v1	ELRC-EUIPO_2017	v1	687	17038	2	.29	.01
ELRC-antibiotic	v1	GlobalVoices	v2018q4	687	14618	2	.29	.01
ELRC-antibiotic	v1	ELRC-2744-vaccination	v1	687	516	2	.29	.38
ELRC-antibiotic	v1	ELRC-vaccination	v1	687	516	2	.29	.38
ELRC-antibiotic	v1	OpenSubtitles	v2018	687	34466630	1	.14	0
ELRC-antibiotic	v1	LinguaTools-WikiTitles	v2014	687	3548953	1	.14	0
ELRC-antibiotic	v1	XLEnt	v1.1	687	3427854	1	.14	0
ELRC-antibiotic	v1	XLEnt	v1.2	687	3427854	1	.14	0
ELRC-antibiotic	v1	XLEnt	v1	687	3427854	1	.14	0
ELRC-antibiotic	v1	Europarl	v8	687	607267	1	.14	0
ELRC-antibiotic	v1	WikiMatrix	v1	687	488277	1	.14	0
ELRC-antibiotic	v1	EUbookshop	v2	687	369917	1	.14	0
ELRC-antibiotic	v1	QED	v2.0a	687	309930	1	.14	0
ELRC-antibiotic	v1	TED2020	v1	687	300676	1	.14	0
ELRC-antibiotic	v1	ELITR-ECA	v1	687	256227	1	.14	0
ELRC-antibiotic	v1	NeuLab-TedTalks	v1	687	155678	1	.14	0
ELRC-antibiotic	v1	Tatoeba	v2022-03-03	687	113410	1	.14	0
ELRC-antibiotic	v1	Tatoeba	v2021-07-22	687	110158	1	.14	0
ELRC-antibiotic	v1	Tatoeba	v2021-03-10	687	109023	1	.14	0
ELRC-antibiotic	v1	Tatoeba	v2020-11-09	687	107116	1	.14	0
ELRC-antibiotic	v1	ELRC-5067-SciPar	v1	687	27422	1	.14	0
ELRC-antibiotic	v1	GlobalVoices	v2017q3	687	13557	1	.14	0
ELRC-antibiotic	v1	ELRC-2876-EU_publications_medi	v1	687	13013	1	.14	0
ELRC-antibiotic	v1	ELRC-EU_publications	v1	687	13013	1	.14	0
ELRC-antibiotic	v1	GlobalVoices	v2015	687	11123	1	.14	0
ELRC-antibiotic	v1	PHP	v1	687	7832	1	.14	.01
ELRC-antibiotic	v1	ELRC-3607-presscorner_covid	v1	687	6596	1	.14	.01
ELRC-antibiotic	v1	ELRC-presscorner_covid	v1	687	6596	1	.14	.01
ELRC-antibiotic	v1	ELRC-3465-EC_EUROPA_covid	v1	687	2496	1	.14	.04
ELRC-antibiotic	v1	ELRC-EC_EUROPA	v1	687	2496	1	.14	.04
ELRC-antibiotic	v1	ECDC	v2016-03-16	687	2489	1	.14	.04
ELRC-antibiotic	v1	ELRC-3294-EUROPARL_covid	v1	687	410	1	.14	.24
ELRC-antibiotic	v1	ELRC-EUROPARL_covid	v1	687	410	1	.14	.24
ELRC-antibiotic	v1	ELRC-3064-wikipedia_health	v1	687	401	1	.14	.24
ELRC-antibiotic	v1	ELRC-wikipedia_health	v1	687	401	1	.14	.24
ELRC-antibiotic	v1	JRC-Acquis	v3.0	687	349092	0	0	0
ELRC-antibiotic	v1	Books	v1	687	136383	0	0	0
ELRC-antibiotic	v1	KDE4	v2	687	108840	0	0	0
ELRC-antibiotic	v1	OpenSubtitles	v1	687	106871	0	0	0
ELRC-antibiotic	v1	Tatoeba	v2020-05-31	687	105928	0	0	0
ELRC-antibiotic	v1	Tatoeba	v20190709	687	102930	0	0	0
ELRC-antibiotic	v1	ECB	v1	687	71947	0	0	0
ELRC-antibiotic	v1	bible-uedin	v1	687	61585	0	0	0
ELRC-antibiotic	v1	Wikipedia	v1.0	687	55935	0	0	0
ELRC-antibiotic	v1	Tatoeba	v2	687	9975	0	0	0
ELRC-antibiotic	v1	Ubuntu	v14.10	687	6252	0	0	0
ELRC-antibiotic	v1	EUconst	v1	687	6179	0	0	0
ELRC-antibiotic	v1	ELRC_3382	v1	687	3562	0	0	0
ELRC-antibiotic	v1	WMT-News	v2019	687	3026	0	0	0
ELRC-antibiotic	v1	GNOME	v1	687	1146	0	0	0
ELRC-antibiotic	v1	ELRC_2922	v1	687	400	0	0	0
ELRC-antibiotic	v1	ELRC_2923	v1	687	211	0	0	0
