corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-government_websites	v1	ELRC-1254-government_websites_	v1	1319	1201	1201	91.05	100.00
ELRC-government_websites	v1	ELRC-335-government_websites_	v1	1319	1201	1201	91.05	100.00
ELRC-government_websites	v1	ELRC-2560-government_websites_	v1	1319	833	833	63.15	100.00
ELRC-government_websites	v1	NLLB	v1	1319	415019611	304	23.04	0
ELRC-government_websites	v1	MultiParaCrawl	v9	1319	69939929	186	14.10	0
ELRC-government_websites	v1	MultiParaCrawl	v9b	1319	69939929	186	14.10	0
ELRC-government_websites	v1	ParaCrawl	v9	1319	69939929	186	14.10	0
ELRC-government_websites	v1	MultiParaCrawl	v8	1319	70437155	62	4.70	0
ELRC-government_websites	v1	ParaCrawl	v8	1319	70437155	62	4.70	0
ELRC-government_websites	v1	MultiCCAligned	v1.1	1319	39109883	51	3.86	0
ELRC-government_websites	v1	MultiCCAligned	v1	1319	39109883	51	3.86	0
ELRC-government_websites	v1	CCAligned	v1	1319	39109849	51	3.86	0
ELRC-government_websites	v1	CCMatrix	v1	1319	102664744	39	2.95	0
ELRC-government_websites	v1	ELRC-4151-NTEU_TierA	v1	1319	11357274	31	2.35	0
ELRC-government_websites	v1	MultiParaCrawl	v7.1	1319	29681586	29	2.19	0
ELRC-government_websites	v1	ParaCrawl	v7.1	1319	29681586	29	2.19	0
ELRC-government_websites	v1	ELRC-4196-NTEU_TierA	v1	1319	8820185	28	2.12	0
ELRC-government_websites	v1	ELRC-4138-NTEU_TierA	v1	1319	6090190	28	2.12	0
ELRC-government_websites	v1	ELRC-4215-NTEU_TierA	v1	1319	6019620	28	2.12	0
ELRC-government_websites	v1	ELRC-4273-NTEU_TierA	v1	1319	5642382	28	2.12	0
ELRC-government_websites	v1	ELRC-4136-NTEU_TierA	v1	1319	9335815	27	2.04	0
ELRC-government_websites	v1	ELRC-4245-NTEU_TierA	v1	1319	5388024	27	2.04	0
ELRC-government_websites	v1	XLEnt	v1.1	1319	4722835	24	1.81	0
