corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-wikipedia_health	v1	ELRC_2922	v1	7308	7308	7308	100.00	100.00
ELRC-wikipedia_health	v1	ELRC-3080-wikipedia_health	v1	7308	7308	7307	99.98	99.98
ELRC-wikipedia_health	v1	WikiMatrix	v1	7308	9154347	1601	21.90	.01
ELRC-wikipedia_health	v1	NLLB	v1	7308	415019611	719	9.83	0
ELRC-wikipedia_health	v1	MultiParaCrawl	v8	7308	70437155	489	6.69	0
ELRC-wikipedia_health	v1	ParaCrawl	v8	7308	70437155	489	6.69	0
ELRC-wikipedia_health	v1	wikimedia	v20230407	7308	1278521	434	5.93	.03
ELRC-wikipedia_health	v1	wikimedia	v20210402	7308	795121	426	5.82	.05
ELRC-wikipedia_health	v1	MultiParaCrawl	v9	7308	69939929	421	5.76	0
ELRC-wikipedia_health	v1	MultiParaCrawl	v9b	7308	69939929	421	5.76	0
ELRC-wikipedia_health	v1	ParaCrawl	v9	7308	69939929	421	5.76	0
ELRC-wikipedia_health	v1	Wikipedia	v1.0	7308	1759286	398	5.44	.02
ELRC-wikipedia_health	v1	CCMatrix	v1	7308	102664744	294	4.02	0
ELRC-wikipedia_health	v1	MultiParaCrawl	v7.1	7308	29681586	193	2.64	0
ELRC-wikipedia_health	v1	ParaCrawl	v7.1	7308	29681586	193	2.64	0
ELRC-wikipedia_health	v1	MultiCCAligned	v1.1	7308	39109883	11	.15	0
ELRC-wikipedia_health	v1	MultiCCAligned	v1	7308	39109883	11	.15	0
ELRC-wikipedia_health	v1	CCAligned	v1	7308	39109849	11	.15	0
ELRC-wikipedia_health	v1	WikiTitles	v3	7308	678745	8	.10	0
ELRC-wikipedia_health	v1	OpenSubtitles	v2018	7308	36905183	6	.08	0
ELRC-wikipedia_health	v1	OpenSubtitles	v2016	7308	28810972	6	.08	0
ELRC-wikipedia_health	v1	LinguaTools-WikiTitles	v2014	7308	1305308	6	.08	0
ELRC-wikipedia_health	v1	MultiParaCrawl	v5	7308	13485151	5	.06	0
ELRC-wikipedia_health	v1	ParaCrawl	v5	7308	13485151	5	.06	0
ELRC-wikipedia_health	v1	OpenSubtitles	v2013	7308	12095430	5	.06	0
ELRC-wikipedia_health	v1	ParaCrawl	v4	7308	8384028	5	.06	0
ELRC-wikipedia_health	v1	OpenSubtitles	v2012	7308	20272373	4	.05	0
ELRC-wikipedia_health	v1	ELRC-4151-NTEU_TierA	v1	7308	11357274	4	.05	0
ELRC-wikipedia_health	v1	ELRC-4136-NTEU_TierA	v1	7308	9335815	3	.04	0
ELRC-wikipedia_health	v1	ELRC-4196-NTEU_TierA	v1	7308	8820185	3	.04	0
ELRC-wikipedia_health	v1	ELRC-4215-NTEU_TierA	v1	7308	6019620	3	.04	0
ELRC-wikipedia_health	v1	XLEnt	v1.1	7308	4722835	3	.04	0
ELRC-wikipedia_health	v1	XLEnt	v1.2	7308	4722835	3	.04	0
ELRC-wikipedia_health	v1	XLEnt	v1	7308	4722835	3	.04	0
ELRC-wikipedia_health	v1	TildeMODEL	v2018	7308	3805106	3	.04	0
ELRC-wikipedia_health	v1	ParaCrawl	v1	7308	2928319	3	.04	0
ELRC-wikipedia_health	v1	SciELO	v1	7308	2776559	3	.04	0
ELRC-wikipedia_health	v1	ELRC-4138-NTEU_TierA	v1	7308	6090190	2	.02	0
ELRC-wikipedia_health	v1	ELRC-4273-NTEU_TierA	v1	7308	5642382	2	.02	0
ELRC-wikipedia_health	v1	EUbookshop	v2	7308	5416280	2	.02	0
ELRC-wikipedia_health	v1	ELRC-4245-NTEU_TierA	v1	7308	5388024	2	.02	0
ELRC-wikipedia_health	v1	DGT	v4	7308	1864600	1	.01	0
ELRC-wikipedia_health	v1	ELRC-4219-NTEU_TierA	v1	7308	1381637	1	.01	0
ELRC-wikipedia_health	v1	OpenSubtitles	v1	7308	1176075	1	.01	0
ELRC-wikipedia_health	v1	EMEA	v3	7308	332926	1	.01	0
ELRC-wikipedia_health	v1	Europarl	v8	7308	2108483	0	0	0
ELRC-wikipedia_health	v1	Europarl	v7	7308	2108380	0	0	0
ELRC-wikipedia_health	v1	JRC-Acquis	v3.0	7308	1957180	0	0	0
ELRC-wikipedia_health	v1	Europarl	v3	7308	1405473	0	0	0
ELRC-wikipedia_health	v1	CAPES	v1	7308	1155323	0	0	0
ELRC-wikipedia_health	v1	ELRC-5067-SciPar	v1	7308	979953	0	0	0
ELRC-wikipedia_health	v1	ELRC-2724-EMEA	v1	7308	734866	0	0	0
ELRC-wikipedia_health	v1	ELRC-EMEA	v1	7308	734866	0	0	0
ELRC-wikipedia_health	v1	QED	v2.0a	7308	555792	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2023-04-12	7308	426015	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2022-03-03	7308	404012	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2021-03-10	7308	388758	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2020-11-09	7308	382932	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2021-07-22	7308	378616	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2020-05-31	7308	370272	0	0	0
ELRC-wikipedia_health	v1	TED2020	v1	7308	355896	0	0	0
ELRC-wikipedia_health	v1	ECB	v1	7308	352506	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v20190709	7308	332245	0	0	0
ELRC-wikipedia_health	v1	KDE4	v2	7308	182488	0	0	0
ELRC-wikipedia_health	v1	TED2013	v1.1	7308	154533	0	0	0
ELRC-wikipedia_health	v1	GlobalVoices	v2018q4	7308	136822	0	0	0
ELRC-wikipedia_health	v1	Tatoeba	v2	7308	135730	0	0	0
ELRC-wikipedia_health	v1	ELRC-5179-acts_Ukrainian	v1	7308	126771	0	0	0
ELRC-wikipedia_health	v1	GlobalVoices	v2017q3	7308	118900	0	0	0
ELRC-wikipedia_health	v1	GlobalVoices	v2015	7308	101099	0	0	0
ELRC-wikipedia_health	v1	NeuLab-TedTalks	v1	7308	84380	0	0	0
ELRC-wikipedia_health	v1	News-Commentary	v16	7308	84239	0	0	0
ELRC-wikipedia_health	v1	News-Commentary	v14	7308	57964	0	0	0
ELRC-wikipedia_health	v1	Mozilla-I10n	v1	7308	48013	0	0	0
ELRC-wikipedia_health	v1	bible-uedin	v1	7308	34612	0	0	0
ELRC-wikipedia_health	v1	News-Commentary	v11	7308	33096	0	0	0
ELRC-wikipedia_health	v1	ELRC-2410-Portal_oficial_turis	v1	7308	28815	0	0	0
ELRC-wikipedia_health	v1	News-Commentary	v9.0	7308	27176	0	0	0
ELRC-wikipedia_health	v1	News-Commentary	v9.1	7308	27176	0	0	0
ELRC-wikipedia_health	v1	ELRC-EUR_LEX	v1	7308	20876	0	0	0
ELRC-wikipedia_health	v1	ELRC-2025-EUIPO_2017	v1	7308	17066	0	0	0
ELRC-wikipedia_health	v1	ELRC-EUIPO_2017	v1	7308	17066	0	0	0
ELRC-wikipedia_health	v1	wikimedia	v20190628	7308	14672	0	0	0
ELRC-wikipedia_health	v1	ELRC-2883-EU_publications_medi	v1	7308	13127	0	0	0
ELRC-wikipedia_health	v1	ELRC-EU_publications	v1	7308	13127	0	0	0
ELRC-wikipedia_health	v1	KDEdoc	v1	7308	9085	0	0	0
ELRC-wikipedia_health	v1	Tanzil	v1	7308	9059	0	0	0
ELRC-wikipedia_health	v1	EUconst	v1	7308	7344	0	0	0
ELRC-wikipedia_health	v1	ELRC-3614-presscorner_covid	v1	7308	6306	0	0	0
ELRC-wikipedia_health	v1	ELRC-presscorner_covid	v1	7308	6306	0	0	0
ELRC-wikipedia_health	v1	ELITR-ECA	v1	7308	5534	0	0	0
ELRC-wikipedia_health	v1	ELRC-2481-Constituio_da_Repbli	v1	7308	3822	0	0	0
ELRC-wikipedia_health	v1	ELRC_3382	v1	7308	3507	0	0	0
ELRC-wikipedia_health	v1	tico-19	v2020-10-28	7308	3355	0	0	0
ELRC-wikipedia_health	v1	ELRC-2638-monumentos_2007	v1	7308	3327	0	0	0
ELRC-wikipedia_health	v1	tldr-pages	v2023-08-29	7308	3304	0	0	0
ELRC-wikipedia_health	v1	ELRC-398-Portuguese_legislati	v1	7308	2772	0	0	0
ELRC-wikipedia_health	v1	ELRC-Portuguese_legislati	v1	7308	2772	0	0	0
ELRC-wikipedia_health	v1	ELRC-3472-EC_EUROPA_covid	v1	7308	2592	0	0	0
ELRC-wikipedia_health	v1	ELRC-EC_EUROPA	v1	7308	2592	0	0	0
ELRC-wikipedia_health	v1	GNOME	v1	7308	2461	0	0	0
ELRC-wikipedia_health	v1	ECDC	v2016-03-16	7308	2425	0	0	0
ELRC-wikipedia_health	v1	ELRC-438-Legislation_PT	v1	7308	2334	0	0	0
ELRC-wikipedia_health	v1	ELRC-Localidades_2007	v1	7308	1956	0	0	0
ELRC-wikipedia_health	v1	ELRC-2614-Localidades_2007	v1	7308	1914	0	0	0
ELRC-wikipedia_health	v1	ELRC-2615-Localidades_2007_Par	v1	7308	1861	0	0	0
ELRC-wikipedia_health	v1	ELRC-Artigos_visitportuga	v1	7308	1668	0	0	0
ELRC-wikipedia_health	v1	ELRC-2612-Artigos_visitportuga	v1	7308	1619	0	0	0
ELRC-wikipedia_health	v1	ELRC-2613-Artigos_visitportuga	v1	7308	1595	0	0	0
ELRC-wikipedia_health	v1	ELRA-W0246	v1	7308	1498	0	0	0
