af	afr_Latn_ZA	afr
ar	ara_Arab_XX	ara
az	aze_Latn_XX	aze_Latn
be	bel_Cyrl_BY	bel
bg	bul_Cyrl_BG	bul
bn	ben_Beng_BD	ben
bs	bos_Latn_BA	bos_Latn
ca	cat_Latn_ES	cat
cs	ces_Latn_CZ	ces
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
eo	epo_Latn_XX	epo
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
fa	fas_Arab_IR	fas
fi	fin_Latn_FI	fin
fr	fra_Latn_FR	fra
gl	glg_Latn_ES	glg
he	heb_Hebr_IL	heb
hi	hin_Deva_IN	hin
hr	hrv_Latn_HR	hrv
hu	hun_Latn_HU	hun
id	ind_Latn_ID	ind
it	ita_Latn_IT	ita
ko	kor_Zyyy_KR	kor
lt	lit_Latn_LT	lit
lv	lav_Latn_LV	lav
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
ms	msa_Latn_MY	msa_Latn
nl	nld_Latn_NL	nld
no	nor_Latn_NO	nor
pl	pol_Latn_PL	pol
pt	por_Latn_PT	por
ro	ron_Latn_RO	ron
ru	rus_Cyrl_RU	rus
sh	hbs_Latn_XX	hbs_Latn
sk	slk_Latn_SK	slk
sl	slv_Latn_SI	slv
sq	sqi_Latn_AL	sqi
sr	srp_Cyrl_XX	srp_Cyrl
sv	swe_Latn_SE	swe
sw	swa_Latn_TZ	swa
ta	tam_Taml_IN	tam
te	tel_Telu_IN	tel
th	tha_Thai_TH	tha
tl	tgl_Latn_XX	tgl_Latn
tr	tur_Latn_TR	tur
uk	ukr_Cyrl_UA	ukr
vi	vie_Latn_VN	vie
zh	zho_Hans_XX	zho_Hans
