corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC_2922	v1	ELRC-3056-wikipedia_health	v1	144	144	144	100.00	100.00
ELRC_2922	v1	ELRC-wikipedia_health	v1	144	144	144	100.00	100.00
ELRC_2922	v1	CCMatrix	v1	144	132669801	9	6.25	0
ELRC_2922	v1	NLLB	v1	144	132667889	9	6.25	0
ELRC_2922	v1	WikiMatrix	v1	144	7003638	7	4.86	0
ELRC_2922	v1	wikimedia	v20230407	144	432008	5	3.47	0
ELRC_2922	v1	wikimedia	v20210402	144	301391	4	2.77	0
ELRC_2922	v1	UNPC	v1.0	144	15376036	2	1.38	0
ELRC_2922	v1	XLEnt	v1.1	144	5063736	1	.69	0
ELRC_2922	v1	XLEnt	v1	144	5063736	1	.69	0
ELRC_2922	v1	XLEnt	v1.2	144	5063736	1	.69	0
ELRC_2922	v1	wikimedia	v20190628	144	6743	1	.69	.01
ELRC_2922	v1	OpenSubtitles	v2016	144	9431861	0	0	0
ELRC_2922	v1	MultiParaCrawl	v9	144	9409712	0	0	0
ELRC_2922	v1	MultiParaCrawl	v9b	144	9409712	0	0	0
ELRC_2922	v1	ParaCrawl	v9	144	9409712	0	0	0
ELRC_2922	v1	MultiUN	v1	144	8550124	0	0	0
ELRC_2922	v1	LinguaTools-WikiTitles	v2014	144	1019492	0	0	0
ELRC_2922	v1	WikiTitles	v3	144	853130	0	0	0
ELRC_2922	v1	News-Commentary	v16	144	168947	0	0	0
ELRC_2922	v1	TED2013	v1.1	144	153427	0	0	0
ELRC_2922	v1	News-Commentary	v14	144	143781	0	0	0
ELRC_2922	v1	News-Commentary	v11	144	96505	0	0	0
ELRC_2922	v1	JParaCrawl	v3.0	144	82723	0	0	0
ELRC_2922	v1	UN	v20090831	144	61481	0	0	0
ELRC_2922	v1	bible-uedin	v1	144	61208	0	0	0
ELRC_2922	v1	News-Commentary	v9.0	144	58932	0	0	0
ELRC_2922	v1	News-Commentary	v9.1	144	58932	0	0	0
ELRC_2922	v1	QED	v2.0a	144	27588	0	0	0
ELRC_2922	v1	TED2020	v1	144	15952	0	0	0
ELRC_2922	v1	Tanzil	v1	144	12221	0	0	0
ELRC_2922	v1	OpenSubtitles	v1	144	11996	0	0	0
ELRC_2922	v1	infopankki	v1	144	10182	0	0	0
ELRC_2922	v1	NeuLab-TedTalks	v1	144	7844	0	0	0
ELRC_2922	v1	tico-19	v2020-10-28	144	3062	0	0	0
ELRC_2922	v1	SPC	v1	144	2198	0	0	0
ELRC_2922	v1	WMT-News	v2019	144	1996	0	0	0
ELRC_2922	v1	OpenSubtitles	v2012	144	929	0	0	0
ELRC_2922	v1	Ubuntu	v14.10	144	34	0	0	0
