corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC_2923	v1	ELRC-3301-EUROPARL_covid	v1	559	863	557	99.64	64.54
ELRC_2923	v1	ELRC-EUROPARL_covid	v1	559	863	557	99.64	64.54
ELRC_2923	v1	Europarl	v8	559	1957999	3	.53	0
ELRC_2923	v1	OpenSubtitles	v2018	559	26685270	2	.35	0
ELRC_2923	v1	CCAligned	v1	559	13523846	2	.35	0
ELRC_2923	v1	QED	v2.0a	559	414174	2	.35	0
ELRC_2923	v1	TED2020	v1	559	320285	2	.35	0
ELRC_2923	v1	OpenSubtitles	v1	559	317261	2	.35	0
ELRC_2923	v1	Tatoeba	v2022-03-03	559	219187	2	.35	0
ELRC_2923	v1	Tatoeba	v2021-07-22	559	217627	2	.35	0
ELRC_2923	v1	Tatoeba	v2021-03-10	559	215977	2	.35	0
ELRC_2923	v1	Tatoeba	v2020-11-09	559	214401	2	.35	0
ELRC_2923	v1	Tatoeba	v2020-05-31	559	208565	2	.35	0
ELRC_2923	v1	Tatoeba	v20190709	559	196551	2	.35	0
ELRC_2923	v1	NeuLab-TedTalks	v1	559	78585	2	.35	0
ELRC_2923	v1	ParaCrawl	v9	559	84925921	1	.17	0
ELRC_2923	v1	EUbookshop	v2	559	3772762	1	.17	0
ELRC_2923	v1	DGT	v2019	559	3617153	1	.17	0
ELRC_2923	v1	Wikipedia	v1.0	559	1694174	1	.17	0
ELRC_2923	v1	TildeMODEL	v2018	559	1114245	1	.17	0
ELRC_2923	v1	JRC-Acquis	v3.0	559	1040014	1	.17	0
ELRC_2923	v1	ELRC-2724-EMEA	v1	559	768690	1	.17	0
ELRC_2923	v1	ELRC-EMEA	v1	559	768690	1	.17	0
ELRC_2923	v1	wikimedia	v20210402	559	485721	1	.17	0
ELRC_2923	v1	EMEA	v3	559	356528	1	.17	0
ELRC_2923	v1	KDE4	v2	559	186890	1	.17	0
ELRC_2923	v1	TED2013	v1.1	559	154841	1	.17	0
ELRC_2923	v1	GlobalVoices	v2018q4	559	85532	1	.17	0
ELRC_2923	v1	Tatoeba	v2	559	60618	1	.17	0
ELRC_2923	v1	GlobalVoices	v2015	559	58384	1	.17	0
ELRC_2923	v1	ELRC-3472-EC_EUROPA_covid	v1	559	2659	1	.17	.03
ELRC_2923	v1	ELRC-EC_EUROPA	v1	559	2659	1	.17	.03
ELRC_2923	v1	ELRC-2560-government_websites_	v1	559	844	1	.17	.11
ELRC_2923	v1	ELRC-government_websites	v1	559	844	1	.17	.11
ELRC_2923	v1	CCMatrix	v1	559	172208300	0	0	0
ELRC_2923	v1	LinguaTools-WikiTitles	v2014	559	7955215	0	0	0
ELRC_2923	v1	XLEnt	v1.1	559	5417987	0	0	0
ELRC_2923	v1	XLEnt	v1.2	559	5417987	0	0	0
ELRC_2923	v1	XLEnt	v1	559	5417987	0	0	0
ELRC_2923	v1	SciELO	v1	559	2746160	0	0	0
ELRC_2923	v1	WikiMatrix	v1	559	2461553	0	0	0
ELRC_2923	v1	CAPES	v1	559	1155914	0	0	0
ELRC_2923	v1	ELRC-5067-SciPar	v1	559	974168	0	0	0
ELRC_2923	v1	ELITR-ECA	v1	559	342089	0	0	0
ELRC_2923	v1	ECB	v1	559	201655	0	0	0
