corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC_2923	v1	ELRC-3299-EUROPARL_covid	v1	517	619	517	100.00	83.52
ELRC_2923	v1	ELRC-EUROPARL_covid	v1	517	619	517	100.00	83.52
ELRC_2923	v1	MultiParaCrawl	v8	517	264638796	8	1.54	0
ELRC_2923	v1	ParaCrawl	v8	517	264638796	8	1.54	0
ELRC_2923	v1	MultiParaCrawl	v9	517	227109648	8	1.54	0
ELRC_2923	v1	MultiParaCrawl	v9b	517	227109648	8	1.54	0
ELRC_2923	v1	ParaCrawl	v9	517	227109648	8	1.54	0
ELRC_2923	v1	MultiCCAligned	v1.1	517	88133854	8	1.54	0
ELRC_2923	v1	MultiCCAligned	v1	517	88133854	8	1.54	0
ELRC_2923	v1	CCAligned	v1	517	88133814	8	1.54	0
ELRC_2923	v1	CCMatrix	v1	517	863648009	7	1.35	0
ELRC_2923	v1	NLLB	v1	517	861713400	7	1.35	0
ELRC_2923	v1	ParaCrawl	v1	517	16494775	7	1.35	0
ELRC_2923	v1	MultiParaCrawl	v7.1	517	80995876	6	1.16	0
ELRC_2923	v1	ParaCrawl	v7.1	517	80995876	6	1.16	0
ELRC_2923	v1	ELRC-4140-NTEU_TierA	v1	517	11847174	6	1.16	0
ELRC_2923	v1	ELRC-4153-NTEU_TierA	v1	517	9409919	6	1.16	0
ELRC_2923	v1	ELRC-4168-NTEU_TierA	v1	517	8944148	6	1.16	0
ELRC_2923	v1	ELRC-4158-NTEU_TierA	v1	517	6001855	6	1.16	0
ELRC_2923	v1	ELRC-4233-NTEU_TierA	v1	517	5911242	6	1.16	0
ELRC_2923	v1	ELRC-4255-NTEU_TierA	v1	517	5518741	6	1.16	0
ELRC_2923	v1	ELRC-4207-NTEU_TierA	v1	517	5212322	6	1.16	0
ELRC_2923	v1	MultiParaCrawl	v5	517	38651240	4	.77	0
ELRC_2923	v1	ParaCrawl	v5	517	38651240	4	.77	0
ELRC_2923	v1	ParaCrawl	v4	517	23657111	4	.77	0
ELRC_2923	v1	OpenSubtitles	v2013	517	22788458	4	.77	0
ELRC_2923	v1	UNPC	v1.0	517	21411299	4	.77	0
ELRC_2923	v1	TildeMODEL	v2018	517	3824504	4	.77	0
ELRC_2923	v1	Europarl	v8	517	2106876	4	.77	0
ELRC_2923	v1	Europarl	v7	517	2106740	4	.77	0
ELRC_2923	v1	QED	v2.0a	517	1692785	4	.77	0
ELRC_2923	v1	OpenSubtitles	v2018	517	74593385	3	.58	0
ELRC_2923	v1	OpenSubtitles	v2016	517	63725756	3	.58	0
ELRC_2923	v1	OpenSubtitles	v2012	517	33714648	3	.58	0
ELRC_2923	v1	Europarl	v3	517	1429951	3	.58	0
ELRC_2923	v1	GlobalVoices	v2018q4	517	940571	3	.58	0
ELRC_2923	v1	GlobalVoices	v2017q3	517	872501	3	.58	0
ELRC_2923	v1	GlobalVoices	v2015	517	730778	3	.58	0
ELRC_2923	v1	WikiMatrix	v1	517	15182653	2	.38	0
ELRC_2923	v1	EUbookshop	v2	517	6731577	2	.38	0
ELRC_2923	v1	wikimedia	v20230407	517	3896792	2	.38	0
ELRC_2923	v1	wikimedia	v20210402	517	2577143	2	.38	0
ELRC_2923	v1	LinguaTools-WikiTitles	v2014	517	2406984	2	.38	0
ELRC_2923	v1	JRC-Acquis	v3.0	517	2003965	2	.38	0
ELRC_2923	v1	DGT	v4	517	1867954	2	.38	0
ELRC_2923	v1	OpenSubtitles	v1	517	1397371	2	.38	0
ELRC_2923	v1	EiTB-ParCC	v1	517	632746	2	.38	0
ELRC_2923	v1	EhuHac	v1	517	604243	2	.38	0
ELRC_2923	v1	Elhuyar	v1	517	584951	2	.38	0
ELRC_2923	v1	News-Commentary	v16	517	486502	2	.38	0
ELRC_2923	v1	TED2020	v1	517	442831	2	.38	0
ELRC_2923	v1	SciELO	v1	517	426084	2	.38	0
ELRC_2923	v1	News-Commentary	v14	517	412124	2	.38	0
ELRC_2923	v1	Tatoeba	v2023-04-12	517	395021	2	.38	0
ELRC_2923	v1	Tatoeba	v2022-03-03	517	376749	2	.38	0
ELRC_2923	v1	ECB	v1	517	363994	2	.38	0
ELRC_2923	v1	Tatoeba	v2021-03-10	517	339154	2	.38	0
ELRC_2923	v1	Tatoeba	v2020-11-09	517	330705	2	.38	0
ELRC_2923	v1	Tatoeba	v2021-07-22	517	325782	2	.38	0
ELRC_2923	v1	Tatoeba	v2020-05-31	517	325197	2	.38	0
ELRC_2923	v1	Tatoeba	v20190709	517	315967	2	.38	0
ELRC_2923	v1	News-Commentary	v11	517	287713	2	.38	0
ELRC_2923	v1	News-Commentary	v9.0	517	275065	2	.38	0
ELRC_2923	v1	News-Commentary	v9.1	517	275065	2	.38	0
ELRC_2923	v1	NeuLab-TedTalks	v1	517	237861	2	.38	0
ELRC_2923	v1	ELRC-2410-Portal_oficial_turis	v1	517	207285	2	.38	0
ELRC_2923	v1	Tatoeba	v2	517	201204	2	.38	0
ELRC_2923	v1	KDE4	v2	517	176595	2	.38	0
ELRC_2923	v1	TED2013	v1.1	517	156349	2	.38	0
ELRC_2923	v1	Mozilla-I10n	v1	517	54404	2	.38	0
ELRC_2923	v1	ELRC-government_websites	v1	517	38546	2	.38	0
ELRC_2923	v1	KDEdoc	v1	517	25010	2	.38	0
ELRC_2923	v1	ELRC-863-government_websites_	v1	517	20531	2	.38	0
ELRC_2923	v1	ELRC-1254-government_websites_	v1	517	1230	2	.38	.16
ELRC_2923	v1	ELRC-335-government_websites_	v1	517	1230	2	.38	.16
ELRC_2923	v1	EuroPat	v3	517	48334640	1	.19	0
ELRC_2923	v1	EuroPat	v2	517	42036171	1	.19	0
ELRC_2923	v1	DOGC	v3	517	8128208	1	.19	0
ELRC_2923	v1	XLEnt	v1.1	517	7597956	1	.19	0
ELRC_2923	v1	XLEnt	v1.2	517	7597956	1	.19	0
ELRC_2923	v1	XLEnt	v1	517	7597956	1	.19	0
ELRC_2923	v1	DOGC	v2	517	4535440	1	.19	0
ELRC_2923	v1	Wikipedia	v1.0	517	1819269	1	.19	0
ELRC_2923	v1	ELRC-4236-NTEU_TierA	v1	517	1385002	1	.19	0
ELRC_2923	v1	WikiTitles	v3	517	813027	1	.19	0
ELRC_2923	v1	ELRC-2722-EMEA	v1	517	739137	1	.19	0
ELRC_2923	v1	ELRC-EMEA	v1	517	739137	1	.19	0
ELRC_2923	v1	ELRC-5067-SciPar	v1	517	358282	1	.19	0
ELRC_2923	v1	EMEA	v3	517	343455	1	.19	0
ELRC_2923	v1	ELRC-1125-CORDIS_News	v1	517	114610	1	.19	0
ELRC_2923	v1	ELRC-CORDIS_News	v1	517	114610	1	.19	0
ELRC_2923	v1	ELRC-EUIPO_law	v1	517	110613	1	.19	0
ELRC_2923	v1	ELRC-1076-EUIPO_law	v1	517	110608	1	.19	0
ELRC_2923	v1	Books	v1	517	105396	1	.19	0
ELRC_2923	v1	wikimedia	v20190628	517	20799	1	.19	0
ELRC_2923	v1	ELRC-1084-Agencia_Tributaria	v1	517	17216	1	.19	0
ELRC_2923	v1	ELRC-2543-Inteliterm	v1	517	16065	1	.19	0
ELRC_2923	v1	ELRC-1256-government_websites_	v1	517	15721	1	.19	0
ELRC_2923	v1	ELRC-1082-CNIO	v1	517	8304	1	.19	.01
ELRC_2923	v1	ELRC-1083-AECOSAN	v1	517	5666	1	.19	.01
ELRC_2923	v1	ELRC-TERMITUR	v1	517	5473	1	.19	.01
ELRC_2923	v1	ELRC-1255-government_websites_	v1	517	3319	1	.19	.03
ELRC_2923	v1	ELRC-2502-TERMITUR	v1	517	3310	1	.19	.03
ELRC_2923	v1	ELRC-3470-EC_EUROPA_covid	v1	517	2882	1	.19	.03
ELRC_2923	v1	ELRC-EC_EUROPA	v1	517	2882	1	.19	.03
ELRC_2923	v1	ELRC-2544-TERMITUR	v1	517	2174	1	.19	.04
ELRC_2923	v1	ELRC-Swedish_Labour	v1	517	1501	1	.19	.06
ELRC_2923	v1	ELRC-2558-government_websites_	v1	517	888	1	.19	.11
ELRC_2923	v1	ELRC-406-Swedish_Labour_Part1	v1	517	739	1	.19	.13
ELRC_2923	v1	MultiUN	v1	517	9835864	0	0	0
ELRC_2923	v1	ELRC-1126-CORDIS_Results_Brief	v1	517	242952	0	0	0
ELRC_2923	v1	ELRC-CORDIS_Results	v1	517	242952	0	0	0
ELRC_2923	v1	ELRC_2682	v1	517	236111	0	0	0
ELRC_2923	v1	ELRC-2503-Descripciones_vulner	v1	517	134530	0	0	0
ELRC_2923	v1	ELRC-5179-acts_Ukrainian	v1	517	127790	0	0	0
ELRC_2923	v1	UN	v20090831	517	60409	0	0	0
ELRC_2923	v1	ELRC-EUIPO_list	v1	517	54143	0	0	0
ELRC_2923	v1	OpenOffice	v3	517	48054	0	0	0
ELRC_2923	v1	ELRA-W0151	v1	517	45016	0	0	0
ELRC_2923	v1	ELRC-1102-EUIPO_list	v1	517	45016	0	0	0
ELRC_2923	v1	ELRA-W0148	v1	517	44426	0	0	0
ELRC_2923	v1	ELRC-1098-EUIPO_list	v1	517	44426	0	0	0
ELRC_2923	v1	bible-uedin	v1	517	43140	0	0	0
ELRC_2923	v1	OpenOffice	v2	517	32897	0	0	0
ELRC_2923	v1	ELRA-W0147	v1	517	32158	0	0	0
ELRC_2923	v1	ELRC-1096-EUIPO_list	v1	517	32158	0	0	0
ELRC_2923	v1	ELRA-W0144	v1	517	29828	0	0	0
ELRC_2923	v1	ELRC-1093-EUIPO_list	v1	517	29828	0	0	0
ELRC_2923	v1	ELRC-3571-EUR_LEX_covid	v1	517	23333	0	0	0
ELRC_2923	v1	ELRC-EUR_LEX	v1	517	23333	0	0	0
ELRC_2923	v1	ELRC-2015-EUIPO_2017	v1	517	16384	0	0	0
ELRC_2923	v1	ELRC-EUIPO_2017	v1	517	16384	0	0	0
ELRC_2923	v1	ELITR-ECA	v1	517	13953	0	0	0
ELRC_2923	v1	infopankki	v1	517	13632	0	0	0
ELRC_2923	v1	ELRC-2881-EU_publications_medi	v1	517	13211	0	0	0
ELRC_2923	v1	ELRC-EU_publications	v1	517	13211	0	0	0
ELRC_2923	v1	Tanzil	v1	517	11024	0	0	0
ELRC_2923	v1	ELRC-3612-presscorner_covid	v1	517	7282	0	0	0
ELRC_2923	v1	ELRC-presscorner_covid	v1	517	7282	0	0	0
ELRC_2923	v1	EUconst	v1	517	6692	0	0	0
ELRC_2923	v1	GNOME	v1	517	6079	0	0	0
ELRC_2923	v1	ELRC_2922	v1	517	5146	0	0	0
ELRC_2923	v1	ELRC-3077-wikipedia_health	v1	517	5146	0	0	0
ELRC_2923	v1	ELRC-wikipedia_health	v1	517	5146	0	0	0
ELRC_2923	v1	ELRC_3382	v1	517	3690	0	0	0
ELRC_2923	v1	tico-19	v2020-10-28	517	3329	0	0	0
ELRC_2923	v1	ELRC-2638-monumentos_2007	v1	517	2774	0	0	0
ELRC_2923	v1	ELRC-1257-government_websites_	v1	517	2756	0	0	0
ELRC_2923	v1	WMT-News	v2019	517	2476	0	0	0
ELRC_2923	v1	ECDC	v2016-03-16	517	2469	0	0	0
ELRC_2923	v1	ELRC-Localidades_2007	v1	517	1609	0	0	0
ELRC_2923	v1	ELRC-2614-Localidades_2007	v1	517	1590	0	0	0
ELRC_2923	v1	ELRC-2615-Localidades_2007_Par	v1	517	1549	0	0	0
ELRC_2923	v1	ELRC-Artigos_visitportuga	v1	517	1503	0	0	0
ELRC_2923	v1	ELRC-2612-Artigos_visitportuga	v1	517	1480	0	0	0
ELRC_2923	v1	ELRC-2613-Artigos_visitportuga	v1	517	1469	0	0	0
ELRC_2923	v1	ELRC-4992-Customer_Support_MT	v1	517	1351	0	0	0
ELRC_2923	v1	ELRC-2498-Plan_Nacional_e	v1	517	1300	0	0	0
