ELRC-3606-presscorner_covid	v1	10233	6170/6228	99.06
ELRC-presscorner_covid	v1	10233	6170/6228	99.06
ELRC-3464-EC_EUROPA_covid	v1	2555	73/6228	1.17
ELRC-EC_EUROPA	v1	2555	73/6228	1.17
CCMatrix	v1	245958729	24/6228	.38
ELRC-3565-EUR_LEX_covid	v1	23300	20/6228	.32
ELRC-EUR_LEX	v1	23300	20/6228	.32
ELRC-2875-EU_publications_medi	v1	13280	10/6228	.16
ELRC-EU_publications	v1	13280	10/6228	.16
ParaCrawl	v9	278310902	8/6228	.12
TildeMODEL	v2018	4184303	7/6228	.11
OpenSubtitles	v2018	18698900	5/6228	.08
CCAligned	v1	15192790	3/6228	.04
DGT	v2019	3598219	2/6228	.03
EUbookshop	v2	8268818	2/6228	.03
Europarl	v8	1916512	2/6228	.03
QED	v2.0a	492321	2/6228	.03
ECB	v1	113033	1/6228	.01
ELRC-1090-German_Foreign_Offic	v1	20549	1/6228	.01
ELRC_2682	v1	620450	1/6228	.01
ELRC-2714-EMEA	v1	752887	1/6228	.01
ELRC-EMEA	v1	752887	1/6228	.01
EMEA	v3	357190	1/6228	.01
EUconst	v1	6308	1/6228	.01
EuroPat	v1	12614161	1/6228	.01
EuroPat	v2	15571045	1/6228	.01
EuroPat	v3	19734743	1/6228	.01
GlobalVoices	v2017q3	65711	1/6228	.01
GlobalVoices	v2018q4	70537	1/6228	.01
News-Commentary	v11	222749	1/6228	.01
News-Commentary	v14	285704	1/6228	.01
News-Commentary	v16	285720	1/6228	.01
News-Commentary	v9.0	200304	1/6228	.01
News-Commentary	v9.1	200304	1/6228	.01
OpenSubtitles	v1	66867	1/6228	.01
PHP	v1	12281	1/6228	.01
Tatoeba	v20190709	289207	1/6228	.01
Tatoeba	v2020-05-31	294740	1/6228	.01
Tatoeba	v2020-11-09	299698	1/6228	.01
Tatoeba	v2021-03-10	302363	1/6228	.01
Tatoeba	v2021-07-22	307276	1/6228	.01
Tatoeba	v2022-03-03	313068	1/6228	.01
Tatoeba	v2	142996	1/6228	.01
TED2013	v1.1	142758	1/6228	.01
TED2020	v1	289362	1/6228	.01
Wikipedia	v1.0	2413702	1/6228	.01
WMT-News	v2014	19565	1/6228	.01
WMT-News	v2019	34727	1/6228	.01
bible-uedin	v1	61579	0/6228	0
Books	v1	51106	0/6228	0
ELITR-ECA	v1	252015	0/6228	0
ELRA-W0143	v1	30483	0/6228	0
ELRA-W0201	v1	35973	0/6228	0
ELRA-W0301	v1	22	0/6228	0
ELRC-1077-EUIPO_law	v1	233271	0/6228	0
ELRC-1086-Information_Portal_G	v1	11281	0/6228	0
ELRC-1088-German_Foreign_Offic	v1	12554	0/6228	0
ELRC-1089-German_Foreign_Offic	v1	24725	0/6228	0
ELRC-1092-EUIPO_list	v1	30484	0/6228	0
ELRC-1117-CORDIS_News	v1	111275	0/6228	0
ELRC-1121-CORDIS_Results_Brief	v1	182066	0/6228	0
ELRC-1238-Energy_Report_City	v1	482	0/6228	0
ELRC-1240-Austrian_Research_Te	v1	2709	0/6228	0
ELRC-1241-2017_Activity_Report	v1	1020	0/6228	0
ELRC-1243-Vienna_Environmental	v1	2222	0/6228	0
ELRC-2014-EUIPO_2017	v1	17145	0/6228	0
ELRC-2410-Portal_oficial_turis	v1	565	0/6228	0
ELRC-2612-Artigos_visitportuga	v1	1058	0/6228	0
ELRC-2614-Localidades_2007	v1	1355	0/6228	0
ELRC-2616-Museus_2007	v1	794	0/6228	0
ELRC-2622-Arquitectura_2007	v1	103	0/6228	0
ELRC-2623-Patrimnio_Aores_2006	v1	55	0/6228	0
ELRC-2638-monumentos_2007	v1	2474	0/6228	0
ELRC-2639-Parques_e_reservas	v1	118	0/6228	0
ELRC-2641-Praias_2007	v1	556	0/6228	0
ELRC-2736-vaccination	v1	489	0/6228	0
ELRC_2922	v1	2097	0/6228	0
ELRC_2923	v1	431	0/6228	0
ELRC-3063-wikipedia_health	v1	2098	0/6228	0
ELRC-3202-antibiotic	v1	895	0/6228	0
ELRC-3293-EUROPARL_covid	v1	720	0/6228	0
ELRC-3852-Development_Funds_Re	v1	97	0/6228	0
ELRC-401-Swedish_Labour_Part2	v1	167	0/6228	0
ELRC-403-Rights_Arrested	v1	24	0/6228	0
ELRC-406-Swedish_Labour_Part1	v1	156	0/6228	0
ELRC-416-Swedish_Social_Secur	v1	263	0/6228	0
ELRC_416	v1	262	0/6228	0
ELRC-417-Swedish_Work_Environ	v1	11	0/6228	0
ELRC-4992-Customer_Support_MT	v1	1365	0/6228	0
ELRC-5067-SciPar	v1	890185	0/6228	0
ELRC-621-Federal_Constitution	v1	3971	0/6228	0
ELRC-630-BMVI_Publications	v1	11541	0/6228	0
ELRC-631-BMVI_Website	v1	2718	0/6228	0
ELRC-632-BMI_Brochure_Civil	v1	176	0/6228	0
ELRC-633-BMI_Brochures_2016	v1	1155	0/6228	0
ELRC-634-BMI_Brochures_2011	v1	8395	0/6228	0
ELRC-637-SIP	v1	5687	0/6228	0
ELRC-638-Luxembourg.lu	v1	35970	0/6228	0
ELRC-642-Federal_Foreign_Berl	v1	53842	0/6228	0
ELRC-774-Presidency	v1	16475	0/6228	0
