corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC_3382	v1	ELRC-3613-presscorner_covid	v1	3693	7084	3673	99.45	51.84
ELRC_3382	v1	ELRC-presscorner_covid	v1	3693	7084	3673	99.45	51.84
ELRC_3382	v1	ELRC-3471-EC_EUROPA_covid	v1	3693	2707	30	.81	1.10
ELRC_3382	v1	ELRC-EC_EUROPA	v1	3693	2707	30	.81	1.10
ELRC_3382	v1	ELRC-3572-EUR_LEX_covid	v1	3693	22028	22	.59	.09
ELRC_3382	v1	ELRC-EUR_LEX	v1	3693	22028	22	.59	.09
ELRC_3382	v1	ELRC-2882-EU_publications_medi	v1	3693	13006	11	.29	.08
ELRC_3382	v1	ELRC-EU_publications	v1	3693	13006	11	.29	.08
ELRC_3382	v1	CCMatrix	v1	3693	21877049	10	.27	0
ELRC_3382	v1	NLLB	v1	3693	21876691	10	.27	0
ELRC_3382	v1	OpenSubtitles	v2018	3693	10204743	3	.08	0
ELRC_3382	v1	OpenSubtitles	v2016	3693	8489455	3	.08	0
ELRC_3382	v1	ParaCrawl	v1	3693	1289766	3	.08	0
ELRC_3382	v1	ParaCrawl	v8	3693	8585187	2	.05	0
ELRC_3382	v1	ParaCrawl	v9	3693	8539880	2	.05	0
ELRC_3382	v1	ELRC-4271-NTEU_TierA	v1	3693	7730635	2	.05	0
ELRC_3382	v1	TildeMODEL	v2018	3693	2032695	2	.05	0
ELRC_3382	v1	Europarl	v8	3693	632077	2	.05	0
ELRC_3382	v1	Europarl	v7	3693	631699	2	.05	0
ELRC_3382	v1	QED	v2.0a	3693	159715	2	.05	0
ELRC_3382	v1	TED2020	v1	3693	22985	2	.05	0
ELRC_3382	v1	NeuLab-TedTalks	v1	3693	11827	2	.05	.01
ELRC_3382	v1	MultiCCAligned	v1	3693	4086863	1	.02	0
ELRC_3382	v1	CCAligned	v1	3693	4086794	1	.02	0
ELRC_3382	v1	DGT	v2019	3693	3620944	1	.02	0
ELRC_3382	v1	MultiParaCrawl	v7.1	3693	3180465	1	.02	0
ELRC_3382	v1	ParaCrawl	v7.1	3693	3180464	1	.02	0
ELRC_3382	v1	DGT	v4	3693	1954038	1	.02	0
ELRC_3382	v1	ParaCrawl	v5	3693	1379164	1	.02	0
