corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC_416	v1	ELRC-416-Swedish_Social_Secur	v1	262	263	262	100.00	99.61
ELRC_416	v1	EMEA	v3	262	357190	19	7.25	0
ELRC_416	v1	OpenOffice	v2	262	35117	17	6.48	.04
ELRC_416	v1	ELRC-1077-EUIPO_law	v1	262	233271	15	5.72	0
ELRC_416	v1	ELRC-EUIPO_law	v1	262	233271	15	5.72	0
ELRC_416	v1	OpenSubtitles	v2018	262	18698900	14	5.34	0
ELRC_416	v1	Wikipedia	v1.0	262	2413702	13	4.96	0
ELRC_416	v1	KDE4	v2	262	187849	13	4.96	0
ELRC_416	v1	JRC-Acquis	v3.0	262	503393	12	4.58	0
ELRC_416	v1	EUconst	v1	262	6308	11	4.19	.17
ELRC_416	v1	TildeMODEL	v2018	262	4184303	10	3.81	0
ELRC_416	v1	LinguaTools-WikiTitles	v2014	262	15812874	9	3.43	0
ELRC_416	v1	DGT	v2019	262	3598219	9	3.43	0
ELRC_416	v1	WikiTitles	v3	262	1386531	8	3.05	0
ELRC_416	v1	CCAligned	v1	262	15192790	7	2.67	0
ELRC_416	v1	ELRC-2714-EMEA	v1	262	752887	6	2.29	0
ELRC_416	v1	ELRC-EMEA	v1	262	752887	6	2.29	0
ELRC_416	v1	ELRC_2682	v1	262	620450	6	2.29	0
ELRC_416	v1	EUbookshop	v2	262	8268818	4	1.52	0
ELRC_416	v1	XLEnt	v1.1	262	3802840	4	1.52	0
ELRC_416	v1	XLEnt	v1.2	262	3802840	4	1.52	0
ELRC_416	v1	XLEnt	v1	262	3802840	4	1.52	0
ELRC_416	v1	QED	v2.0a	262	492321	4	1.52	0
ELRC_416	v1	WMT-News	v2019	262	34727	4	1.52	.01
ELRC_416	v1	WMT-News	v2014	262	19565	4	1.52	.02
ELRC_416	v1	Ubuntu	v14.10	262	13116	4	1.52	.03
ELRC_416	v1	ELRC-by_Presidency	v1	262	9023	4	1.52	.04
ELRC_416	v1	GNOME	v1	262	7515	4	1.52	.05
ELRC_416	v1	ELRC-776-by_Presidency_Counci	v1	262	4545	4	1.52	.08
ELRC_416	v1	ELITR-ECA	v1	262	252015	3	1.14	0
ELRC_416	v1	ELRA-W0201	v1	262	35973	3	1.14	0
ELRC_416	v1	ELRC-638-Luxembourg.lu	v1	262	35970	3	1.14	0
ELRC_416	v1	ELRC-2014-EUIPO_2017	v1	262	17145	3	1.14	.01
ELRC_416	v1	ELRC-EUIPO_2017	v1	262	17145	3	1.14	.01
ELRC_416	v1	MultiUN	v1	262	127300	2	.76	0
ELRC_416	v1	ECB	v1	262	113033	2	.76	0
ELRC_416	v1	GlobalVoices	v2018q4	262	70537	2	.76	0
ELRC_416	v1	OpenSubtitles	v1	262	66867	2	.76	0
ELRC_416	v1	RF	v1	262	177	2	.76	1.12
ELRC_416	v1	ParaCrawl	v9	262	278310902	1	.38	0
ELRC_416	v1	Europarl	v8	262	1916512	1	.38	0
ELRC_416	v1	Tatoeba	v2022-03-03	262	313068	1	.38	0
ELRC_416	v1	Tatoeba	v2021-07-22	262	307276	1	.38	0
ELRC_416	v1	Tatoeba	v2021-03-10	262	302363	1	.38	0
ELRC_416	v1	Tatoeba	v2020-11-09	262	299698	1	.38	0
ELRC_416	v1	Tatoeba	v2020-05-31	262	294740	1	.38	0
ELRC_416	v1	Tatoeba	v20190709	262	289207	1	.38	0
ELRC_416	v1	Tatoeba	v2	262	142996	1	.38	0
ELRC_416	v1	ELRC-1089-German_Foreign_Offic	v1	262	24725	1	.38	0
ELRC_416	v1	ELRC-621-Federal_Constitution	v1	262	3971	1	.38	.02
ELRC_416	v1	CCMatrix	v1	262	245958729	0	0	0
ELRC_416	v1	EuroPat	v3	262	19734743	0	0	0
ELRC_416	v1	EuroPat	v2	262	15571045	0	0	0
ELRC_416	v1	EuroPat	v1	262	12614161	0	0	0
ELRC_416	v1	WikiMatrix	v1	262	1573421	0	0	0
ELRC_416	v1	ELRC-5067-SciPar	v1	262	890185	0	0	0
ELRC_416	v1	Tanzil	v1	262	516835	0	0	0
ELRC_416	v1	TED2020	v1	262	289362	0	0	0
ELRC_416	v1	News-Commentary	v16	262	285720	0	0	0
ELRC_416	v1	News-Commentary	v14	262	285704	0	0	0
ELRC_416	v1	News-Commentary	v11	262	222749	0	0	0
ELRC_416	v1	News-Commentary	v9.0	262	200304	0	0	0
ELRC_416	v1	News-Commentary	v9.1	262	200304	0	0	0
ELRC_416	v1	NeuLab-TedTalks	v1	262	182085	0	0	0
ELRC_416	v1	ELRC-1121-CORDIS_Results_Brief	v1	262	182066	0	0	0
ELRC_416	v1	ELRC-CORDIS_Results	v1	262	182066	0	0	0
ELRC_416	v1	TED2013	v1.1	262	142758	0	0	0
ELRC_416	v1	ELRC-1117-CORDIS_News	v1	262	111275	0	0	0
ELRC_416	v1	ELRC-CORDIS_News	v1	262	111275	0	0	0
ELRC_416	v1	wikimedia	v20210402	262	103209	0	0	0
ELRC_416	v1	GlobalVoices	v2017q3	262	65711	0	0	0
ELRC_416	v1	bible-uedin	v1	262	61579	0	0	0
ELRC_416	v1	GlobalVoices	v2015	262	56630	0	0	0
ELRC_416	v1	ELRC-642-Federal_Foreign_Berl	v1	262	53842	0	0	0
ELRC_416	v1	Books	v1	262	51106	0	0	0
ELRC_416	v1	ELRC-1092-EUIPO_list	v1	262	30484	0	0	0
ELRC_416	v1	ELRC-EUIPO_list	v1	262	30484	0	0	0
ELRC_416	v1	ELRA-W0143	v1	262	30483	0	0	0
ELRC_416	v1	ELRC-3565-EUR_LEX_covid	v1	262	23300	0	0	0
ELRC_416	v1	ELRC-EUR_LEX	v1	262	23300	0	0	0
ELRC_416	v1	ELRC-1090-German_Foreign_Offic	v1	262	20549	0	0	0
ELRC_416	v1	MPC1	v1	262	16703	0	0	0
ELRC_416	v1	ELRC-774-Presidency	v1	262	16475	0	0	0
ELRC_416	v1	ELRC-2875-EU_publications_medi	v1	262	13280	0	0	0
ELRC_416	v1	ELRC-EU_publications	v1	262	13280	0	0	0
ELRC_416	v1	ELRC-1088-German_Foreign_Offic	v1	262	12554	0	0	0
ELRC_416	v1	PHP	v1	262	12281	0	0	0
ELRC_416	v1	ELRC-630-BMVI_Publications	v1	262	11541	0	0	0
ELRC_416	v1	ELRC-1086-Information_Portal_G	v1	262	11281	0	0	0
ELRC_416	v1	ELRC-Information_Portal	v1	262	11281	0	0	0
ELRC_416	v1	ELRC-3606-presscorner_covid	v1	262	10233	0	0	0
ELRC_416	v1	ELRC-presscorner_covid	v1	262	10233	0	0	0
ELRC_416	v1	ELRC-634-BMI_Brochures_2011	v1	262	8395	0	0	0
ELRC_416	v1	ELRC_3382	v1	262	6228	0	0	0
ELRC_416	v1	ELRC-637-SIP	v1	262	5687	0	0	0
ELRC_416	v1	ELRC-775-by_Presidency_Counci	v1	262	4479	0	0	0
ELRC_416	v1	ELRC-631-BMVI_Website	v1	262	2718	0	0	0
ELRC_416	v1	ELRC-1240-Austrian_Research_Te	v1	262	2709	0	0	0
ELRC_416	v1	ELRC-3464-EC_EUROPA_covid	v1	262	2555	0	0	0
ELRC_416	v1	ELRC-EC_EUROPA	v1	262	2555	0	0	0
ELRC_416	v1	ELRC-2638-monumentos_2007	v1	262	2474	0	0	0
ELRC_416	v1	ECDC	v2016-03-16	262	2461	0	0	0
ELRC_416	v1	ELRC-1243-Vienna_Environmental	v1	262	2222	0	0	0
ELRC_416	v1	ELRC-3063-wikipedia_health	v1	262	2098	0	0	0
ELRC_416	v1	ELRC-wikipedia_health	v1	262	2098	0	0	0
ELRC_416	v1	ELRC_2922	v1	262	2097	0	0	0
ELRC_416	v1	ELRC-4992-Customer_Support_MT	v1	262	1365	0	0	0
ELRC_416	v1	ELRC-2614-Localidades_2007	v1	262	1355	0	0	0
