corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
EiTB-ParCC	v1	CCMatrix	v1	632391	859439207	29635	4.68	0
EiTB-ParCC	v1	NLLB	v1	632391	857517045	24138	3.81	0
EiTB-ParCC	v1	MultiParaCrawl	v9	632391	226869093	13476	2.13	0
EiTB-ParCC	v1	MultiParaCrawl	v9b	632391	226869093	13476	2.13	0
EiTB-ParCC	v1	ParaCrawl	v9	632391	226869093	13476	2.13	0
EiTB-ParCC	v1	MultiParaCrawl	v8	632391	264377956	11619	1.83	0
EiTB-ParCC	v1	ParaCrawl	v8	632391	264377956	11619	1.83	0
EiTB-ParCC	v1	MultiCCAligned	v1.1	632391	87772506	7369	1.16	0
EiTB-ParCC	v1	MultiCCAligned	v1	632391	87772506	7369	1.16	0
EiTB-ParCC	v1	CCAligned	v1	632391	87772466	7369	1.16	0
EiTB-ParCC	v1	MultiParaCrawl	v7.1	632391	80856973	6498	1.02	0
EiTB-ParCC	v1	ParaCrawl	v7.1	632391	80856973	6498	1.02	0
EiTB-ParCC	v1	ParaCrawl	v1	632391	16428932	3803	.60	.02
EiTB-ParCC	v1	XLEnt	v1.1	632391	7570294	3764	.59	.04
EiTB-ParCC	v1	XLEnt	v1.2	632391	7570294	3764	.59	.04
EiTB-ParCC	v1	XLEnt	v1	632391	7570294	3764	.59	.04
EiTB-ParCC	v1	LinguaTools-WikiTitles	v2014	632391	2395569	3695	.58	.15
EiTB-ParCC	v1	OpenSubtitles	v2018	632391	73554496	3289	.52	0
EiTB-ParCC	v1	OpenSubtitles	v2016	632391	62803566	3125	.49	0
EiTB-ParCC	v1	WikiTitles	v3	632391	812938	2643	.41	.32
EiTB-ParCC	v1	OpenSubtitles	v2012	632391	33156044	2581	.40	0
EiTB-ParCC	v1	UNPC	v1.0	632391	21391207	2557	.40	.01
EiTB-ParCC	v1	ELRC-4140-NTEU_TierA	v1	632391	11705042	2273	.35	.01
EiTB-ParCC	v1	OpenSubtitles	v2013	632391	22632732	2213	.34	0
EiTB-ParCC	v1	ELRC-4168-NTEU_TierA	v1	632391	8832028	2174	.34	.02
EiTB-ParCC	v1	MultiParaCrawl	v5	632391	38478003	2107	.33	0
EiTB-ParCC	v1	ParaCrawl	v5	632391	38478003	2107	.33	0
EiTB-ParCC	v1	ELRC-4153-NTEU_TierA	v1	632391	9300988	2114	.33	.02
EiTB-ParCC	v1	ParaCrawl	v4	632391	23511028	2051	.32	0
EiTB-ParCC	v1	Elhuyar	v1	632391	584148	1963	.31	.33
EiTB-ParCC	v1	ELRC-4158-NTEU_TierA	v1	632391	5936845	1922	.30	.03
