corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Europarl	v7	Europarl	v8	2110175	2110316	2074529	98.31	98.30
Europarl	v7	StanfordNLP-NMT	v1.0	2110175	4760969	1745614	82.72	36.66
Europarl	v7	ELRC-4217-NTEU_TierA	v1	2110175	13590557	1736872	82.30	12.77
Europarl	v7	ELRC-4258-NTEU_TierA	v1	2110175	10898481	1688019	79.99	15.48
Europarl	v7	ELRC-4244-NTEU_TierA	v1	2110175	11895609	1615531	76.55	13.58
Europarl	v7	Europarl	v3	2110175	1443745	1383354	65.55	95.81
Europarl	v7	ELRC-4171-NTEU_TierA	v1	2110175	6156952	400946	19.00	6.51
Europarl	v7	ELRC-4240-NTEU_TierA	v1	2110175	6832723	397873	18.85	5.82
Europarl	v7	ELRC-4149-NTEU_TierA	v1	2110175	6376442	397760	18.84	6.23
Europarl	v7	ELRC-4189-NTEU_TierA	v1	2110175	6722009	394694	18.70	5.87
Europarl	v7	EUbookshop	v2	2110175	13496826	258642	12.25	1.91
Europarl	v7	CCMatrix	v1	2110175	533454428	60522	2.86	.01
Europarl	v7	NLLB	v1	2110175	533037982	60487	2.86	.01
Europarl	v7	MultiParaCrawl	v9	2110175	220525299	35270	1.67	.01
Europarl	v7	MultiParaCrawl	v9b	2110175	220525299	35270	1.67	.01
Europarl	v7	ParaCrawl	v9	2110175	220525299	35270	1.67	.01
Europarl	v7	MultiParaCrawl	v8	2110175	181982536	20580	.97	.01
Europarl	v7	ParaCrawl	v8	2110175	181982536	20580	.97	.01
Europarl	v7	OpenSubtitles	v2018	2110175	21077886	8653	.41	.04
Europarl	v7	OpenSubtitles	v2016	2110175	13567334	7501	.35	.05
Europarl	v7	MultiParaCrawl	v7.1	2110175	79923441	7236	.34	0
Europarl	v7	ParaCrawl	v7.1	2110175	79923441	7236	.34	0
Europarl	v7	MultiCCAligned	v1.1	2110175	94632804	5948	.28	0
Europarl	v7	MultiCCAligned	v1	2110175	94632804	5948	.28	0
Europarl	v7	CCAligned	v1	2110175	94632717	5948	.28	0
Europarl	v7	ParaCrawl	v1	2110175	30276960	5167	.24	.01
Europarl	v7	OpenSubtitles	v2012	2110175	4839468	4974	.23	.10
Europarl	v7	OpenSubtitles	v2013	2110175	4062476	5026	.23	.12
Europarl	v7	MultiParaCrawl	v5	2110175	38590372	4739	.22	.01
Europarl	v7	ParaCrawl	v5	2110175	38590372	4739	.22	.01
Europarl	v7	TildeMODEL	v2018	2110175	5010796	4131	.19	.08
Europarl	v7	ParaCrawl	v4	2110175	18478509	3970	.18	.02
Europarl	v7	Tatoeba	v2023-04-12	2110175	633752	2405	.11	.37
Europarl	v7	Tatoeba	v2022-03-03	2110175	602598	2343	.11	.38
Europarl	v7	Tatoeba	v2021-03-10	2110175	556513	2228	.10	.40
Europarl	v7	Tatoeba	v2020-11-09	2110175	545109	2198	.10	.40
Europarl	v7	Tatoeba	v2021-07-22	2110175	531354	2142	.10	.40
Europarl	v7	Tatoeba	v2020-05-31	2110175	523123	2148	.10	.41
Europarl	v7	QED	v2.0a	2110175	683382	1970	.09	.28
Europarl	v7	Tatoeba	v20190709	2110175	484163	2047	.09	.42
Europarl	v7	Tatoeba	v2	2110175	257356	1346	.06	.52
Europarl	v7	OpenSubtitles	v1	2110175	241224	1336	.06	.55
Europarl	v7	TED2020	v1	2110175	329113	1217	.05	.36
Europarl	v7	WikiMatrix	v1	2110175	23733186	961	.04	0
Europarl	v7	NeuLab-TedTalks	v1	2110175	211148	895	.04	.42
Europarl	v7	ELRC-4198-NTEU_TierA	v1	2110175	1697490	554	.02	.03
Europarl	v7	News-Commentary	v16	2110175	438338	626	.02	.14
Europarl	v7	News-Commentary	v14	2110175	373709	559	.02	.14
Europarl	v7	News-Commentary	v11	2110175	269005	463	.02	.17
Europarl	v7	TED2013	v1.1	2110175	142420	435	.02	.30
Europarl	v7	XLEnt	v1.1	2110175	3351823	265	.01	0
Europarl	v7	XLEnt	v1	2110175	3351823	265	.01	0
Europarl	v7	XLEnt	v1.2	2110175	3351823	265	.01	0
Europarl	v7	LinguaTools-WikiTitles	v2014	2110175	2438842	388	.01	.01
Europarl	v7	JRC-Acquis	v3.0	2110175	1976740	413	.01	.02
Europarl	v7	DGT	v4	2110175	1830013	350	.01	.01
Europarl	v7	WikiTitles	v3	2110175	1349243	260	.01	.01
Europarl	v7	News-Commentary	v9.0	2110175	273039	375	.01	.13
Europarl	v7	News-Commentary	v9.1	2110175	273039	375	.01	.13
