corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Europarl	v7	Europarl	v8	1919709	1920092	1919706	99.99	99.97
Europarl	v7	ELRC-4239-NTEU_TierA	v1	1919709	12577938	1682164	87.62	13.37
Europarl	v7	Europarl	v3	1919709	1233965	986644	51.39	79.95
Europarl	v7	EUbookshop	v2	1919709	1828277	69971	3.64	3.82
Europarl	v7	ParaCrawl	v9	1919709	31315288	10238	.53	.03
Europarl	v7	CCMatrix	v1	1919709	35804134	9122	.47	.02
Europarl	v7	NLLB	v1	1919709	35803625	9122	.47	.02
Europarl	v7	ParaCrawl	v8	1919709	15301964	7658	.39	.05
Europarl	v7	OpenSubtitles	v2018	1919709	23382097	1841	.09	0
Europarl	v7	OpenSubtitles	v2016	1919709	16640273	1641	.08	0
Europarl	v7	TildeMODEL	v2018	1919709	3022117	477	.02	.01
Europarl	v7	MultiCCAligned	v1	1919709	9646186	239	.01	0
Europarl	v7	CCAligned	v1	1919709	9646025	239	.01	0
Europarl	v7	MultiParaCrawl	v7.1	1919709	7268809	381	.01	0
Europarl	v7	ParaCrawl	v7.1	1919709	7268808	381	.01	0
Europarl	v7	DGT	v2019	1919709	3624390	192	.01	0
Europarl	v7	ParaCrawl	v1	1919709	618374	314	.01	.05
Europarl	v7	LinguaTools-WikiTitles	v2014	1919709	4873168	174	0	0
Europarl	v7	ParaCrawl	v5	1919709	3076136	60	0	0
Europarl	v7	XLEnt	v1.1	1919709	2501315	133	0	0
Europarl	v7	XLEnt	v1	1919709	2501315	133	0	0
Europarl	v7	XLEnt	v1.2	1919709	2501315	133	0	0
Europarl	v7	ParaCrawl	v4	1919709	2142942	37	0	0
Europarl	v7	DGT	v4	1919709	1951585	183	0	0
Europarl	v7	ELRC-2708-EMEA	v1	1919709	746684	18	0	0
Europarl	v7	ELRC-EMEA	v1	1919709	746684	18	0	0
Europarl	v7	ELRC-5067-SciPar	v1	1919709	457342	4	0	0
Europarl	v7	WikiMatrix	v1	1919709	375724	23	0	0
Europarl	v7	EMEA	v3	1919709	352115	62	0	.01
Europarl	v7	ELITR-ECA	v1	1919709	321871	66	0	.02
Europarl	v7	ECB	v1	1919709	157318	22	0	.01
Europarl	v7	OpenSubtitles	v1	1919709	103215	173	0	.16
Europarl	v7	KDE4	v2	1919709	97623	73	0	.07
Europarl	v7	QED	v2.0a	1919709	96483	164	0	.16
Europarl	v7	Tatoeba	v2023-04-12	1919709	81642	152	0	.18
Europarl	v7	Tatoeba	v2022-03-03	1919709	81194	152	0	.18
Europarl	v7	Tatoeba	v2021-07-22	1919709	80545	151	0	.18
Europarl	v7	Tatoeba	v2021-03-10	1919709	80040	151	0	.18
Europarl	v7	Tatoeba	v2020-11-09	1919709	79854	151	0	.18
Europarl	v7	Tatoeba	v2020-05-31	1919709	79685	151	0	.18
Europarl	v7	Tatoeba	v20190709	1919709	78808	151	0	.19
Europarl	v7	bible-uedin	v1	1919709	61310	0	0	0
Europarl	v7	ELRC-724-Hallituskausi_2007_2	v1	1919709	53844	11	0	.02
Europarl	v7	ELRA-W0220	v1	1919709	53843	11	0	.02
Europarl	v7	ELRC-1769-valtioneuvosto.fi	v1	1919709	49316	43	0	.08
