corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Europarl	v8	StanfordNLP-NMT	v1.0	628484	11065607	627199	99.79	5.66
Europarl	v8	ParaCrawl	v9	628484	50632491	11241	1.78	.02
Europarl	v8	CCMatrix	v1	628484	55956324	7455	1.18	.01
Europarl	v8	OpenSubtitles	v2018	628484	33781924	1266	.20	0
Europarl	v8	QED	v2.0a	628484	422723	195	.03	.04
Europarl	v8	CCAligned	v1	628484	12660340	141	.02	0
Europarl	v8	OpenSubtitles	v1	628484	343652	181	.02	.05
Europarl	v8	JRC-Acquis	v3.0	628484	816159	86	.01	.01
Europarl	v8	News-Commentary	v14	628484	212212	117	.01	.05
Europarl	v8	News-Commentary	v16	628484	212206	113	.01	.05
Europarl	v8	News-Commentary	v11	628484	177020	110	.01	.06
Europarl	v8	TED2020	v1	628484	166657	102	.01	.06
Europarl	v8	News-Commentary	v9.0	628484	145950	100	.01	.06
Europarl	v8	News-Commentary	v9.1	628484	145950	100	.01	.06
Europarl	v8	NeuLab-TedTalks	v1	628484	108494	79	.01	.07
Europarl	v8	LinguaTools-WikiTitles	v2014	628484	4637372	29	0	0
Europarl	v8	XLEnt	v1.1	628484	3667457	22	0	0
Europarl	v8	XLEnt	v1.2	628484	3667457	22	0	0
Europarl	v8	XLEnt	v1	628484	3667457	22	0	0
Europarl	v8	DGT	v2019	628484	3659771	49	0	0
Europarl	v8	ELRC-5067-SciPar	v1	628484	1064385	4	0	0
Europarl	v8	ELRC-2713-EMEA	v1	628484	771908	10	0	0
Europarl	v8	ELRC-EMEA	v1	628484	771908	10	0	0
Europarl	v8	ELRC_2682	v1	628484	771907	10	0	0
Europarl	v8	WikiMatrix	v1	628484	519193	18	0	0
Europarl	v8	WikiTitles	v3	628484	382830	25	0	0
Europarl	v8	EUbookshop	v2	628484	381430	21	0	0
Europarl	v8	EMEA	v3	628484	331060	52	0	.01
Europarl	v8	ELITR-ECA	v1	628484	255266	60	0	.02
Europarl	v8	Tanzil	v1	628484	228637	0	0	0
Europarl	v8	KDE4	v2	628484	112389	34	0	.03
Europarl	v8	wikimedia	v20210402	628484	96741	1	0	0
Europarl	v8	ECB	v1	628484	63677	2	0	0
Europarl	v8	bible-uedin	v1	628484	61625	0	0	0
Europarl	v8	WMT-News	v2019	628484	33161	10	0	.03
Europarl	v8	Tatoeba	v2022-03-03	628484	31506	13	0	.04
Europarl	v8	Tatoeba	v2021-07-22	628484	30011	13	0	.04
Europarl	v8	Tatoeba	v2021-03-10	628484	28263	13	0	.04
Europarl	v8	Tatoeba	v2020-11-09	628484	26186	13	0	.04
Europarl	v8	Wikipedia	v1.0	628484	25363	29	0	.11
Europarl	v8	Tatoeba	v2020-05-31	628484	23217	13	0	.05
Europarl	v8	ELRC-3564-EUR_LEX_covid	v1	628484	22630	1	0	0
Europarl	v8	ELRC-EUR_LEX	v1	628484	22630	1	0	0
Europarl	v8	WMT-News	v2014	628484	19556	7	0	.03
Europarl	v8	GlobalVoices	v2018q4	628484	18085	23	0	.12
Europarl	v8	Tatoeba	v20190709	628484	17891	13	0	.07
Europarl	v8	GlobalVoices	v2017q3	628484	16647	22	0	.13
Europarl	v8	ELRC-2012-EUIPO_2017	v1	628484	15945	2	0	.01
Europarl	v8	ELRC-EUIPO_2017	v1	628484	15945	2	0	.01
Europarl	v8	GlobalVoices	v2015	628484	13911	19	0	.13
Europarl	v8	ELRC-2874-EU_publications_medi	v1	628484	13148	2	0	.01
Europarl	v8	ELRC-EU_publications	v1	628484	13148	2	0	.01
Europarl	v8	ELRC-427-Electronic_Exchange_	v1	628484	10075	23	0	.22
Europarl	v8	EUconst	v1	628484	6711	54	0	.80
Europarl	v8	Ubuntu	v14.10	628484	6474	0	0	0
Europarl	v8	ELRC-3605-presscorner_covid	v1	628484	6225	2	0	.03
Europarl	v8	ELRC-presscorner_covid	v1	628484	6225	2	0	.03
Europarl	v8	PHP	v1	628484	5828	6	0	.10
Europarl	v8	ELRC-2406-Czech_Supreme_Audit	v1	628484	4771	0	0	0
Europarl	v8	ELRC_3382	v1	628484	3720	2	0	.05
Europarl	v8	TildeMODEL	v2018	628484	3100	0	0	0
Europarl	v8	ELRC-2405-Czech_Supreme_Audit	v1	628484	2868	0	0	0
Europarl	v8	ECDC	v2016-03-16	628484	2475	1	0	.04
Europarl	v8	ELRC-3463-EC_EUROPA_covid	v1	628484	2386	4	0	.16
Europarl	v8	ELRC-EC_EUROPA	v1	628484	2386	4	0	.16
Europarl	v8	ELRC-40-Information_Portal_C	v1	628484	1828	1	0	.05
Europarl	v8	ELRC-Information_Portal	v1	628484	1828	1	0	.05
