ELRC-4239-NTEU_TierA	v1	12000033	1836769/2099912	87.46
ELRC-4166-NTEU_TierA	v1	9385448	1836304/2099912	87.44
ELRC-4272-NTEU_TierA	v1	8927012	1805278/2099912	85.96
ELRC-4147-NTEU_TierA	v1	9003388	1803984/2099912	85.90
ELRC-4275-NTEU_TierA	v1	8881307	1783216/2099912	84.91
ELRC-4168-NTEU_TierA	v1	8893468	1782754/2099912	84.89
ELRC-4196-NTEU_TierA	v1	8845645	1780056/2099912	84.76
ELRC-4258-NTEU_TierA	v1	10876529	1743683/2099912	83.03
ELRC-4249-NTEU_TierA	v1	10549680	1732534/2099912	82.50
ELRC-4259-NTEU_TierA	v1	7936890	1119739/2099912	53.32
ELRC-4141-NTEU_TierA	v1	5195405	452570/2099912	21.55
ELRC-4252-NTEU_TierA	v1	5204694	448366/2099912	21.35
ELRC-4267-NTEU_TierA	v1	5194297	448147/2099912	21.34
ELRC-4134-NTEU_TierA	v1	5091076	446271/2099912	21.25
ELRC-4179-NTEU_TierA	v1	5132906	444718/2099912	21.17
ELRC-4156-NTEU_TierA	v1	5176540	443211/2099912	21.10
ELRC-4221-NTEU_TierA	v1	5164055	441053/2099912	21.00
ELRC-4187-NTEU_TierA	v1	5170398	439335/2099912	20.92
ELRC-4287-NTEU_TierA	v1	3638039	222091/2099912	10.57
ELRC-4261-NTEU_TierA	v1	3891187	221620/2099912	10.55
EUbookshop	v2	2792450	183911/2099912	8.75
CCMatrix	v1	90246740	91235/2099912	4.34
MultiParaCrawl	v9	23583749	16535/2099912	.78
MultiParaCrawl	v9b	23583749	16535/2099912	.78
ParaCrawl	v9	23583749	16535/2099912	.78
MultiParaCrawl	v8	12121417	12539/2099912	.59
OpenSubtitles	v2018	24825704	8348/2099912	.39
ELRC-4263-NTEU_TierA	v1	3696037	4495/2099912	.21
fiskmo	v2	1454469	3299/2099912	.15
CCAligned	v1	9512180	1628/2099912	.07
MultiCCAligned	v1.1	9512193	1628/2099912	.07
TildeMODEL	v2018	3143956	1605/2099912	.07
OpenSubtitles	v1	412095	1555/2099912	.07
QED	v2.0a	144628	837/2099912	.03
Tatoeba	v2022-03-03	141360	827/2099912	.03
Tatoeba	v2021-03-10	125553	785/2099912	.03
Tatoeba	v2020-11-09	119686	765/2099912	.03
Tatoeba	v2020-05-31	116154	748/2099912	.03
Tatoeba	v2021-07-22	122938	746/2099912	.03
Tatoeba	v20190709	99159	666/2099912	.03
TED2020	v1	49500	359/2099912	.01
ELRC-4150-NTEU_TierA	v1	1345552	358/2099912	.01
ELRC-1769-valtioneuvosto.fi	v1	48802	309/2099912	.01
ELRC-valtioneuvosto.fi	v1	48802	309/2099912	.01
Finlex	v2018	2112806	309/2099912	.01
ELRC-4167-NTEU_TierA	v1	261959	304/2099912	.01
JRC-Acquis	v3.0	710235	272/2099912	.01
XLEnt	v1.1	2221273	270/2099912	.01
XLEnt	v1	2221273	270/2099912	.01
WikiMatrix	v1	5716013	193/2099912	0
Tatoeba	v2	21591	178/2099912	0
Mozilla-I10n	v1	37271	127/2099912	0
KDE4	v2	79803	112/2099912	0
ELRC-5179-acts_Ukrainian	v1	124370	102/2099912	0
EMEA	v3	337200	90/2099912	0
EUconst	v1	6593	74/2099912	0
ELRC-2708-EMEA	v1	709934	61/2099912	0
ELRC-EMEA	v1	709935	61/2099912	0
ELITR-ECA	v1	6013	59/2099912	0
wikimedia	v20210402	63896	39/2099912	0
ELRC-1771-vnk.fi	v1	31358	37/2099912	0
ELRC-vnk.fi	v1	31358	37/2099912	0
MPC1	v1	7537	31/2099912	0
ELRA-W0221	v1	31319	30/2099912	0
ELRC-725-Hallituskausi_2011_2	v1	31319	30/2099912	0
ELRC-735-www.norden.org	v1	42411	29/2099912	0
ELRC-www.norden.org	v1	42411	29/2099912	0
ECB	v1	315946	27/2099912	0
ELRA-W0220	v1	55335	27/2099912	0
ELRC-724-Hallituskausi_2007_2	v1	55335	27/2099912	0
infopankki	v1	21292	25/2099912	0
ELRC-2017-EUIPO_2017	v1	16753	17/2099912	0
ELRC-2869-EU_publications_medi	v1	12883	17/2099912	0
ELRC-EUIPO_2017	v1	16753	17/2099912	0
ELRC-EU_publications	v1	12883	17/2099912	0
ELRC-2032-www.turku.fi	v1	17191	16/2099912	0
ELRC-www.turku.fi	v1	17191	16/2099912	0
ELRC-416-Swedish_Social_Secur	v1	570	14/2099912	0
ELRC_416	v1	570	14/2099912	0
wikimedia	v20190628	9515	14/2099912	0
ELRC-3600-presscorner_covid	v1	6733	12/2099912	0
ELRC-presscorner_covid	v1	6733	12/2099912	0
ELRC-2036-www.vero.fi	v1	20791	11/2099912	0
ELRC-www.vero.fi	v1	20791	11/2099912	0
ELRA-W0217	v1	9680	10/2099912	0
ELRC-716-Finnish_Information_	v1	9680	10/2099912	0
ELRC-Finnish_Information	v1	9680	10/2099912	0
ELRC-5067-SciPar	v1	457701	9/2099912	0
ELRC-1127-www.vtv.fi	v1	41000	7/2099912	0
ELRC-www.vtv.fi	v1	41000	7/2099912	0
bible-uedin	v1	37627	6/2099912	0
ELRC_3382	v1	3353	5/2099912	0
ELRC-3458-EC_EUROPA_covid	v1	2532	5/2099912	0
ELRC-EC_EUROPA	v1	2532	5/2099912	0
Books	v1	3727	4/2099912	0
ELRC-1128-www.visitestonia.com	v1	14492	3/2099912	0
ELRC-3559-EUR_LEX_covid	v1	21550	3/2099912	0
ELRC-EUR_LEX	v1	21550	3/2099912	0
ELRC-www.visitestonia.com	v1	14492	3/2099912	0
ELRC-3196-antibiotic	v1	854	2/2099912	0
ELRC-3287-EUROPARL_covid	v1	662	2/2099912	0
ELRC-antibiotic	v1	854	2/2099912	0
ELRC-EUROPARL_covid	v1	662	2/2099912	0
DGT	v2019	950	1/2099912	0
ELRC_2923	v1	388	1/2099912	0
WMT-News	v2019	1370	1/2099912	0
ELRA-W0305	v1	19	0/2099912	0
ELRC-2739-vaccination	v1	457	0/2099912	0
ELRC_2922	v1	333	0/2099912	0
ELRC-3045-wikipedia_health	v1	333	0/2099912	0
ELRC-401-Swedish_Labour_Part2	v1	178	0/2099912	0
ELRC-406-Swedish_Labour_Part1	v1	44	0/2099912	0
ELRC-417-Swedish_Work_Environ	v1	186	0/2099912	0
ELRC-436-Swedish_Food	v1	19	0/2099912	0
ELRC-4995-Finnish_Financial_MT	v1	998	0/2099912	0
ELRC-Swedish_Labour	v1	222	0/2099912	0
ELRC-vaccination	v1	457	0/2099912	0
ELRC-wikipedia_health	v1	333	0/2099912	0
GNOME	v1	48	0/2099912	0
PHP	v1	0	0/2099912	0
Ubuntu	v14.10	45	0/2099912	0
