corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GNOME	v1	KDE4	v2	149	165984	35	23.48	.02
GNOME	v1	ELRC-4248-NTEU_TierA	v1	149	13598397	26	17.44	0
GNOME	v1	DGT	v2019	149	3567131	18	12.08	0
GNOME	v1	XLEnt	v1.1	149	2832109	11	7.38	0
GNOME	v1	XLEnt	v1	149	2832109	11	7.38	0
GNOME	v1	XLEnt	v1.2	149	2832109	11	7.38	0
GNOME	v1	CCAligned	v1	149	10687146	9	6.04	0
GNOME	v1	LinguaTools-WikiTitles	v2014	149	2968008	9	6.04	0
GNOME	v1	ELRC-2716-EMEA	v1	149	767928	5	3.35	0
GNOME	v1	ELRC-EMEA	v1	149	767928	5	3.35	0
GNOME	v1	ELRC_2682	v1	149	767927	5	3.35	0
GNOME	v1	EUbookshop	v2	149	4495240	4	2.68	0
GNOME	v1	ELRC-850-www.dst.dk	v1	149	22814	3	2.01	.01
GNOME	v1	OpenSubtitles	v2018	149	12095471	2	1.34	0
GNOME	v1	ECB	v1	149	137975	2	1.34	0
GNOME	v1	wikimedia	v20210402	149	40624	2	1.34	0
GNOME	v1	ELRC-848-laegemiddelstyrelsen	v1	149	22502	2	1.34	0
GNOME	v1	ELRC-2013-EUIPO_2017	v1	149	17269	2	1.34	.01
GNOME	v1	ELRC-EUIPO_2017	v1	149	17269	2	1.34	.01
GNOME	v1	ELRC-904-uk.fm.dk	v1	149	6940	2	1.34	.02
GNOME	v1	Ubuntu	v14.10	149	6136	2	1.34	.03
GNOME	v1	ELRC-905-spillemyndigheden.dk	v1	149	3355	2	1.34	.05
GNOME	v1	EMEA	v3	149	355116	1	.67	0
GNOME	v1	ELRC-730-www.norden.org	v1	149	36624	1	.67	0
GNOME	v1	ELRC-www.norden.org	v1	149	36624	1	.67	0
GNOME	v1	ELRC-1062-rigsrevisionen.dk	v1	149	8234	1	.67	.01
GNOME	v1	TildeMODEL	v2018	149	4411	1	.67	.02
GNOME	v1	CCMatrix	v1	149	51996397	0	0	0
GNOME	v1	ParaCrawl	v9	149	34207153	0	0	0
GNOME	v1	Europarl	v8	149	1949878	0	0	0
GNOME	v1	JRC-Acquis	v3.0	149	502171	0	0	0
GNOME	v1	WikiMatrix	v1	149	436050	0	0	0
GNOME	v1	QED	v2.0a	149	165595	0	0	0
GNOME	v1	ELITR-ECA	v1	149	117419	0	0	0
GNOME	v1	TED2020	v1	149	70497	0	0	0
GNOME	v1	bible-uedin	v1	149	61447	0	0	0
GNOME	v1	NeuLab-TedTalks	v1	149	47296	0	0	0
GNOME	v1	ELRC-847-mst.dk	v1	149	36733	0	0	0
GNOME	v1	Tatoeba	v2022-03-03	149	31862	0	0	0
GNOME	v1	Tatoeba	v2021-07-22	149	30835	0	0	0
GNOME	v1	Tatoeba	v2021-03-10	149	30475	0	0	0
GNOME	v1	Tatoeba	v2020-11-09	149	30038	0	0	0
GNOME	v1	Tatoeba	v2020-05-31	149	29626	0	0	0
GNOME	v1	Tatoeba	v20190709	149	27912	0	0	0
GNOME	v1	OpenSubtitles	v1	149	23525	0	0	0
GNOME	v1	ELRC-3567-EUR_LEX_covid	v1	149	21233	0	0	0
GNOME	v1	ELRC-EUR_LEX	v1	149	21233	0	0	0
GNOME	v1	ELRA-W0214	v1	149	16241	0	0	0
GNOME	v1	ELRC-2877-EU_publications_medi	v1	149	13221	0	0	0
GNOME	v1	ELRC-EU_publications	v1	149	13221	0	0	0
GNOME	v1	ELRC-851-www.vikingeskibsmuse	v1	149	12395	0	0	0
GNOME	v1	ELRC-849-ufm.dk	v1	149	10052	0	0	0
GNOME	v1	Tatoeba	v2	149	8658	0	0	0
GNOME	v1	GlobalVoices	v2018q4	149	6970	0	0	0
GNOME	v1	GlobalVoices	v2017q3	149	6859	0	0	0
GNOME	v1	EUconst	v1	149	6685	0	0	0
GNOME	v1	GlobalVoices	v2015	149	6586	0	0	0
GNOME	v1	ELRC-3608-presscorner_covid	v1	149	6254	0	0	0
GNOME	v1	ELRC-presscorner_covid	v1	149	6254	0	0	0
GNOME	v1	ELRC-892-slks.dk	v1	149	4956	0	0	0
GNOME	v1	ELRC-885-www.aarhus2017.dk	v1	149	4708	0	0	0
GNOME	v1	ELRC-893-natmus.dk	v1	149	3950	0	0	0
GNOME	v1	ELRC-439-Danish_Higher_Educat	v1	149	3665	0	0	0
GNOME	v1	ELRC_3382	v1	149	3402	0	0	0
GNOME	v1	ELRC-397-Danish_Higher_Educat	v1	149	3392	0	0	0
GNOME	v1	ELRA-W0157	v1	149	3391	0	0	0
GNOME	v1	ELRC-856-naturstyrelsen.dk	v1	149	3118	0	0	0
GNOME	v1	ELRC-394-Danish_Higher_Educat	v1	149	3116	0	0	0
GNOME	v1	ELRC-859-um.dk	v1	149	3055	0	0	0
GNOME	v1	ELRC-857-www.trm.dk	v1	149	3014	0	0	0
GNOME	v1	ELRC-852-www.dma.dk	v1	149	3010	0	0	0
GNOME	v1	ELRC-3466-EC_EUROPA_covid	v1	149	2802	0	0	0
GNOME	v1	ELRC-EC_EUROPA	v1	149	2802	0	0	0
GNOME	v1	ECDC	v2016-03-16	149	2465	0	0	0
GNOME	v1	ELRC-897-Denmark_Space_Instit	v1	149	1940	0	0	0
GNOME	v1	ELRC-899-Danish_FSA	v1	149	1927	0	0	0
GNOME	v1	ELRC-854-www.geus.dk	v1	149	1654	0	0	0
GNOME	v1	ELRC-891-www.visitdenmark.dk	v1	149	1603	0	0	0
GNOME	v1	ELRC-426-Danish_Higher_Educat	v1	149	1546	0	0	0
GNOME	v1	ELRC-895-Royal_Danish_Library	v1	149	1546	0	0	0
GNOME	v1	ELRC-889-www.visitvejle.com	v1	149	1472	0	0	0
GNOME	v1	ELRC-886-www.odense.dk	v1	149	1427	0	0	0
GNOME	v1	ELRC-901-Denmark_Prosecution_	v1	149	1162	0	0	0
GNOME	v1	ELRC-900-Danish_Working_Envir	v1	149	1138	0	0	0
GNOME	v1	ELRC-890-Holstebro_Kunstmuseu	v1	149	1023	0	0	0
GNOME	v1	ELRC-3204-antibiotic	v1	149	800	0	0	0
GNOME	v1	ELRC-antibiotic	v1	149	800	0	0	0
GNOME	v1	ELRC-894-Gallery_Denmark	v1	149	769	0	0	0
GNOME	v1	ELRC-3295-EUROPARL_covid	v1	149	634	0	0	0
GNOME	v1	ELRC-EUROPARL_covid	v1	149	634	0	0	0
GNOME	v1	ELRC-3066-wikipedia_health	v1	149	523	0	0	0
GNOME	v1	ELRC-wikipedia_health	v1	149	523	0	0	0
GNOME	v1	ELRC_2922	v1	149	522	0	0	0
GNOME	v1	ELRC-2754-vaccination	v1	149	461	0	0	0
GNOME	v1	ELRC-vaccination	v1	149	461	0	0	0
