corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GNOME	v1	Ubuntu	v14.10	3931	11215	729	18.54	6.50
GNOME	v1	KDE4	v2	3931	39364	121	3.07	.30
GNOME	v1	CCAligned	v1	3931	559344	40	1.01	0
GNOME	v1	XLEnt	v1.1	3931	730647	28	.71	0
GNOME	v1	XLEnt	v1	3931	730647	28	.71	0
GNOME	v1	wikimedia	v20210402	3931	49201	12	.30	.02
GNOME	v1	OpenSubtitles	v2018	3931	354795	5	.12	0
GNOME	v1	pmindia	v1	3931	33662	1	.02	0
GNOME	v1	Joshua-IPC	v1	3931	28410	1	.02	0
GNOME	v1	CCMatrix	v1	3931	6780561	0	0	0
GNOME	v1	Tanzil	v1	3931	184529	0	0	0
GNOME	v1	WikiMatrix	v1	3931	71509	0	0	0
GNOME	v1	bible-uedin	v1	3931	60767	0	0	0
GNOME	v1	TED2020	v1	3931	5967	0	0	0
GNOME	v1	QED	v2.0a	3931	1016	0	0	0
GNOME	v1	Tatoeba	v2020-11-09	3931	803	0	0	0
GNOME	v1	Tatoeba	v2021-03-10	3931	803	0	0	0
GNOME	v1	Tatoeba	v2021-07-22	3931	803	0	0	0
GNOME	v1	Tatoeba	v2022-03-03	3931	803	0	0	0
GNOME	v1	Tatoeba	v20190709	3931	802	0	0	0
GNOME	v1	Tatoeba	v2020-05-31	3931	802	0	0	0
GNOME	v1	Tatoeba	v2	3931	668	0	0	0
GNOME	v1	ELRC-3072-wikipedia_health	v1	3931	452	0	0	0
GNOME	v1	ELRC-wikipedia_health	v1	3931	452	0	0	0
GNOME	v1	ELRC_2922	v1	3931	451	0	0	0
