corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GNOME	v1	Ubuntu	v14.10	5012	2108	921	18.37	43.69
GNOME	v1	CCAligned	v1	5012	293880	15	.29	0
GNOME	v1	XLEnt	v1.1	5012	57906	15	.29	.02
GNOME	v1	XLEnt	v1	5012	57906	15	.29	.02
GNOME	v1	wikimedia	v20210402	5012	13572	5	.09	.03
GNOME	v1	ParaCrawl	v9	5012	31047	1	.01	0
GNOME	v1	bible-uedin	v1	5012	61322	0	0	0
GNOME	v1	TED2020	v1	5012	61319	0	0	0
GNOME	v1	QED	v2.0a	5012	7516	0	0	0
GNOME	v1	tico-19	v2020-10-28	5012	3070	0	0	0
GNOME	v1	GlobalVoices	v2018q4	5012	2359	0	0	0
GNOME	v1	GlobalVoices	v2017q3	5012	2256	0	0	0
GNOME	v1	GlobalVoices	v2015	5012	1725	0	0	0
GNOME	v1	Tatoeba	v2022-03-03	5012	221	0	0	0
GNOME	v1	Tatoeba	v2020-11-09	5012	217	0	0	0
GNOME	v1	Tatoeba	v2021-03-10	5012	217	0	0	0
GNOME	v1	Tatoeba	v2021-07-22	5012	217	0	0	0
GNOME	v1	Tatoeba	v2020-05-31	5012	216	0	0	0
GNOME	v1	Tatoeba	v20190709	5012	79	0	0	0
