corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GNOME	v1	KDE4	v2	149	51909	16	10.73	.03
GNOME	v1	XLEnt	v1.1	149	1409606	6	4.02	0
GNOME	v1	XLEnt	v1	149	1409606	6	4.02	0
GNOME	v1	XLEnt	v1.2	149	1409606	6	4.02	0
GNOME	v1	CCAligned	v1	149	1986729	5	3.35	0
GNOME	v1	wikimedia	v20210402	149	86696	2	1.34	0
GNOME	v1	Ubuntu	v14.10	149	1852	2	1.34	.10
GNOME	v1	OpenSubtitles	v2018	149	34892472	0	0	0
GNOME	v1	CCMatrix	v1	149	26373997	0	0	0
GNOME	v1	WikiMatrix	v1	149	395569	0	0	0
GNOME	v1	GoURMET	v1	149	326997	0	0	0
GNOME	v1	QED	v2.0a	149	265752	0	0	0
GNOME	v1	TED2020	v1	149	254256	0	0	0
GNOME	v1	SETIMES	v2	149	222803	0	0	0
GNOME	v1	SETIMES	v1	149	163519	0	0	0
GNOME	v1	NeuLab-TedTalks	v1	149	148611	0	0	0
GNOME	v1	bible-uedin	v1	149	61507	0	0	0
GNOME	v1	Tatoeba	v2022-03-03	149	21293	0	0	0
GNOME	v1	Tatoeba	v2021-07-22	149	21292	0	0	0
GNOME	v1	Tatoeba	v2021-03-10	149	21289	0	0	0
GNOME	v1	Tatoeba	v2020-11-09	149	21288	0	0	0
GNOME	v1	GlobalVoices	v2017q3	149	19785	0	0	0
GNOME	v1	GlobalVoices	v2018q4	149	19001	0	0	0
GNOME	v1	GlobalVoices	v2015	149	16916	0	0	0
GNOME	v1	Tatoeba	v2020-05-31	149	13516	0	0	0
GNOME	v1	Tatoeba	v20190709	149	13512	0	0	0
GNOME	v1	TildeMODEL	v2018	149	2024	0	0	0
GNOME	v1	EUbookshop	v2	149	1417	0	0	0
GNOME	v1	ELRC-3041-wikipedia_health	v1	149	744	0	0	0
GNOME	v1	ELRC-wikipedia_health	v1	149	744	0	0	0
GNOME	v1	ELRC_2922	v1	149	743	0	0	0
GNOME	v1	Tatoeba	v2	149	732	0	0	0
GNOME	v1	ELRC-416-Swedish_Social_Secur	v1	149	90	0	0	0
GNOME	v1	ELRC_416	v1	149	89	0	0	0
