corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2015	GlobalVoices	v2018q4	51838	58840	51838	100.00	88.09
GlobalVoices	v2015	GlobalVoices	v2017q3	51838	55313	51838	100.00	93.71
GlobalVoices	v2015	CCMatrix	v1	51838	8977047	19741	38.08	.21
GlobalVoices	v2015	NLLB	v1	51838	8977022	19742	38.08	.21
GlobalVoices	v2015	HPLT	v1	51838	1065687	5479	10.56	.51
GlobalVoices	v2015	MultiHPLT	v1	51838	1065687	5479	10.56	.51
GlobalVoices	v2015	OpenSubtitles	v2018	51838	3350344	460	.88	.01
GlobalVoices	v2015	OpenSubtitles	v2016	51838	2800956	440	.84	.01
GlobalVoices	v2015	OpenSubtitles	v2012	51838	892652	313	.60	.03
GlobalVoices	v2015	OpenSubtitles	v2013	51838	466820	265	.51	.05
GlobalVoices	v2015	CCAligned	v1	51838	1839468	219	.42	.01
GlobalVoices	v2015	MultiCCAligned	v1.1	51838	1839467	219	.42	.01
GlobalVoices	v2015	MultiCCAligned	v1	51838	1839467	219	.42	.01
GlobalVoices	v2015	XLEnt	v1.1	51838	1378463	110	.21	0
GlobalVoices	v2015	XLEnt	v1.2	51838	1378463	110	.21	0
GlobalVoices	v2015	XLEnt	v1	51838	1378463	110	.21	0
GlobalVoices	v2015	QED	v2.0a	51838	74147	100	.19	.13
GlobalVoices	v2015	MaCoCu	v2	51838	380089	80	.15	.02
GlobalVoices	v2015	MultiMaCoCu	v2	51838	380089	80	.15	.02
GlobalVoices	v2015	Tatoeba	v2023-04-12	51838	78516	70	.13	.08
GlobalVoices	v2015	Tatoeba	v2022-03-03	51838	78413	70	.13	.08
GlobalVoices	v2015	Tatoeba	v2021-07-22	51838	78406	70	.13	.08
GlobalVoices	v2015	Tatoeba	v2021-03-10	51838	78403	70	.13	.08
GlobalVoices	v2015	Tatoeba	v2020-11-09	51838	78352	70	.13	.08
GlobalVoices	v2015	TED2020	v1	51838	48481	68	.13	.14
GlobalVoices	v2015	Tatoeba	v2020-05-31	51838	78212	65	.12	.08
GlobalVoices	v2015	Tatoeba	v20190709	51838	78205	65	.12	.08
GlobalVoices	v2015	wikimedia	v20230407	51838	564381	58	.11	.01
GlobalVoices	v2015	wikimedia	v20210402	51838	232656	50	.09	.02
GlobalVoices	v2015	KDE4	v2	51838	46830	42	.08	.08
GlobalVoices	v2015	NeuLab-TedTalks	v1	51838	30488	43	.08	.14
GlobalVoices	v2015	Mozilla-I10n	v1	51838	7887	26	.05	.32
GlobalVoices	v2015	WikiMatrix	v1	51838	1263561	22	.04	0
GlobalVoices	v2015	SETIMES	v2	51838	210945	23	.04	.01
GlobalVoices	v2015	GoURMET	v2	51838	58436	19	.03	.03
GlobalVoices	v2015	wikimedia	v20190628	51838	6746	19	.03	.28
GlobalVoices	v2015	ELRC-5067-SciPar	v1	51838	5306	2	0	.03
GlobalVoices	v2015	EUbookshop	v2	51838	4144	3	0	.07
GlobalVoices	v2015	GNOME	v1	51838	2462	4	0	.16
GlobalVoices	v2015	ELRC_2922	v1	51838	754	0	0	0
GlobalVoices	v2015	ELRC-3050-wikipedia_health	v1	51838	754	0	0	0
GlobalVoices	v2015	ELRC-wikipedia_health	v1	51838	754	0	0	0
GlobalVoices	v2015	Ubuntu	v14.10	51838	24	0	0	0
