corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2015	GlobalVoices	v2017q3	103535	157368	103535	100.00	65.79
GlobalVoices	v2015	GlobalVoices	v2018q4	103535	198961	103534	99.99	52.03
GlobalVoices	v2015	NLLB	v1	103535	405724899	16205	15.65	0
GlobalVoices	v2015	CCMatrix	v1	103535	106963899	2431	2.34	0
GlobalVoices	v2015	CCAligned	v1	103535	71915281	1440	1.39	0
GlobalVoices	v2015	MultiCCAligned	v1	103535	71915162	1440	1.39	0
GlobalVoices	v2015	MultiCCAligned	v1.1	103535	71915162	1440	1.39	0
GlobalVoices	v2015	OpenSubtitles	v2018	103535	25192322	1447	1.39	0
GlobalVoices	v2015	OpenSubtitles	v2016	103535	18815068	1345	1.29	0
GlobalVoices	v2015	OpenSubtitles	v2012	103535	6064128	1048	1.01	.01
GlobalVoices	v2015	OpenSubtitles	v2013	103535	5700632	1029	.99	.01
GlobalVoices	v2015	ParaCrawl	v1	103535	9829537	947	.91	0
GlobalVoices	v2015	MultiParaCrawl	v7.1	103535	5483226	633	.61	.01
GlobalVoices	v2015	MultiParaCrawl	v8	103535	5483226	633	.61	.01
GlobalVoices	v2015	MultiParaCrawl	v9	103535	5483226	633	.61	.01
GlobalVoices	v2015	MultiParaCrawl	v9b	103535	5483226	633	.61	.01
GlobalVoices	v2015	ParaCrawl	v7.1	103535	5483226	633	.61	.01
GlobalVoices	v2015	ParaCrawl	v8	103535	5483226	633	.61	.01
GlobalVoices	v2015	ParaCrawl	v9	103535	5483226	633	.61	.01
GlobalVoices	v2015	QED	v2.0a	103535	841028	544	.52	.06
GlobalVoices	v2015	Tatoeba	v2023-04-12	103535	992599	484	.46	.04
GlobalVoices	v2015	UNPC	v1.0	103535	21199623	473	.45	0
GlobalVoices	v2015	Tatoeba	v2022-03-03	103535	915310	474	.45	.05
GlobalVoices	v2015	Tatoeba	v2021-03-10	103535	848530	458	.44	.05
GlobalVoices	v2015	Tatoeba	v2020-11-09	103535	827173	455	.43	.05
GlobalVoices	v2015	Tatoeba	v2021-07-22	103535	817271	445	.42	.05
GlobalVoices	v2015	Tatoeba	v2020-05-31	103535	780473	443	.42	.05
GlobalVoices	v2015	Tatoeba	v20190709	103535	707235	435	.42	.06
GlobalVoices	v2015	WikiMatrix	v1	103535	17794557	423	.40	0
GlobalVoices	v2015	TED2020	v1	103535	426102	332	.32	.07
GlobalVoices	v2015	wikimedia	v20230407	103535	3471519	317	.30	0
GlobalVoices	v2015	wikimedia	v20210402	103535	2065858	259	.25	.01
GlobalVoices	v2015	ChuBiCo	v1	103535	1000206	260	.25	.02
GlobalVoices	v2015	XLEnt	v1	103535	6517337	251	.24	0
GlobalVoices	v2015	XLEnt	v1.1	103535	6517337	251	.24	0
GlobalVoices	v2015	XLEnt	v1.2	103535	6517337	251	.24	0
GlobalVoices	v2015	NeuLab-TedTalks	v1	103535	253553	256	.24	.10
GlobalVoices	v2015	OpenSubtitles	v1	103535	83429	253	.24	.30
GlobalVoices	v2015	LinguaTools-WikiTitles	v2014	103535	1930959	241	.23	.01
GlobalVoices	v2015	Tatoeba	v2	103535	154640	218	.21	.14
GlobalVoices	v2015	WikiTitles	v3	103535	1034760	198	.19	.01
GlobalVoices	v2015	KDE4	v2	103535	138686	126	.12	.09
GlobalVoices	v2015	Mozilla-I10n	v1	103535	50920	134	.12	.26
GlobalVoices	v2015	News-Commentary	v16	103535	387233	115	.11	.02
GlobalVoices	v2015	News-Commentary	v14	103535	332790	111	.10	.03
GlobalVoices	v2015	TED2013	v1.1	103535	132315	94	.09	.07
GlobalVoices	v2015	News-Commentary	v9.0	103535	240936	89	.08	.03
GlobalVoices	v2015	News-Commentary	v9.1	103535	240936	89	.08	.03
GlobalVoices	v2015	News-Commentary	v11	103535	224371	92	.08	.04
GlobalVoices	v2015	Wikipedia	v1.0	103535	658658	76	.07	.01
GlobalVoices	v2015	EOPC	v2022	103535	313828	68	.06	.02
GlobalVoices	v2015	EUbookshop	v2	103535	65847	60	.05	.09
GlobalVoices	v2015	TildeMODEL	v2018	103535	40307	46	.04	.11
GlobalVoices	v2015	OpenOffice	v3	103535	46732	41	.03	.08
GlobalVoices	v2015	wikimedia	v20190628	103535	39678	39	.03	.09
GlobalVoices	v2015	Books	v1	103535	26811	35	.03	.13
GlobalVoices	v2015	Tanzil	v1	103535	118237	28	.02	.02
GlobalVoices	v2015	GoURMET	v1	103535	23444	11	.01	.04
GlobalVoices	v2015	GoURMET	v2	103535	23444	11	.01	.04
GlobalVoices	v2015	infopankki	v1	103535	21471	13	.01	.06
GlobalVoices	v2015	MultiUN	v1	103535	10179946	0	0	0
GlobalVoices	v2015	ELRC-5183-SciPar_Ukraine	v1	103535	139020	4	0	0
GlobalVoices	v2015	UN	v20090831	103535	57676	5	0	0
GlobalVoices	v2015	bible-uedin	v1	103535	34658	4	0	.01
GlobalVoices	v2015	ELRC_2922	v1	103535	4074	1	0	.02
GlobalVoices	v2015	ELRC-3075-wikipedia_health	v1	103535	4074	1	0	.02
GlobalVoices	v2015	ELRC-wikipedia_health	v1	103535	4074	1	0	.02
GlobalVoices	v2015	ada83	v1	103535	4037	1	0	.02
GlobalVoices	v2015	ELRC-5067-SciPar	v1	103535	3995	5	0	.12
GlobalVoices	v2015	GNOME	v1	103535	3488	7	0	.20
GlobalVoices	v2015	tico-19	v2020-10-28	103535	3322	2	0	.06
GlobalVoices	v2015	KDEdoc	v1	103535	2897	4	0	.13
GlobalVoices	v2015	MDN_Web_Docs	v2023-09-25	103535	2037	5	0	.24
GlobalVoices	v2015	WMT-News	v2019	103535	1994	2	0	.10
GlobalVoices	v2015	tldr-pages	v2023-08-29	103535	825	0	0	0
GlobalVoices	v2015	ELRC-3855-SWPS_University_Soci	v1	103535	111	0	0	0
GlobalVoices	v2015	Ubuntu	v14.10	103535	45	0	0	0
