corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2017q3	GlobalVoices	v2018q4	82965	88834	82958	99.99	93.38
GlobalVoices	v2017q3	GlobalVoices	v2015	82965	71300	71300	85.93	100.00
GlobalVoices	v2017q3	CCMatrix	v1	82965	534914327	39371	47.45	0
GlobalVoices	v2017q3	MultiParaCrawl	v9	82965	220731737	26095	31.45	.01
GlobalVoices	v2017q3	MultiParaCrawl	v9b	82965	220731737	26095	31.45	.01
GlobalVoices	v2017q3	ParaCrawl	v9	82965	220731737	26095	31.45	.01
GlobalVoices	v2017q3	MultiParaCrawl	v8	82965	182106158	22168	26.71	.01
GlobalVoices	v2017q3	ELRC-4244-NTEU_TierA	v1	82965	12025211	2380	2.86	.01
GlobalVoices	v2017q3	ELRC-4217-NTEU_TierA	v1	82965	13752401	1796	2.16	.01
GlobalVoices	v2017q3	OpenSubtitles	v2018	82965	21227082	1021	1.23	0
GlobalVoices	v2017q3	MultiCCAligned	v1.1	82965	94952359	1000	1.20	0
GlobalVoices	v2017q3	CCAligned	v1	82965	94952271	1000	1.20	0
GlobalVoices	v2017q3	QED	v2.0a	82965	684273	366	.44	.05
GlobalVoices	v2017q3	ELRC-4258-NTEU_TierA	v1	82965	11002908	344	.41	0
GlobalVoices	v2017q3	Tatoeba	v2022-03-03	82965	602838	267	.32	.04
GlobalVoices	v2017q3	OpenSubtitles	v1	82965	241453	269	.32	.11
GlobalVoices	v2017q3	Tatoeba	v2021-03-10	82965	556720	259	.31	.04
GlobalVoices	v2017q3	ELRC-4240-NTEU_TierA	v1	82965	6884759	252	.30	0
GlobalVoices	v2017q3	ELRC-4189-NTEU_TierA	v1	82965	6763579	251	.30	0
GlobalVoices	v2017q3	ELRC-4171-NTEU_TierA	v1	82965	6198455	249	.30	0
GlobalVoices	v2017q3	Tatoeba	v2020-11-09	82965	545306	257	.30	.04
GlobalVoices	v2017q3	Tatoeba	v2020-05-31	82965	523304	253	.30	.04
GlobalVoices	v2017q3	EUbookshop	v2	82965	13681030	244	.29	0
GlobalVoices	v2017q3	ELRC-4149-NTEU_TierA	v1	82965	6413624	243	.29	0
GlobalVoices	v2017q3	Tatoeba	v2021-07-22	82965	531553	246	.29	.04
GlobalVoices	v2017q3	Tatoeba	v20190709	82965	484305	243	.29	.05
GlobalVoices	v2017q3	TED2020	v1	82965	329147	201	.24	.06
GlobalVoices	v2017q3	TildeMODEL	v2018	82965	5030606	199	.23	0
GlobalVoices	v2017q3	WikiMatrix	v1	82965	23734871	184	.22	0
GlobalVoices	v2017q3	Europarl	v8	82965	2110612	188	.22	0
GlobalVoices	v2017q3	Tatoeba	v2	82965	257448	172	.20	.06
GlobalVoices	v2017q3	XLEnt	v1.1	82965	3364773	146	.17	0
GlobalVoices	v2017q3	XLEnt	v1	82965	3364773	146	.17	0
GlobalVoices	v2017q3	WikiTitles	v3	82965	1349474	146	.17	.01
GlobalVoices	v2017q3	ELRC-4198-NTEU_TierA	v1	82965	1702436	134	.16	0
GlobalVoices	v2017q3	Mozilla-I10n	v1	82965	49522	117	.14	.23
GlobalVoices	v2017q3	KDE4	v2	82965	172442	98	.11	.05
GlobalVoices	v2017q3	ELRC-2410-Portal_oficial_turis	v1	82965	132023	96	.11	.07
GlobalVoices	v2017q3	JRC-Acquis	v3.0	82965	1997955	87	.10	0
GlobalVoices	v2017q3	TED2013	v1.1	82965	142424	91	.10	.06
GlobalVoices	v2017q3	News-Commentary	v16	82965	438345	75	.09	.01
GlobalVoices	v2017q3	wikimedia	v20210402	82965	456248	73	.08	.01
GlobalVoices	v2017q3	News-Commentary	v14	82965	373715	71	.08	.01
GlobalVoices	v2017q3	News-Commentary	v11	82965	269009	60	.07	.02
GlobalVoices	v2017q3	ELRC-Federal_Foreign	v1	82965	59738	61	.07	.10
GlobalVoices	v2017q3	ELRC-5179-acts_Ukrainian	v1	82965	126107	52	.06	.04
GlobalVoices	v2017q3	News-Commentary	v9.0	82965	273047	47	.05	.01
GlobalVoices	v2017q3	News-Commentary	v9.1	82965	273046	47	.05	.01
GlobalVoices	v2017q3	ELRC-German_Foreign	v1	82965	72183	45	.05	.06
GlobalVoices	v2017q3	ELRC-641-Federal_Foreign_Berl	v1	82965	12029	48	.05	.39
GlobalVoices	v2017q3	Wikipedia	v1.0	82965	2478076	31	.03	0
GlobalVoices	v2017q3	ELRC-2714-EMEA	v1	82965	713209	29	.03	0
GlobalVoices	v2017q3	ELRC-EMEA	v1	82965	713209	29	.03	0
GlobalVoices	v2017q3	ELRC_2682	v1	82965	589704	28	.03	0
GlobalVoices	v2017q3	Books	v1	82965	70054	31	.03	.04
GlobalVoices	v2017q3	MPC1	v1	82965	18346	27	.03	.14
GlobalVoices	v2017q3	EuroPat	v3	82965	19387517	18	.02	0
GlobalVoices	v2017q3	EuroPat	v2	82965	15421689	17	.02	0
GlobalVoices	v2017q3	ECB	v1	82965	350988	23	.02	0
GlobalVoices	v2017q3	EMEA	v3	82965	349705	24	.02	0
GlobalVoices	v2017q3	ELRC-642-Federal_Foreign_Berl	v1	82965	54626	22	.02	.04
GlobalVoices	v2017q3	KDEdoc	v1	82965	26622	20	.02	.07
GlobalVoices	v2017q3	ELRC-1087-German_Foreign_Offic	v1	82965	25366	21	.02	.08
GlobalVoices	v2017q3	EuroPat	v1	82965	12583619	14	.01	0
GlobalVoices	v2017q3	ELRC-1117-CORDIS_News	v1	82965	111380	15	.01	.01
GlobalVoices	v2017q3	ELRC-CORDIS_News	v1	82965	111380	15	.01	.01
GlobalVoices	v2017q3	OpenOffice	v3	82965	48451	14	.01	.02
GlobalVoices	v2017q3	ELRC-Italian_legal	v1	82965	41426	13	.01	.03
GlobalVoices	v2017q3	wikimedia	v20190628	82965	37543	9	.01	.02
GlobalVoices	v2017q3	OpenOffice	v2	82965	36684	9	.01	.02
GlobalVoices	v2017q3	ELRA-W0201	v1	82965	36665	15	.01	.04
GlobalVoices	v2017q3	ELRC-638-Luxembourg.lu	v1	82965	36665	15	.01	.04
GlobalVoices	v2017q3	ELRC-1089-German_Foreign_Offic	v1	82965	24921	13	.01	.05
GlobalVoices	v2017q3	ELRC-1090-German_Foreign_Offic	v1	82965	20734	12	.01	.05
GlobalVoices	v2017q3	ELRC-2014-EUIPO_2017	v1	82965	17161	9	.01	.05
GlobalVoices	v2017q3	ELRC-EUIPO_2017	v1	82965	17161	9	.01	.05
GlobalVoices	v2017q3	GNOME	v1	82965	4428	12	.01	.27
GlobalVoices	v2017q3	ELRC-5067-SciPar	v1	82965	894816	7	0	0
GlobalVoices	v2017q3	ELRC-EUIPO_law	v1	82965	240670	7	0	0
GlobalVoices	v2017q3	ELRC-1077-EUIPO_law	v1	82965	240669	7	0	0
GlobalVoices	v2017q3	ELRC-1121-CORDIS_Results_Brief	v1	82965	182160	4	0	0
GlobalVoices	v2017q3	ELRC-CORDIS_Results	v1	82965	182160	4	0	0
GlobalVoices	v2017q3	MultiUN	v1	82965	157784	0	0	0
GlobalVoices	v2017q3	ELRC-EUIPO_list	v1	82965	41820	1	0	0
GlobalVoices	v2017q3	Tanzil	v1	82965	41133	5	0	.01
GlobalVoices	v2017q3	bible-uedin	v1	82965	37421	1	0	0
GlobalVoices	v2017q3	ELRC-1945-Italian_legal_termin	v1	82965	30992	8	0	.02
GlobalVoices	v2017q3	ELRA-W0143	v1	82965	30391	0	0	0
