corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2017q3	GlobalVoices	v2018q4	55313	58840	55313	100.00	94.00
GlobalVoices	v2017q3	GlobalVoices	v2015	55313	51838	51838	93.71	100.00
GlobalVoices	v2017q3	CCMatrix	v1	55313	8977047	21019	38.00	.23
GlobalVoices	v2017q3	NLLB	v1	55313	8977022	21021	38.00	.23
GlobalVoices	v2017q3	HPLT	v1	55313	1065687	5749	10.39	.53
GlobalVoices	v2017q3	MultiHPLT	v1	55313	1065687	5749	10.39	.53
GlobalVoices	v2017q3	OpenSubtitles	v2018	55313	3350344	491	.88	.01
GlobalVoices	v2017q3	OpenSubtitles	v2016	55313	2800956	467	.84	.01
GlobalVoices	v2017q3	OpenSubtitles	v2012	55313	892652	332	.60	.03
GlobalVoices	v2017q3	OpenSubtitles	v2013	55313	466820	280	.50	.05
GlobalVoices	v2017q3	CCAligned	v1	55313	1839468	229	.41	.01
GlobalVoices	v2017q3	MultiCCAligned	v1.1	55313	1839467	229	.41	.01
GlobalVoices	v2017q3	MultiCCAligned	v1	55313	1839467	229	.41	.01
GlobalVoices	v2017q3	XLEnt	v1.1	55313	1378463	118	.21	0
GlobalVoices	v2017q3	XLEnt	v1.2	55313	1378463	118	.21	0
GlobalVoices	v2017q3	XLEnt	v1	55313	1378463	118	.21	0
GlobalVoices	v2017q3	QED	v2.0a	55313	74147	103	.18	.13
GlobalVoices	v2017q3	MaCoCu	v2	55313	380089	84	.15	.02
GlobalVoices	v2017q3	MultiMaCoCu	v2	55313	380089	84	.15	.02
GlobalVoices	v2017q3	Tatoeba	v2023-04-12	55313	78516	76	.13	.09
GlobalVoices	v2017q3	Tatoeba	v2022-03-03	55313	78413	76	.13	.09
GlobalVoices	v2017q3	Tatoeba	v2021-07-22	55313	78406	76	.13	.09
GlobalVoices	v2017q3	Tatoeba	v2021-03-10	55313	78403	76	.13	.09
GlobalVoices	v2017q3	Tatoeba	v2020-11-09	55313	78352	76	.13	.09
GlobalVoices	v2017q3	Tatoeba	v2020-05-31	55313	78212	71	.12	.09
GlobalVoices	v2017q3	Tatoeba	v20190709	55313	78205	71	.12	.09
GlobalVoices	v2017q3	TED2020	v1	55313	48481	70	.12	.14
GlobalVoices	v2017q3	wikimedia	v20230407	55313	564381	60	.10	.01
GlobalVoices	v2017q3	wikimedia	v20210402	55313	232656	51	.09	.02
GlobalVoices	v2017q3	KDE4	v2	55313	46830	43	.07	.09
GlobalVoices	v2017q3	NeuLab-TedTalks	v1	55313	30488	44	.07	.14
GlobalVoices	v2017q3	WikiMatrix	v1	55313	1263561	23	.04	0
GlobalVoices	v2017q3	SETIMES	v2	55313	210945	23	.04	.01
GlobalVoices	v2017q3	Mozilla-I10n	v1	55313	7887	26	.04	.32
GlobalVoices	v2017q3	GoURMET	v2	55313	58436	19	.03	.03
GlobalVoices	v2017q3	wikimedia	v20190628	55313	6746	19	.03	.28
GlobalVoices	v2017q3	ELRC-5067-SciPar	v1	55313	5306	2	0	.03
GlobalVoices	v2017q3	EUbookshop	v2	55313	4144	3	0	.07
GlobalVoices	v2017q3	GNOME	v1	55313	2462	4	0	.16
GlobalVoices	v2017q3	ELRC_2922	v1	55313	754	0	0	0
GlobalVoices	v2017q3	ELRC-3050-wikipedia_health	v1	55313	754	0	0	0
GlobalVoices	v2017q3	ELRC-wikipedia_health	v1	55313	754	0	0	0
GlobalVoices	v2017q3	Ubuntu	v14.10	55313	24	0	0	0
