corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2017q3	GlobalVoices	v2018q4	157368	198961	157365	99.99	79.09
GlobalVoices	v2017q3	GlobalVoices	v2015	157368	103535	103535	65.79	100.00
GlobalVoices	v2017q3	NLLB	v1	157368	405724899	26199	16.64	0
GlobalVoices	v2017q3	CCMatrix	v1	157368	106963899	3891	2.47	0
GlobalVoices	v2017q3	OpenSubtitles	v2018	157368	25192322	2153	1.36	0
GlobalVoices	v2017q3	CCAligned	v1	157368	71915281	2022	1.28	0
GlobalVoices	v2017q3	MultiCCAligned	v1.1	157368	71915162	2022	1.28	0
GlobalVoices	v2017q3	MultiCCAligned	v1	157368	71915162	2022	1.28	0
GlobalVoices	v2017q3	OpenSubtitles	v2016	157368	18815068	2004	1.27	.01
GlobalVoices	v2017q3	OpenSubtitles	v2012	157368	6064128	1557	.98	.02
GlobalVoices	v2017q3	OpenSubtitles	v2013	157368	5700632	1540	.97	.02
GlobalVoices	v2017q3	ParaCrawl	v1	157368	9829537	1295	.82	.01
GlobalVoices	v2017q3	MultiParaCrawl	v7.1	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	MultiParaCrawl	v8	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	MultiParaCrawl	v9	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	MultiParaCrawl	v9b	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	ParaCrawl	v7.1	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	ParaCrawl	v8	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	ParaCrawl	v9	157368	5483226	881	.55	.01
GlobalVoices	v2017q3	QED	v2.0a	157368	841028	778	.49	.09
GlobalVoices	v2017q3	Tatoeba	v2023-04-12	157368	992599	723	.45	.07
GlobalVoices	v2017q3	Tatoeba	v2022-03-03	157368	915310	709	.45	.07
GlobalVoices	v2017q3	Tatoeba	v2021-03-10	157368	848530	685	.43	.08
GlobalVoices	v2017q3	Tatoeba	v2020-11-09	157368	827173	680	.43	.08
GlobalVoices	v2017q3	Tatoeba	v2020-05-31	157368	780473	663	.42	.08
GlobalVoices	v2017q3	Tatoeba	v2021-07-22	157368	817271	659	.41	.08
GlobalVoices	v2017q3	Tatoeba	v20190709	157368	707235	648	.41	.09
GlobalVoices	v2017q3	UNPC	v1.0	157368	21199623	595	.37	0
GlobalVoices	v2017q3	WikiMatrix	v1	157368	17794557	595	.37	0
GlobalVoices	v2017q3	TED2020	v1	157368	426102	485	.30	.11
GlobalVoices	v2017q3	wikimedia	v20230407	157368	3471519	420	.26	.01
GlobalVoices	v2017q3	ChuBiCo	v1	157368	1000206	380	.24	.03
GlobalVoices	v2017q3	NeuLab-TedTalks	v1	157368	253553	376	.23	.14
GlobalVoices	v2017q3	OpenSubtitles	v1	157368	83429	360	.22	.43
GlobalVoices	v2017q3	wikimedia	v20210402	157368	2065858	335	.21	.01
GlobalVoices	v2017q3	XLEnt	v1.1	157368	6517337	330	.20	0
GlobalVoices	v2017q3	XLEnt	v1	157368	6517337	330	.20	0
GlobalVoices	v2017q3	XLEnt	v1.2	157368	6517337	330	.20	0
GlobalVoices	v2017q3	Tatoeba	v2	157368	154640	315	.20	.20
GlobalVoices	v2017q3	LinguaTools-WikiTitles	v2014	157368	1930959	301	.19	.01
GlobalVoices	v2017q3	WikiTitles	v3	157368	1034760	252	.16	.02
GlobalVoices	v2017q3	KDE4	v2	157368	138686	159	.10	.11
GlobalVoices	v2017q3	Mozilla-I10n	v1	157368	50920	165	.10	.32
GlobalVoices	v2017q3	News-Commentary	v16	157368	387233	151	.09	.03
GlobalVoices	v2017q3	News-Commentary	v14	157368	332790	146	.09	.04
GlobalVoices	v2017q3	TED2013	v1.1	157368	132315	140	.08	.10
GlobalVoices	v2017q3	Wikipedia	v1.0	157368	658658	124	.07	.01
GlobalVoices	v2017q3	News-Commentary	v9.0	157368	240936	118	.07	.04
GlobalVoices	v2017q3	News-Commentary	v9.1	157368	240936	118	.07	.04
GlobalVoices	v2017q3	News-Commentary	v11	157368	224371	119	.07	.05
GlobalVoices	v2017q3	EOPC	v2022	157368	313828	90	.05	.02
GlobalVoices	v2017q3	EUbookshop	v2	157368	65847	75	.04	.11
GlobalVoices	v2017q3	Tanzil	v1	157368	118237	49	.03	.04
GlobalVoices	v2017q3	OpenOffice	v3	157368	46732	48	.03	.10
GlobalVoices	v2017q3	TildeMODEL	v2018	157368	40307	54	.03	.13
GlobalVoices	v2017q3	wikimedia	v20190628	157368	39678	50	.03	.12
GlobalVoices	v2017q3	Books	v1	157368	26811	45	.02	.16
GlobalVoices	v2017q3	MultiUN	v1	157368	10179946	0	0	0
GlobalVoices	v2017q3	ELRC-5183-SciPar_Ukraine	v1	157368	139020	5	0	0
GlobalVoices	v2017q3	UN	v20090831	157368	57676	5	0	0
GlobalVoices	v2017q3	bible-uedin	v1	157368	34658	5	0	.01
GlobalVoices	v2017q3	GoURMET	v1	157368	23444	11	0	.04
GlobalVoices	v2017q3	GoURMET	v2	157368	23444	11	0	.04
