corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2018q4	GlobalVoices	v2017q3	9268	8996	8805	95.00	97.87
GlobalVoices	v2018q4	GlobalVoices	v2015	9268	8740	8431	90.96	96.46
GlobalVoices	v2018q4	CCMatrix	v1	9268	24357218	521	5.62	0
GlobalVoices	v2018q4	NLLB	v1	9268	24356686	521	5.62	0
GlobalVoices	v2018q4	HPLT	v2	9268	3448296	207	2.23	0
GlobalVoices	v2018q4	XLEnt	v1.1	9268	1842190	24	.25	0
GlobalVoices	v2018q4	XLEnt	v1.2	9268	1842190	24	.25	0
GlobalVoices	v2018q4	XLEnt	v1	9268	1842190	24	.25	0
GlobalVoices	v2018q4	LinguaTools-WikiTitles	v2014	9268	3436529	23	.24	0
GlobalVoices	v2018q4	MultiCCAligned	v1	9268	5210426	17	.18	0
GlobalVoices	v2018q4	CCAligned	v1	9268	5210326	17	.18	0
GlobalVoices	v2018q4	KDE4	v2	9268	76102	11	.11	.01
GlobalVoices	v2018q4	wikimedia	v20230407	9268	307503	9	.09	0
GlobalVoices	v2018q4	GNOME	v1	9268	8104	8	.08	.09
GlobalVoices	v2018q4	OpenSubtitles	v2018	9268	5410373	7	.07	0
GlobalVoices	v2018q4	wikimedia	v20210402	9268	149677	4	.04	0
GlobalVoices	v2018q4	OpenSubtitles	v2016	9268	3296530	3	.03	0
GlobalVoices	v2018q4	MIZAN	v1	9268	1017788	3	.03	0
GlobalVoices	v2018q4	Ubuntu	v14.10	9268	6147	3	.03	.04
GlobalVoices	v2018q4	Wikipedia	v1.0	9268	95642	2	.02	0
GlobalVoices	v2018q4	infopankki	v1	9268	14813	2	.02	.01
GlobalVoices	v2018q4	WikiMatrix	v1	9268	303806	1	.01	0
GlobalVoices	v2018q4	TED2020	v1	9268	297407	1	.01	0
GlobalVoices	v2018q4	NeuLab-TedTalks	v1	9268	155836	1	.01	0
GlobalVoices	v2018q4	TED2013	v1.1	9268	79982	1	.01	0
GlobalVoices	v2018q4	ELRC-3078-wikipedia_health	v1	9268	1983	1	.01	.05
GlobalVoices	v2018q4	ELRC-wikipedia_health	v1	9268	1983	1	.01	.05
GlobalVoices	v2018q4	tldr-pages	v2023-08-29	9268	187	1	.01	.53
GlobalVoices	v2018q4	Tanzil	v1	9268	1012397	0	0	0
GlobalVoices	v2018q4	TEP	v1	9268	592664	0	0	0
GlobalVoices	v2018q4	QED	v2.0a	9268	15209	0	0	0
GlobalVoices	v2018q4	tico-19	v2020-10-28	9268	3070	0	0	0
GlobalVoices	v2018q4	ELRC_2922	v1	9268	1982	0	0	0
