corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2018q4	GlobalVoices	v2017q3	183156	339221	182370	99.57	53.76
GlobalVoices	v2018q4	GlobalVoices	v2015	183156	295008	182035	99.38	61.70
GlobalVoices	v2018q4	CCMatrix	v1	183156	324789552	24695	13.48	0
GlobalVoices	v2018q4	ParaCrawl	v9	183156	216646825	22165	12.10	.01
GlobalVoices	v2018q4	OpenSubtitles	v2018	183156	34087404	848	.46	0
GlobalVoices	v2018q4	CCAligned	v1	183156	15398414	284	.15	0
GlobalVoices	v2018q4	QED	v2.0a	183156	719317	248	.13	.03
GlobalVoices	v2018q4	UNPC	v1.0	183156	22819242	218	.11	0
GlobalVoices	v2018q4	MultiUN	v1	183156	10468683	158	.08	0
GlobalVoices	v2018q4	Europarl	v8	183156	2008866	153	.08	0
GlobalVoices	v2018q4	XLEnt	v1.1	183156	7689402	135	.07	0
GlobalVoices	v2018q4	XLEnt	v1	183156	7689402	135	.07	0
GlobalVoices	v2018q4	OpenSubtitles	v1	183156	202060	146	.07	.07
GlobalVoices	v2018q4	TildeMODEL	v2018	183156	5053982	119	.06	0
GlobalVoices	v2018q4	Tatoeba	v2022-03-03	183156	268076	124	.06	.04
GlobalVoices	v2018q4	Tatoeba	v2021-07-22	183156	264344	121	.06	.04
GlobalVoices	v2018q4	Tatoeba	v2021-03-10	183156	262539	120	.06	.04
GlobalVoices	v2018q4	Tatoeba	v2020-11-09	183156	261643	119	.06	.04
GlobalVoices	v2018q4	Tatoeba	v2020-05-31	183156	259672	117	.06	.04
GlobalVoices	v2018q4	Tatoeba	v20190709	183156	257088	117	.06	.04
GlobalVoices	v2018q4	EUbookshop	v2	183156	9351611	106	.05	0
GlobalVoices	v2018q4	TED2020	v1	183156	399799	100	.05	.02
GlobalVoices	v2018q4	giga-fren	v2	183156	21837483	89	.04	0
GlobalVoices	v2018q4	KDE4	v2	183156	179988	76	.04	.04
GlobalVoices	v2018q4	wikimedia	v20210402	183156	908826	58	.03	0
GlobalVoices	v2018q4	Tatoeba	v2	183156	144368	73	.03	.05
GlobalVoices	v2018q4	GNOME	v1	183156	55185	66	.03	.11
GlobalVoices	v2018q4	DGT	v2019	183156	3594195	54	.02	0
GlobalVoices	v2018q4	Wikipedia	v1.0	183156	803434	39	.02	0
GlobalVoices	v2018q4	JRC-Acquis	v3.0	183156	501584	52	.02	.01
GlobalVoices	v2018q4	EMEA	v3	183156	363091	52	.02	.01
GlobalVoices	v2018q4	News-Commentary	v11	183156	209253	43	.02	.02
