corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
GlobalVoices	v2018q4	GlobalVoices	v2017q3	790	787	787	99.62	100.00
GlobalVoices	v2018q4	GlobalVoices	v2015	790	787	786	99.49	99.87
GlobalVoices	v2018q4	KDE4	v2	790	105312	6	.75	0
GlobalVoices	v2018q4	CCAligned	v1	790	410132	1	.12	0
GlobalVoices	v2018q4	XLEnt	v1.1	790	76953	1	.12	0
GlobalVoices	v2018q4	XLEnt	v1	790	76953	1	.12	0
GlobalVoices	v2018q4	ParaCrawl	v9	790	62782	1	.12	0
GlobalVoices	v2018q4	TED2020	v1	790	1059	1	.12	.09
GlobalVoices	v2018q4	wikimedia	v20210402	790	778	1	.12	.12
GlobalVoices	v2018q4	Tatoeba	v2020-11-09	790	753	1	.12	.13
GlobalVoices	v2018q4	Tatoeba	v2021-03-10	790	753	1	.12	.13
GlobalVoices	v2018q4	Tatoeba	v2021-07-22	790	753	1	.12	.13
GlobalVoices	v2018q4	Tatoeba	v2022-03-03	790	753	1	.12	.13
GlobalVoices	v2018q4	Ubuntu	v14.10	790	6976	0	0	0
GlobalVoices	v2018q4	tico-19	v2020-10-28	790	3070	0	0	0
GlobalVoices	v2018q4	QED	v2.0a	790	1101	0	0	0
GlobalVoices	v2018q4	wikimedia	v20190628	790	924	0	0	0
GlobalVoices	v2018q4	Tatoeba	v2020-05-31	790	752	0	0	0
GlobalVoices	v2018q4	Tatoeba	v20190709	790	748	0	0	0
GlobalVoices	v2018q4	Tatoeba	v2	790	121	0	0	0
GlobalVoices	v2018q4	GNOME	v1	790	56	0	0	0
