corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v1.1	HPLT	v1	14645056	14645056	14645056	100.00	100.00
HPLT	v1.1	HPLT	v2	14645056	17505359	1130018	7.71	6.45
HPLT	v1.1	MultiHPLT	v2	14645056	17505359	1130018	7.71	6.45
HPLT	v1.1	MultiCCAligned	v1	14645056	25031776	347640	2.37	1.38
HPLT	v1.1	CCMatrix	v1	14645056	49234443	280676	1.91	.57
HPLT	v1.1	NLLB	v1	14645056	49233705	280680	1.91	.57
HPLT	v1.1	CCAligned	v1	14645056	12951374	276151	1.88	2.13
HPLT	v1.1	XLEnt	v1.1	14645056	5553958	7210	.04	.12
HPLT	v1.1	XLEnt	v1	14645056	5553958	7210	.04	.12
HPLT	v1.1	XLEnt	v1.2	14645056	5553958	7210	.04	.12
HPLT	v1.1	WikiMatrix	v1	14645056	999761	5992	.04	.59
HPLT	v1.1	UNPC	v1.0	14645056	16579281	3054	.02	.01
HPLT	v1.1	OpenSubtitles	v2018	14645056	25630788	1856	.01	0
HPLT	v1.1	MultiUN	v1	14645056	8210447	2032	.01	.02
HPLT	v1.1	LinguaTools-WikiTitles	v2014	14645056	4598982	2802	.01	.06
HPLT	v1.1	infopankki	v1	14645056	15941	2264	.01	14.20
HPLT	v1.1	OpenSubtitles	v2016	14645056	19600850	1144	0	0
HPLT	v1.1	wikimedia	v20230407	14645056	570493	339	0	.05
HPLT	v1.1	QED	v2.0a	14645056	474973	219	0	.04
HPLT	v1.1	TED2020	v1	14645056	397855	137	0	.03
HPLT	v1.1	wikimedia	v20210402	14645056	374343	275	0	.07
HPLT	v1.1	NeuLab-TedTalks	v1	14645056	218550	92	0	.04
HPLT	v1.1	Tanzil	v1	14645056	184868	0	0	0
HPLT	v1.1	News-Commentary	v9.0	14645056	174557	516	0	.29
HPLT	v1.1	News-Commentary	v9.1	14645056	174557	516	0	.29
HPLT	v1.1	TED2013	v1.1	14645056	151893	39	0	.02
HPLT	v1.1	Wikipedia	v1.0	14645056	146081	809	0	.55
HPLT	v1.1	KDE4	v2	14645056	105144	14	0	.01
HPLT	v1.1	News-Commentary	v14	14645056	90173	91	0	.10
HPLT	v1.1	News-Commentary	v16	14645056	90173	91	0	.10
HPLT	v1.1	News-Commentary	v11	14645056	83163	85	0	.10
HPLT	v1.1	UN	v20090831	14645056	63742	370	0	.58
HPLT	v1.1	bible-uedin	v1	14645056	61540	2	0	0
HPLT	v1.1	GlobalVoices	v2018q4	14645056	58258	849	0	1.45
HPLT	v1.1	GlobalVoices	v2017q3	14645056	51838	692	0	1.33
HPLT	v1.1	GlobalVoices	v2015	14645056	40382	480	0	1.18
HPLT	v1.1	Tatoeba	v2023-04-12	14645056	30845	53	0	.17
HPLT	v1.1	Tatoeba	v2022-03-03	14645056	29294	53	0	.18
HPLT	v1.1	Tatoeba	v2021-07-22	14645056	27887	53	0	.19
HPLT	v1.1	Tatoeba	v2021-03-10	14645056	27848	53	0	.19
HPLT	v1.1	Tatoeba	v2020-11-09	14645056	27585	53	0	.19
HPLT	v1.1	Tatoeba	v2020-05-31	14645056	27475	52	0	.18
HPLT	v1.1	Tatoeba	v20190709	14645056	27269	52	0	.19
HPLT	v1.1	ELRC-3083-wikipedia_health	v1	14645056	15126	71	0	.46
HPLT	v1.1	ELRC-wikipedia_health	v1	14645056	15126	71	0	.46
HPLT	v1.1	ELRC_2922	v1	14645056	15125	70	0	.46
HPLT	v1.1	Tatoeba	v2	14645056	12939	41	0	.31
HPLT	v1.1	Ubuntu	v14.10	14645056	5847	2	0	.03
HPLT	v1.1	tico-19	v2020-10-28	14645056	3070	0	0	0
HPLT	v1.1	EUbookshop	v2	14645056	1603	0	0	0
HPLT	v1.1	tldr-pages	v2023-08-29	14645056	325	1	0	.30
HPLT	v1.1	GNOME	v1	14645056	149	0	0	0
