corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v1	MultiCCAligned	v1	12043070	8072463	124686	1.03	1.54
HPLT	v1	CCAligned	v1	12043070	8072306	124685	1.03	1.54
HPLT	v1	CCMatrix	v1	12043070	14907628	83683	.69	.56
HPLT	v1	Samanantar	v0.2	12043070	10043547	26924	.22	.26
HPLT	v1	NLLB	v1	12043070	33107121	14123	.11	.04
HPLT	v1	WikiMatrix	v1	12043070	231460	11416	.09	4.93
HPLT	v1	IITB	v2.0	12043070	1324354	5683	.04	.42
HPLT	v1	Anuvaad	v1	12043070	4958522	2708	.02	.05
HPLT	v1	XLEnt	v1.1	12043070	1931470	3060	.02	.15
HPLT	v1	XLEnt	v1	12043070	1931470	3060	.02	.15
HPLT	v1	XLEnt	v1.2	12043070	1931470	3060	.02	.15
HPLT	v1	pmindia	v1	12043070	56819	2281	.01	4.01
HPLT	v1	Tanzil	v1	12043070	185208	283	0	.15
HPLT	v1	KDE4	v2	12043070	85155	21	0	.02
HPLT	v1	OpenSubtitles	v2018	12043070	80878	131	0	.16
HPLT	v1	bible-uedin	v1	12043070	61541	330	0	.53
HPLT	v1	OpenSubtitles	v2016	12043070	49493	59	0	.11
HPLT	v1	wikimedia	v20230407	12043070	46541	44	0	.09
HPLT	v1	TED2020	v1	12043070	46369	243	0	.52
HPLT	v1	Joshua-IPC	v1	12043070	36063	13	0	.03
HPLT	v1	GNOME	v1	12043070	29075	9	0	.03
HPLT	v1	wikimedia	v20210402	12043070	24769	20	0	.08
HPLT	v1	NeuLab-TedTalks	v1	12043070	19310	190	0	.98
HPLT	v1	QED	v2.0a	12043070	11137	11	0	.09
HPLT	v1	Tatoeba	v2023-04-12	12043070	11070	24	0	.21
HPLT	v1	Tatoeba	v2022-03-03	12043070	10969	24	0	.21
HPLT	v1	Tatoeba	v2021-07-22	12043070	10942	24	0	.21
HPLT	v1	Tatoeba	v2021-03-10	12043070	10894	24	0	.22
HPLT	v1	Ubuntu	v14.10	12043070	10892	4	0	.03
HPLT	v1	Tatoeba	v2020-11-09	12043070	10853	24	0	.22
HPLT	v1	Tatoeba	v2020-05-31	12043070	10818	23	0	.21
HPLT	v1	Tatoeba	v20190709	12043070	10813	23	0	.21
HPLT	v1	Tatoeba	v2	12043070	4696	10	0	.21
HPLT	v1	tico-19	v2020-10-28	12043070	3070	1	0	.03
HPLT	v1	WMT-News	v2014	12043070	3026	0	0	0
HPLT	v1	WMT-News	v2019	12043070	3026	0	0	0
HPLT	v1	News-Commentary	v14	12043070	2574	4	0	.15
HPLT	v1	News-Commentary	v16	12043070	2574	4	0	.15
HPLT	v1	GlobalVoices	v2018q4	12043070	2385	23	0	.96
HPLT	v1	GlobalVoices	v2017q3	12043070	2284	22	0	.96
HPLT	v1	GlobalVoices	v2015	12043070	1839	21	0	1.14
HPLT	v1	tldr-pages	v2023-08-29	12043070	485	1	0	.20
HPLT	v1	ELRC-3061-wikipedia_health	v1	12043070	246	9	0	3.65
HPLT	v1	ELRC-wikipedia_health	v1	12043070	246	9	0	3.65
HPLT	v1	ELRC_2922	v1	12043070	245	8	0	3.26
