corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v1	MultiHPLT	v1	11262915	11262915	11262906	99.99	99.99
HPLT	v1	NLLB	v1	11262915	56084718	336037	2.98	.59
HPLT	v1	CCMatrix	v1	11262915	33012321	270497	2.40	.81
HPLT	v1	CCAligned	v1	11262915	7188613	158590	1.40	2.20
HPLT	v1	MultiCCAligned	v1.1	11262915	7188613	158590	1.40	2.20
HPLT	v1	MultiCCAligned	v1	11262915	7188613	158590	1.40	2.20
HPLT	v1	Samanantar	v0.2	11262915	9416792	44160	.39	.46
HPLT	v1	WikiMatrix	v1	11262915	1180941	30427	.27	2.57
HPLT	v1	IITB	v2.0	11262915	955314	7961	.07	.83
HPLT	v1	XLEnt	v1.1	11262915	1668148	6797	.06	.40
HPLT	v1	XLEnt	v1	11262915	1668148	6797	.06	.40
HPLT	v1	XLEnt	v1.2	11262915	1668148	6797	.06	.40
HPLT	v1	pmindia	v1	11262915	56679	2493	.02	4.39
HPLT	v1	Anuvaad	v1	11262915	368106	751	0	.20
HPLT	v1	OpenSubtitles	v2018	11262915	104997	521	0	.49
HPLT	v1	wikimedia	v20230407	11262915	82499	258	0	.31
HPLT	v1	KDE4	v2	11262915	67762	150	0	.22
HPLT	v1	OpenSubtitles	v2016	11262915	60904	294	0	.48
HPLT	v1	wikimedia	v20210402	11262915	53151	177	0	.33
HPLT	v1	TED2020	v1	11262915	46282	312	0	.67
HPLT	v1	WikiTitles	v3	11262915	40882	974	0	2.38
HPLT	v1	bible-uedin	v1	11262915	30769	964	0	3.13
HPLT	v1	QED	v2.0a	11262915	21290	60	0	.28
HPLT	v1	NeuLab-TedTalks	v1	11262915	19264	217	0	1.12
HPLT	v1	Tatoeba	v2023-04-12	11262915	15624	96	0	.61
HPLT	v1	Tatoeba	v2022-03-03	11262915	14960	95	0	.63
HPLT	v1	Tatoeba	v2021-07-22	11262915	14417	92	0	.63
HPLT	v1	OpenSubtitles	v2013	11262915	13902	52	0	.37
HPLT	v1	Tatoeba	v2021-03-10	11262915	13539	92	0	.67
HPLT	v1	Tatoeba	v2020-11-09	11262915	13447	92	0	.68
HPLT	v1	Tatoeba	v2020-05-31	11262915	13063	89	0	.68
HPLT	v1	Tanzil	v1	11262915	12391	325	0	2.62
HPLT	v1	Tatoeba	v20190709	11262915	11696	81	0	.69
HPLT	v1	Joshua-IPC	v1	11262915	9144	69	0	.75
HPLT	v1	wikimedia	v20190628	11262915	8164	43	0	.52
HPLT	v1	Tatoeba	v2	11262915	5085	37	0	.72
HPLT	v1	GlobalVoices	v2018q4	11262915	3076	68	0	2.21
HPLT	v1	tico-19	v2020-10-28	11262915	3070	1	0	.03
HPLT	v1	GlobalVoices	v2017q3	11262915	2979	68	0	2.28
HPLT	v1	News-Commentary	v16	11262915	2837	3	0	.10
HPLT	v1	News-Commentary	v14	11262915	2823	3	0	.10
HPLT	v1	GlobalVoices	v2015	11262915	2445	66	0	2.69
HPLT	v1	GNOME	v1	11262915	1735	2	0	.11
HPLT	v1	OpenSubtitles	v2012	11262915	1485	12	0	.80
HPLT	v1	Mozilla-I10n	v1	11262915	617	9	0	1.45
HPLT	v1	WMT-News	v2019	11262915	520	0	0	0
HPLT	v1	tldr-pages	v2023-08-29	11262915	483	2	0	.41
HPLT	v1	ELRC_2922	v1	11262915	245	11	0	4.48
HPLT	v1	ELRC-3061-wikipedia_health	v1	11262915	245	11	0	4.48
HPLT	v1	ELRC-wikipedia_health	v1	11262915	245	11	0	4.48
HPLT	v1	Ubuntu	v14.10	11262915	36	0	0	0
