corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v1	HPLT	v1.1	1139052	1139052	1139052	100.00	100.00
HPLT	v1	MultiHPLT	v1.1	1139052	1139052	1139052	100.00	100.00
HPLT	v1	MultiHPLT	v1	1139052	1139052	1139052	100.00	100.00
HPLT	v1	HPLT	v2	1139052	3991614	323351	28.38	8.10
HPLT	v1	MultiHPLT	v2	1139052	3991614	323351	28.38	8.10
HPLT	v1	CCMatrix	v1	1139052	11956986	107287	9.41	.89
HPLT	v1	NLLB	v1	1139052	11956740	107289	9.41	.89
HPLT	v1	WikiMatrix	v1	1139052	395395	41116	3.60	10.39
HPLT	v1	MaCoCu	v2	1139052	376748	38387	3.37	10.18
HPLT	v1	MultiMaCoCu	v2	1139052	376748	38387	3.37	10.18
HPLT	v1	MultiCCAligned	v1	1139052	1781843	30208	2.65	1.69
HPLT	v1	CCAligned	v1	1139052	1781816	30207	2.65	1.69
HPLT	v1	wikimedia	v20230407	1139052	353857	5685	.49	1.60
HPLT	v1	GlobalVoices	v2018q4	1139052	52502	4217	.37	8.03
HPLT	v1	GlobalVoices	v2017q3	1139052	49453	4065	.35	8.21
HPLT	v1	GlobalVoices	v2015	1139052	46424	3844	.33	8.28
HPLT	v1	wikimedia	v20210402	1139052	137241	3519	.30	2.56
HPLT	v1	TED2020	v1	1139052	43314	690	.06	1.59
HPLT	v1	QED	v2.0a	1139052	63772	621	.05	.97
HPLT	v1	XLEnt	v1.1	1139052	1696310	347	.03	.02
HPLT	v1	XLEnt	v1	1139052	1696310	347	.03	.02
HPLT	v1	XLEnt	v1.2	1139052	1696310	347	.03	.02
HPLT	v1	NeuLab-TedTalks	v1	1139052	26763	354	.03	1.32
HPLT	v1	OpenSubtitles	v2018	1139052	2896675	271	.02	0
HPLT	v1	OpenSubtitles	v2016	1139052	2217817	231	.02	.01
HPLT	v1	GoURMET	v2	1139052	60664	161	.01	.26
HPLT	v1	SETIMES	v2	1139052	205807	6	0	0
HPLT	v1	SETIMES	v1	1139052	153723	3	0	0
HPLT	v1	Tatoeba	v2023-04-12	1139052	80340	33	0	.04
HPLT	v1	Tatoeba	v2021-07-22	1139052	80333	33	0	.04
HPLT	v1	Tatoeba	v2022-03-03	1139052	80333	33	0	.04
HPLT	v1	Tatoeba	v2021-03-10	1139052	80332	33	0	.04
HPLT	v1	Tatoeba	v2020-11-09	1139052	80323	33	0	.04
HPLT	v1	Tatoeba	v2020-05-31	1139052	80283	32	0	.03
HPLT	v1	Tatoeba	v20190709	1139052	80279	32	0	.03
HPLT	v1	KDE4	v2	1139052	64415	2	0	0
HPLT	v1	ELRC-5067-SciPar	v1	1139052	4941	1	0	.02
HPLT	v1	Ubuntu	v14.10	1139052	3272	1	0	.03
HPLT	v1	EUbookshop	v2	1139052	2331	0	0	0
HPLT	v1	ELRC-3050-wikipedia_health	v1	1139052	747	94	0	12.58
HPLT	v1	ELRC-wikipedia_health	v1	1139052	747	94	0	12.58
HPLT	v1	ELRC_2922	v1	1139052	746	93	0	12.46
HPLT	v1	GNOME	v1	1139052	116	0	0	0
