corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v2	NLLB	v1	4559323	78968180	260946	5.72	.33
HPLT	v2	WikiMatrix	v1	4559323	210679	14045	.30	6.66
HPLT	v2	HPLT	v1.1	4559323	240013	12087	.26	5.03
HPLT	v2	HPLT	v1	4559323	240013	12087	.26	5.03
HPLT	v2	MultiHPLT	v1.1	4559323	240013	12087	.26	5.03
HPLT	v2	SETIMES	v2	4559323	138052	9722	.21	7.04
HPLT	v2	MultiCCAligned	v1	4559323	191706	4715	.10	2.45
HPLT	v2	CCAligned	v1	4559323	191704	4715	.10	2.45
HPLT	v2	Tanzil	v1	4559323	239903	3272	.07	1.36
HPLT	v2	OpenSubtitles	v2018	4559323	11750487	3045	.06	.02
HPLT	v2	OpenSubtitles	v2016	4559323	9457057	2690	.05	.02
HPLT	v2	XLEnt	v1.1	4559323	259341	187	0	.07
HPLT	v2	XLEnt	v1.2	4559323	259341	187	0	.07
HPLT	v2	XLEnt	v1	4559323	259341	187	0	.07
HPLT	v2	GNOME	v1	4559323	30123	13	0	.04
HPLT	v2	wikimedia	v20230407	4559323	27254	407	0	1.49
HPLT	v2	QED	v2.0a	4559323	12115	232	0	1.91
HPLT	v2	TED2020	v1	4559323	11378	260	0	2.28
HPLT	v2	wikimedia	v20210402	4559323	10915	172	0	1.57
HPLT	v2	Ubuntu	v14.10	4559323	10604	5	0	.04
HPLT	v2	NeuLab-TedTalks	v1	4559323	6008	177	0	2.94
HPLT	v2	EUbookshop	v2	4559323	557	0	0	0
HPLT	v2	Tatoeba	v2023-04-12	4559323	509	5	0	.98
HPLT	v2	Tatoeba	v2021-07-22	4559323	502	5	0	.99
HPLT	v2	Tatoeba	v2022-03-03	4559323	502	5	0	.99
HPLT	v2	Tatoeba	v2020-11-09	4559323	501	5	0	.99
HPLT	v2	Tatoeba	v2021-03-10	4559323	501	5	0	.99
HPLT	v2	Tatoeba	v2020-05-31	4559323	499	5	0	1.00
HPLT	v2	Tatoeba	v20190709	4559323	498	5	0	1.00
HPLT	v2	Tatoeba	v2	4559323	284	3	0	1.05
HPLT	v2	tldr-pages	v2023-08-29	4559323	282	0	0	0
HPLT	v2	ELRC-3047-wikipedia_health	v1	4559323	205	0	0	0
HPLT	v2	ELRC-wikipedia_health	v1	4559323	205	0	0	0
HPLT	v2	ELRC_2922	v1	4559323	204	0	0	0
