corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
HPLT	v2	MultiHPLT	v2	3448296	3448296	3448296	100.00	100.00
HPLT	v2	MultiCCAligned	v1	3448296	5210426	44178	1.28	.84
HPLT	v2	CCAligned	v1	3448296	5210326	44177	1.28	.84
HPLT	v2	CCMatrix	v1	3448296	24357218	18038	.52	.07
HPLT	v2	NLLB	v1	3448296	24356686	18038	.52	.07
HPLT	v2	LinguaTools-WikiTitles	v2014	3448296	3436529	2753	.07	.08
HPLT	v2	XLEnt	v1.1	3448296	1842190	2329	.06	.12
HPLT	v2	XLEnt	v1.2	3448296	1842190	2329	.06	.12
HPLT	v2	XLEnt	v1	3448296	1842190	2329	.06	.12
HPLT	v2	infopankki	v1	3448296	14813	1711	.04	11.55
HPLT	v2	OpenSubtitles	v2018	3448296	5410373	205	0	0
HPLT	v2	OpenSubtitles	v2016	3448296	3296530	143	0	0
HPLT	v2	MIZAN	v1	3448296	1017788	100	0	0
HPLT	v2	Tanzil	v1	3448296	1012397	130	0	.01
HPLT	v2	TEP	v1	3448296	592664	18	0	0
HPLT	v2	wikimedia	v20230407	3448296	307503	102	0	.03
HPLT	v2	WikiMatrix	v1	3448296	303806	72	0	.02
HPLT	v2	TED2020	v1	3448296	297407	71	0	.02
HPLT	v2	NeuLab-TedTalks	v1	3448296	155836	45	0	.02
HPLT	v2	wikimedia	v20210402	3448296	149677	62	0	.04
HPLT	v2	Wikipedia	v1.0	3448296	95642	22	0	.02
HPLT	v2	TED2013	v1.1	3448296	79982	26	0	.03
HPLT	v2	KDE4	v2	3448296	76102	83	0	.10
HPLT	v2	QED	v2.0a	3448296	15209	9	0	.05
HPLT	v2	GlobalVoices	v2018q4	3448296	9268	207	0	2.23
HPLT	v2	GlobalVoices	v2017q3	3448296	8996	204	0	2.26
HPLT	v2	GlobalVoices	v2015	3448296	8740	195	0	2.23
HPLT	v2	GNOME	v1	3448296	8104	29	0	.35
HPLT	v2	Ubuntu	v14.10	3448296	6147	20	0	.32
HPLT	v2	tico-19	v2020-10-28	3448296	3070	0	0	0
HPLT	v2	ELRC-3078-wikipedia_health	v1	3448296	1983	0	0	0
HPLT	v2	ELRC-wikipedia_health	v1	3448296	1983	0	0	0
HPLT	v2	ELRC_2922	v1	3448296	1982	0	0	0
HPLT	v2	tldr-pages	v2023-08-29	3448296	187	0	0	0
