corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
JParaCrawl	v3.0	CCMatrix	v1	21212677	148643618	408552	1.92	.27
JParaCrawl	v3.0	NLLB	v1	21212677	148643384	408725	1.92	.27
JParaCrawl	v3.0	MultiCCAligned	v1.1	21212677	21599437	155151	.73	.71
JParaCrawl	v3.0	MultiCCAligned	v1	21212677	21599437	155151	.73	.71
JParaCrawl	v3.0	CCAligned	v1	21212677	21599434	155151	.73	.71
JParaCrawl	v3.0	WikiMatrix	v1	21212677	13949291	8598	.04	.06
JParaCrawl	v3.0	XLEnt	v1.1	21212677	5051078	120	0	0
JParaCrawl	v3.0	XLEnt	v1	21212677	5051078	120	0	0
JParaCrawl	v3.0	XLEnt	v1.2	21212677	5051078	120	0	0
JParaCrawl	v3.0	JESC	v2019-12-05	21212677	2460029	1431	0	.05
JParaCrawl	v3.0	OpenSubtitles	v2018	21212677	2196588	1167	0	.05
JParaCrawl	v3.0	OpenSubtitles	v2016	21212677	1653539	890	0	.05
JParaCrawl	v3.0	LinguaTools-WikiTitles	v2014	21212677	1041370	223	0	.02
JParaCrawl	v3.0	QED	v2.0a	21212677	917498	743	0	.08
JParaCrawl	v3.0	WikiTitles	v3	21212677	680668	168	0	.02
JParaCrawl	v3.0	KFTT	v1.0	21212677	420956	132	0	.03
JParaCrawl	v3.0	OpenSubtitles	v2013	21212677	414887	153	0	.03
JParaCrawl	v3.0	wikimedia	v20230407	21212677	401450	194	0	.04
JParaCrawl	v3.0	TED2020	v1	21212677	356223	54	0	.01
JParaCrawl	v3.0	OpenSubtitles	v2012	21212677	315051	326	0	.10
JParaCrawl	v3.0	wikimedia	v20210402	21212677	262269	174	0	.06
JParaCrawl	v3.0	Tatoeba	v2023-04-12	21212677	243238	1069	0	.43
JParaCrawl	v3.0	Tatoeba	v2022-03-03	21212677	223202	999	0	.44
JParaCrawl	v3.0	Tatoeba	v2021-07-22	21212677	214555	972	0	.45
JParaCrawl	v3.0	NeuLab-TedTalks	v1	21212677	212490	39	0	.01
JParaCrawl	v3.0	Tatoeba	v2021-03-10	21212677	207603	945	0	.45
JParaCrawl	v3.0	Tatoeba	v2020-11-09	21212677	201086	928	0	.46
JParaCrawl	v3.0	Tatoeba	v2020-05-31	21212677	193829	909	0	.46
JParaCrawl	v3.0	Tatoeba	v20190709	21212677	187034	898	0	.48
JParaCrawl	v3.0	Tatoeba	v2	21212677	175601	834	0	.47
JParaCrawl	v3.0	KDE4	v2	21212677	100365	85	0	.08
JParaCrawl	v3.0	OpenOffice	v3	21212677	42814	84	0	.19
JParaCrawl	v3.0	Mozilla-I10n	v1	21212677	31600	92	0	.29
JParaCrawl	v3.0	OpenSubtitles	v1	21212677	15183	9	0	.05
JParaCrawl	v3.0	Tanzil	v1	21212677	6168	5	0	.08
JParaCrawl	v3.0	wikimedia	v20190628	21212677	2752	1	0	.03
JParaCrawl	v3.0	GNOME	v1	21212677	1182	7	0	.59
JParaCrawl	v3.0	News-Commentary	v16	21212677	1064	2	0	.18
JParaCrawl	v3.0	News-Commentary	v11	21212677	978	1	0	.10
JParaCrawl	v3.0	News-Commentary	v14	21212677	978	1	0	.10
JParaCrawl	v3.0	News-Commentary	v9.0	21212677	677	0	0	0
JParaCrawl	v3.0	News-Commentary	v9.1	21212677	677	0	0	0
JParaCrawl	v3.0	KDEdoc	v1	21212677	183	0	0	0
JParaCrawl	v3.0	EUbookshop	v2	21212677	138	0	0	0
JParaCrawl	v3.0	Ubuntu	v14.10	21212677	45	0	0	0
