corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
JRC-Acquis	v3.0	DGT	v2019	502276	3543639	58110	11.56	1.63
JRC-Acquis	v3.0	DGT	v4	502276	1945115	57614	11.47	2.96
JRC-Acquis	v3.0	CCMatrix	v1	502276	106106500	39488	7.86	.03
JRC-Acquis	v3.0	NLLB	v1	502276	106104992	39489	7.86	.03
JRC-Acquis	v3.0	ParaCrawl	v9	502276	89135870	20332	4.04	.02
JRC-Acquis	v3.0	ParaCrawl	v8	502276	98473905	19898	3.96	.02
JRC-Acquis	v3.0	TildeMODEL	v2018	502276	3481744	18871	3.75	.54
JRC-Acquis	v3.0	EUbookshop	v2	502276	5367397	11493	2.28	.21
JRC-Acquis	v3.0	ECB	v1	502276	126344	1350	.26	1.06
JRC-Acquis	v3.0	MultiCCAligned	v1	502276	36001309	1300	.25	0
JRC-Acquis	v3.0	MultiParaCrawl	v7.1	502276	31295016	1275	.25	0
JRC-Acquis	v3.0	ParaCrawl	v7.1	502276	31295015	1275	.25	0
JRC-Acquis	v3.0	CCAligned	v1	502276	13043190	997	.19	0
JRC-Acquis	v3.0	LinguaTools-WikiTitles	v2014	502276	6757629	556	.11	0
JRC-Acquis	v3.0	XLEnt	v1.1	502276	5789605	584	.11	.01
JRC-Acquis	v3.0	XLEnt	v1.2	502276	5789605	584	.11	.01
JRC-Acquis	v3.0	XLEnt	v1	502276	5789605	584	.11	.01
JRC-Acquis	v3.0	ParaCrawl	v1	502276	2552000	489	.09	.01
JRC-Acquis	v3.0	EMEA	v3	502276	352016	484	.09	.13
JRC-Acquis	v3.0	ELITR-ECA	v1	502276	249246	422	.08	.16
JRC-Acquis	v3.0	EUconst	v1	502276	6732	357	.07	5.30
JRC-Acquis	v3.0	OpenSubtitles	v2018	502276	30779675	243	.04	0
JRC-Acquis	v3.0	OpenSubtitles	v2016	502276	24279928	219	.04	0
JRC-Acquis	v3.0	KDE4	v2	502276	161655	238	.04	.14
JRC-Acquis	v3.0	Ubuntu	v14.10	502276	110108	206	.04	.18
JRC-Acquis	v3.0	ELRC-2707-EMEA	v1	502276	755014	173	.03	.02
JRC-Acquis	v3.0	ELRC-EMEA	v1	502276	755014	173	.03	.02
JRC-Acquis	v3.0	Europarl	v8	502276	1986220	120	.02	0
JRC-Acquis	v3.0	Europarl	v7	502276	1985837	120	.02	0
JRC-Acquis	v3.0	Wikipedia	v1.0	502276	791459	101	.02	.01
JRC-Acquis	v3.0	GNOME	v1	502276	60856	148	.02	.24
JRC-Acquis	v3.0	ELRC-2868-EU_publications_medi	v1	502276	13173	120	.02	.91
JRC-Acquis	v3.0	ELRC-EU_publications	v1	502276	13173	120	.02	.91
JRC-Acquis	v3.0	ParaCrawl	v5	502276	10509072	72	.01	0
JRC-Acquis	v3.0	Europarl	v3	502276	1291768	61	.01	0
JRC-Acquis	v3.0	TED2013	v1.1	502276	144900	83	.01	.05
JRC-Acquis	v3.0	wikimedia	v20230407	502276	106677	99	.01	.09
JRC-Acquis	v3.0	wikimedia	v20210402	502276	68829	89	.01	.12
JRC-Acquis	v3.0	ELRC-2024-EUIPO_2017	v1	502276	17238	97	.01	.56
JRC-Acquis	v3.0	ELRC-EUIPO_2017	v1	502276	17238	97	.01	.56
JRC-Acquis	v3.0	ParaCrawl	v4	502276	5630021	45	0	0
JRC-Acquis	v3.0	WikiMatrix	v1	502276	796508	12	0	0
JRC-Acquis	v3.0	QED	v2.0a	502276	385191	41	0	.01
JRC-Acquis	v3.0	Tanzil	v1	502276	372432	0	0	0
JRC-Acquis	v3.0	TED2020	v1	502276	312281	1	0	0
JRC-Acquis	v3.0	OpenSubtitles	v1	502276	275351	13	0	0
JRC-Acquis	v3.0	NeuLab-TedTalks	v1	502276	200570	1	0	0
JRC-Acquis	v3.0	Tatoeba	v2023-04-12	502276	79518	0	0	0
JRC-Acquis	v3.0	Tatoeba	v2022-03-03	502276	75815	0	0	0
JRC-Acquis	v3.0	Tatoeba	v2021-07-22	502276	75072	0	0	0
JRC-Acquis	v3.0	Tatoeba	v2021-03-10	502276	74031	0	0	0
JRC-Acquis	v3.0	Tatoeba	v2020-11-09	502276	72370	0	0	0
JRC-Acquis	v3.0	Tatoeba	v2020-05-31	502276	71665	0	0	0
JRC-Acquis	v3.0	Tatoeba	v20190709	502276	70059	0	0	0
JRC-Acquis	v3.0	bible-uedin	v1	502276	57722	0	0	0
JRC-Acquis	v3.0	News-Commentary	v16	502276	57086	0	0	0
JRC-Acquis	v3.0	News-Commentary	v14	502276	57085	0	0	0
JRC-Acquis	v3.0	GlobalVoices	v2018q4	502276	40766	38	0	.09
JRC-Acquis	v3.0	Books	v1	502276	38507	2	0	0
