corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
JRC-Acquis	v3.0	ELRC-4270-NTEU_TierA	v1	1923776	7252413	896243	46.58	12.35
JRC-Acquis	v3.0	ELRC-4269-NTEU_TierA	v1	1923776	7234848	894489	46.49	12.36
JRC-Acquis	v3.0	ELRC-4271-NTEU_TierA	v1	1923776	7211577	878945	45.68	12.18
JRC-Acquis	v3.0	ELRC-4268-NTEU_TierA	v1	1923776	11782507	825803	42.92	7.00
JRC-Acquis	v3.0	ELRC-4248-NTEU_TierA	v1	1923776	12854274	748778	38.92	5.82
JRC-Acquis	v3.0	ELRC-4154-NTEU_TierA	v1	1923776	7119873	699246	36.34	9.82
JRC-Acquis	v3.0	ELRC-4239-NTEU_TierA	v1	1923776	11906559	531217	27.61	4.46
JRC-Acquis	v3.0	ParaCrawl	v9	1923776	877766608	294910	15.32	.03
JRC-Acquis	v3.0	CCMatrix	v1	1923776	1341614085	222645	11.57	.01
JRC-Acquis	v3.0	TildeMODEL	v2018	1923776	5686357	171371	8.90	3.01
JRC-Acquis	v3.0	ELRC-396-Foreign_Affairs_Norw	v1	1923776	669717	106417	5.53	15.88
JRC-Acquis	v3.0	EUbookshop	v2	1923776	46038769	103813	5.39	.22
JRC-Acquis	v3.0	giga-fren	v2	1923776	20786998	82689	4.29	.39
JRC-Acquis	v3.0	CCAligned	v1	1923776	405094222	70399	3.65	.01
JRC-Acquis	v3.0	ELRC-4142-NTEU_TierA	v1	1923776	2152367	41283	2.14	1.91
JRC-Acquis	v3.0	UNPC	v1.0	1923776	23776005	40550	2.10	.17
JRC-Acquis	v3.0	ELRC-5179-acts_Ukrainian	v1	1923776	125843	20196	1.04	16.04
JRC-Acquis	v3.0	XLEnt	v1.1	1923776	53628082	13347	.69	.02
JRC-Acquis	v3.0	XLEnt	v1	1923776	53628082	13347	.69	.02
JRC-Acquis	v3.0	ELRC-Secretariat_General	v1	1923776	113374	11102	.57	9.79
JRC-Acquis	v3.0	ELRA-W0190	v1	1923776	55912	8242	.42	14.74
JRC-Acquis	v3.0	ELRC-489-Secretariat_General_	v1	1923776	55912	8242	.42	14.74
JRC-Acquis	v3.0	WikiTitles	v3	1923776	2348300	7408	.38	.31
JRC-Acquis	v3.0	wikimedia	v20210402	1923776	11389460	6322	.32	.05
JRC-Acquis	v3.0	OpenSubtitles	v2018	1923776	102548132	5894	.30	0
JRC-Acquis	v3.0	EuroPat	v3	1923776	79873063	5018	.26	0
JRC-Acquis	v3.0	EuroPat	v2	1923776	70531170	4665	.24	0
JRC-Acquis	v3.0	ELRA-W0167	v1	1923776	42999	4607	.23	10.71
JRC-Acquis	v3.0	ELRC-429-Legal_Estonian_Justi	v1	1923776	42999	4607	.23	10.71
JRC-Acquis	v3.0	IITB	v2.0	1923776	1105433	4392	.22	.39
JRC-Acquis	v3.0	ELRA-W0191	v1	1923776	61046	3472	.18	5.68
JRC-Acquis	v3.0	ELRC-490-Secretariat_General_	v1	1923776	61046	3472	.18	5.68
JRC-Acquis	v3.0	WikiMatrix	v1	1923776	47707259	3251	.16	0
JRC-Acquis	v3.0	ELRC-1806-Norwegian_Bokml_Ames	v1	1923776	279832	3140	.16	1.12
JRC-Acquis	v3.0	ELRA-W0158	v1	1923776	40932	3101	.16	7.57
JRC-Acquis	v3.0	ELRC-399-International_Agreem	v1	1923776	40932	3101	.16	7.57
JRC-Acquis	v3.0	EuroPat	v1	1923776	22132306	2416	.12	.01
JRC-Acquis	v3.0	KDE4	v2	1923776	190475	2226	.11	1.16
JRC-Acquis	v3.0	QED	v2.0a	1923776	7299297	2041	.10	.02
JRC-Acquis	v3.0	SciELO	v1	1923776	3061142	2054	.10	.06
JRC-Acquis	v3.0	ELRC-5214-A_Lexicon_Named	v1	1923776	488887	1857	.09	.37
JRC-Acquis	v3.0	EMEA	v3	1923776	316149	1884	.09	.59
JRC-Acquis	v3.0	ELRC-EMEA	v1	1923776	806234	1563	.08	.19
JRC-Acquis	v3.0	memat	v1	1923776	145098	1667	.08	1.14
JRC-Acquis	v3.0	ELRC-2542-Agriculture	v1	1923776	66597	1689	.08	2.53
JRC-Acquis	v3.0	SPC	v1	1923776	59926	1563	.08	2.60
JRC-Acquis	v3.0	Wikipedia	v1.0	1923776	7646905	1487	.07	.01
JRC-Acquis	v3.0	ELRC_2682	v1	1923776	779183	1481	.07	.19
JRC-Acquis	v3.0	ECB	v1	1923776	376581	1366	.07	.36
JRC-Acquis	v3.0	wikimedia	v20190628	1923776	352711	1372	.07	.38
JRC-Acquis	v3.0	ELRC-1977-Standard_Norge	v1	1923776	120068	1350	.07	1.12
JRC-Acquis	v3.0	ELRC-2722-EMEA	v1	1923776	701635	1162	.06	.16
JRC-Acquis	v3.0	ELRC-2710-EMEA	v1	1923776	699854	1172	.06	.16
JRC-Acquis	v3.0	ELRC-2724-EMEA	v1	1923776	698758	1170	.06	.16
JRC-Acquis	v3.0	ELRC-2721-EMEA	v1	1923776	693450	1246	.06	.17
JRC-Acquis	v3.0	ELRC-2714-EMEA	v1	1923776	689853	1162	.06	.16
JRC-Acquis	v3.0	ELRC-2713-EMEA	v1	1923776	688615	1155	.06	.16
JRC-Acquis	v3.0	ELRC-2729-EMEA	v1	1923776	688511	1217	.06	.17
JRC-Acquis	v3.0	ELRC-2711-EMEA	v1	1923776	686300	1240	.06	.18
JRC-Acquis	v3.0	ELRC-2715-EMEA	v1	1923776	682522	1174	.06	.17
JRC-Acquis	v3.0	ELRC-2712-EMEA	v1	1923776	679015	1253	.06	.18
JRC-Acquis	v3.0	ELRC-2726-EMEA	v1	1923776	672813	1170	.06	.17
JRC-Acquis	v3.0	ELRC-2717-EMEA	v1	1923776	670422	1218	.06	.18
JRC-Acquis	v3.0	ELRC-2410-Portal_oficial_turis	v1	1923776	185841	1295	.06	.69
JRC-Acquis	v3.0	ELRC-1805-Norwegian_Bokml_Ames	v1	1923776	47595	1230	.06	2.58
JRC-Acquis	v3.0	ELRC-2720-EMEA	v1	1923776	696997	1105	.05	.15
JRC-Acquis	v3.0	ELRC-2725-EMEA	v1	1923776	691471	1149	.05	.16
JRC-Acquis	v3.0	ELRC-2716-EMEA	v1	1923776	690532	1131	.05	.16
JRC-Acquis	v3.0	ELRC-2707-EMEA	v1	1923776	685365	1126	.05	.16
JRC-Acquis	v3.0	ELRC-2723-EMEA	v1	1923776	684988	1154	.05	.16
JRC-Acquis	v3.0	ELRC-2728-EMEA	v1	1923776	680926	1118	.05	.16
JRC-Acquis	v3.0	ELRC-2727-EMEA	v1	1923776	680290	1119	.05	.16
JRC-Acquis	v3.0	ELRC-2708-EMEA	v1	1923776	679647	1144	.05	.16
JRC-Acquis	v3.0	ELRC-2706-EMEA	v1	1923776	577401	970	.05	.16
JRC-Acquis	v3.0	ELRC-2709-EMEA	v1	1923776	360888	1032	.05	.28
JRC-Acquis	v3.0	ELRC-425-Lithuanian_legislati	v1	1923776	126666	1054	.05	.83
JRC-Acquis	v3.0	Mozilla-I10n	v1	1923776	66158	1072	.05	1.62
JRC-Acquis	v3.0	ELRC-2719-EMEA	v1	1923776	516124	875	.04	.16
JRC-Acquis	v3.0	ELRC-2718-EMEA	v1	1923776	484237	897	.04	.18
JRC-Acquis	v3.0	ELRC-4329-PRINCIPLE_MVEP_legal	v1	1923776	41525	939	.04	2.26
JRC-Acquis	v3.0	ELRA-W0243	v1	1923776	12537	843	.04	6.72
JRC-Acquis	v3.0	ELRC-842-Quarterly_Reports_Pa	v1	1923776	12537	843	.04	6.72
JRC-Acquis	v3.0	ELRC-5067-SciPar	v1	1923776	9198848	611	.03	0
JRC-Acquis	v3.0	GlobalVoices	v2018q4	1923776	1154583	712	.03	.06
JRC-Acquis	v3.0	GlobalVoices	v2017q3	1923776	1091521	590	.03	.05
JRC-Acquis	v3.0	EhuHac	v1	1923776	596213	636	.03	.10
JRC-Acquis	v3.0	Joshua-IPC	v1	1923776	198174	768	.03	.38
JRC-Acquis	v3.0	ELRC-Government_Offices	v1	1923776	56387	746	.03	1.32
JRC-Acquis	v3.0	ELRC-563-Statoil_energy_compa	v1	1923776	54342	592	.03	1.08
JRC-Acquis	v3.0	Bianet	v1	1923776	43553	601	.03	1.37
JRC-Acquis	v3.0	Europarl	v8	1923776	2375417	500	.02	.02
JRC-Acquis	v3.0	OpenSubtitles	v1	1923776	1598451	516	.02	.03
JRC-Acquis	v3.0	GoURMET	v1	1923776	1541708	554	.02	.03
JRC-Acquis	v3.0	GlobalVoices	v2015	1923776	954153	553	.02	.05
JRC-Acquis	v3.0	ELRC-EUIPO_law	v1	1923776	485617	544	.02	.11
JRC-Acquis	v3.0	ELRC-1077-EUIPO_law	v1	1923776	249932	389	.02	.15
JRC-Acquis	v3.0	TED2013	v1.1	1923776	192310	536	.02	.27
JRC-Acquis	v3.0	ELRC-518-www.regjeringen.no	v1	1923776	142770	559	.02	.39
JRC-Acquis	v3.0	ELRC-534-www.norges_bank.no	v1	1923776	71682	482	.02	.67
JRC-Acquis	v3.0	ELRC-768-corpora_State_Admini	v1	1923776	49864	404	.02	.81
JRC-Acquis	v3.0	ELRC-EUIPO_list	v1	1923776	48709	412	.02	.84
JRC-Acquis	v3.0	ELRC-government_websites	v1	1923776	43383	448	.02	1.03
JRC-Acquis	v3.0	ELRC-4327-Government_Offices_I	v1	1923776	37820	436	.02	1.15
JRC-Acquis	v3.0	OpenOffice	v2	1923776	36009	465	.02	1.29
JRC-Acquis	v3.0	ELRC-EUIPO_2017	v1	1923776	31587	447	.02	1.41
JRC-Acquis	v3.0	ELRC-863-government_websites_	v1	1923776	20646	400	.02	1.93
JRC-Acquis	v3.0	ELITR-ECA	v1	1923776	11446	535	.02	4.67
JRC-Acquis	v3.0	ELRC-4334-Rkiskaup_2020	v1	1923776	9805	480	.02	4.89
JRC-Acquis	v3.0	ELRC-427-Electronic_Exchange_	v1	1923776	9513	525	.02	5.51
JRC-Acquis	v3.0	EUconst	v1	1923776	6683	577	.02	8.63
JRC-Acquis	v3.0	ELRA-W0170	v1	1923776	6563	513	.02	7.81
JRC-Acquis	v3.0	ELRC-435-Romanian_New_Crimina	v1	1923776	6563	513	.02	7.81
JRC-Acquis	v3.0	MIZAN	v1	1923776	1016854	374	.01	.03
JRC-Acquis	v3.0	ELRC-Official_Parliament	v1	1923776	180093	369	.01	.20
JRC-Acquis	v3.0	ELRC-5180-Official_Parliament_	v1	1923776	116083	208	.01	.17
JRC-Acquis	v3.0	ELRC-1076-EUIPO_law	v1	1923776	114632	259	.01	.22
JRC-Acquis	v3.0	ELRA-W0138	v1	1923776	90058	254	.01	.28
JRC-Acquis	v3.0	ELRC-1075-EUIPO_law	v1	1923776	90058	254	.01	.28
JRC-Acquis	v3.0	UN	v20090831	1923776	56434	356	.01	.63
JRC-Acquis	v3.0	ELRA-W0220	v1	1923776	55527	295	.01	.53
JRC-Acquis	v3.0	ELRC-724-Hallituskausi_2007_2	v1	1923776	55527	295	.01	.53
JRC-Acquis	v3.0	ELRC-www.vtv.fi	v1	1923776	53418	341	.01	.63
JRC-Acquis	v3.0	ELRC-1061-www.riksrevisjonen.n	v1	1923776	52137	297	.01	.56
JRC-Acquis	v3.0	XhosaNavy	v1	1923776	49263	276	.01	.56
JRC-Acquis	v3.0	ELRC-vnk.fi	v1	1923776	45736	208	.01	.45
JRC-Acquis	v3.0	ELRC-1133-www.vtv.fi	v1	1923776	44890	276	.01	.61
