corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
KDE4	v2	XLEnt	v1.1	69392	2694241	1062	1.53	.03
KDE4	v2	XLEnt	v1	69392	2694241	1062	1.53	.03
KDE4	v2	CCAligned	v1	69392	8612957	268	.38	0
KDE4	v2	wikimedia	v20210402	69392	42643	51	.07	.11
KDE4	v2	ParaCrawl	v9	69392	3985516	34	.04	0
KDE4	v2	GNOME	v1	69392	165	25	.03	15.15
KDE4	v2	OpenSubtitles	v2018	69392	1248658	20	.02	0
KDE4	v2	Ubuntu	v14.10	69392	353	14	.02	3.96
KDE4	v2	QED	v2.0a	69392	493349	7	.01	0
KDE4	v2	CCMatrix	v1	69392	19154169	1	0	0
KDE4	v2	TED2020	v1	69392	389336	0	0	0
KDE4	v2	WikiMatrix	v1	69392	306822	1	0	0
KDE4	v2	Tanzil	v1	69392	92140	0	0	0
KDE4	v2	bible-uedin	v1	69392	61453	0	0	0
KDE4	v2	PHP	v1	69392	10903	1	0	0
KDE4	v2	GlobalVoices	v2018q4	69392	8913	0	0	0
KDE4	v2	GlobalVoices	v2017q3	69392	8131	0	0	0
KDE4	v2	Tatoeba	v2022-03-03	69392	3414	0	0	0
KDE4	v2	Tatoeba	v2021-07-22	69392	3397	0	0	0
KDE4	v2	Tatoeba	v2021-03-10	69392	3390	0	0	0
KDE4	v2	Tatoeba	v2020-11-09	69392	3365	0	0	0
KDE4	v2	Tatoeba	v2020-05-31	69392	3347	0	0	0
KDE4	v2	Tatoeba	v20190709	69392	2779	0	0	0
KDE4	v2	ELRC-3070-wikipedia_health	v1	69392	1637	0	0	0
KDE4	v2	ELRC-wikipedia_health	v1	69392	1637	0	0	0
KDE4	v2	ELRC_2922	v1	69392	1636	0	0	0
KDE4	v2	Tatoeba	v2	69392	904	0	0	0
