corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
KDE4	v2	MultiCCAligned	v1	64154	10610854	1410	2.19	.01
KDE4	v2	CCAligned	v1	64154	10610649	1410	2.19	.01
KDE4	v2	XLEnt	v1.1	64154	1185964	554	.86	.04
KDE4	v2	XLEnt	v1.2	64154	1185964	554	.86	.04
KDE4	v2	XLEnt	v1	64154	1185964	554	.86	.04
KDE4	v2	ParaCrawl-Bonus	v9	64154	2057691	510	.79	.02
KDE4	v2	Ubuntu	v14.10	64154	3728	174	.27	4.66
KDE4	v2	HPLT	v2	64154	4088285	98	.15	0
KDE4	v2	MultiHPLT	v2	64154	4088285	98	.15	0
KDE4	v2	OpenSubtitles	v2018	64154	2964358	71	.11	0
KDE4	v2	OpenSubtitles	v2016	64154	2419508	65	.10	0
KDE4	v2	wikimedia	v20230407	64154	27544	55	.08	.19
KDE4	v2	wikimedia	v20210402	64154	20784	50	.07	.24
KDE4	v2	SCB_MT_EN_TH	v1.0	64154	986492	27	.04	0
KDE4	v2	QED	v2.0a	64154	254780	8	.01	0
KDE4	v2	GNOME	v1	64154	77	11	.01	14.28
KDE4	v2	TED2020	v1	64154	156843	0	0	0
KDE4	v2	NeuLab-TedTalks	v1	64154	100267	0	0	0
KDE4	v2	Tanzil	v1	64154	92182	0	0	0
KDE4	v2	bible-uedin	v1	64154	61698	0	0	0
KDE4	v2	Tatoeba	v2023-04-12	64154	1179	0	0	0
KDE4	v2	Tatoeba	v2022-03-03	64154	1173	0	0	0
KDE4	v2	Tatoeba	v2021-03-10	64154	1159	0	0	0
KDE4	v2	Tatoeba	v2021-07-22	64154	1159	0	0	0
KDE4	v2	Tatoeba	v2020-11-09	64154	1145	0	0	0
KDE4	v2	Tatoeba	v2020-05-31	64154	1144	0	0	0
KDE4	v2	Tatoeba	v20190709	64154	1081	0	0	0
KDE4	v2	tldr-pages	v2023-08-29	64154	296	0	0	0
KDE4	v2	ELRC-3048-wikipedia_health	v1	64154	237	0	0	0
KDE4	v2	ELRC-wikipedia_health	v1	64154	237	0	0	0
KDE4	v2	ELRC_2922	v1	64154	236	0	0	0
KDE4	v2	Tatoeba	v2	64154	173	0	0	0
