corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
KDEdoc	v1	CCMatrix	v1	28	49598454	2	7.14	0
KDEdoc	v1	NLLB	v1	28	49532666	2	7.14	0
KDEdoc	v1	HPLT	v1	28	3417494	2	7.14	0
KDEdoc	v1	MultiHPLT	v1	28	3417494	2	7.14	0
KDEdoc	v1	XLEnt	v1.1	28	1217088	1	3.57	0
KDEdoc	v1	XLEnt	v1.2	28	1217088	1	3.57	0
KDEdoc	v1	XLEnt	v1	28	1217088	1	3.57	0
KDEdoc	v1	GoURMET	v1	28	341123	1	3.57	0
KDEdoc	v1	GoURMET	v2	28	341123	1	3.57	0
KDEdoc	v1	GlobalVoices	v2018q4	28	24058	1	3.57	0
KDEdoc	v1	GlobalVoices	v2017q3	28	23659	1	3.57	0
KDEdoc	v1	GlobalVoices	v2015	28	20648	1	3.57	0
KDEdoc	v1	OpenSubtitles	v2018	28	55173177	0	0	0
KDEdoc	v1	OpenSubtitles	v2016	28	46429009	0	0	0
KDEdoc	v1	OpenSubtitles	v2012	28	12928507	0	0	0
KDEdoc	v1	OpenSubtitles	v2013	28	9057197	0	0	0
KDEdoc	v1	WikiMatrix	v1	28	2979892	0	0	0
KDEdoc	v1	CCAligned	v1	28	2710502	0	0	0
KDEdoc	v1	MultiCCAligned	v1.1	28	2710502	0	0	0
KDEdoc	v1	MultiCCAligned	v1	28	2710502	0	0	0
KDEdoc	v1	QED	v2.0a	28	360722	0	0	0
KDEdoc	v1	wikimedia	v20230407	28	356551	0	0	0
KDEdoc	v1	TED2020	v1	28	272871	0	0	0
KDEdoc	v1	SETIMES	v2	28	240292	0	0	0
KDEdoc	v1	NeuLab-TedTalks	v1	28	163869	0	0	0
KDEdoc	v1	wikimedia	v20210402	28	150787	0	0	0
KDEdoc	v1	KDE4	v2	28	52775	0	0	0
KDEdoc	v1	Tatoeba	v2023-04-12	28	48637	0	0	0
KDEdoc	v1	Tatoeba	v2022-03-03	28	46562	0	0	0
KDEdoc	v1	Tatoeba	v2021-07-22	28	46541	0	0	0
KDEdoc	v1	Tatoeba	v2021-03-10	28	46312	0	0	0
KDEdoc	v1	Tatoeba	v2020-11-09	28	46306	0	0	0
KDEdoc	v1	Mozilla-I10n	v1	28	35607	0	0	0
KDEdoc	v1	bible-uedin	v1	28	35138	0	0	0
KDEdoc	v1	Tatoeba	v2020-05-31	28	31261	0	0	0
KDEdoc	v1	Tatoeba	v20190709	28	31214	0	0	0
KDEdoc	v1	wikimedia	v20190628	28	8191	0	0	0
KDEdoc	v1	Tatoeba	v2	28	6415	0	0	0
KDEdoc	v1	GNOME	v1	28	2714	0	0	0
KDEdoc	v1	EUbookshop	v2	28	2598	0	0	0
KDEdoc	v1	TildeMODEL	v2018	28	2019	0	0	0
KDEdoc	v1	ELRC_2922	v1	28	747	0	0	0
KDEdoc	v1	ELRC-3041-wikipedia_health	v1	28	747	0	0	0
KDEdoc	v1	ELRC-wikipedia_health	v1	28	747	0	0	0
KDEdoc	v1	ELRC-416-Swedish_Social_Secur	v1	28	133	0	0	0
KDEdoc	v1	ELRC_416	v1	28	133	0	0	0
KDEdoc	v1	Ubuntu	v14.10	28	44	0	0	0
KDEdoc	v1	tldr-pages	v2023-08-29	28	26	0	0	0
